

<<START>>,<<FMS_BUY_DAILY_BUYER_NOM>>,,,,,, 	(03-APR-2025 19:12:55)
 
COMNPANY_CD,CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,61, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,61, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,51, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,51, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,51, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,51, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,51, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,51, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,51, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,51, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,61, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,61, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,61, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,61, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,61, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,61, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,61, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,61, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,51, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,51, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
2,null, , ,, ,, 	(03-APR-2025 19:12:55)	 (Not Inserted)
