

<<START>>,<<FMS_BUY_DAILY_BUYER_NOM>>,,,,,, 	(03-MAY-2025 16:10:25)
 
COMNPANY_CD,CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP
2,1, 0, 0,825037, 4,D, 	(03-MAY-2025 16:10:26)
2,1, 0, 0,825037, 4,D, 	(03-MAY-2025 16:10:26)
2,1, 0, 0,825037, 4,D, 	(03-MAY-2025 16:10:26)
2,1, 0, 0,825037, 4,D, 	(03-MAY-2025 16:10:26)
2,1, 0, 0,825037, 4,D, 	(03-MAY-2025 16:10:26)
2,1, 0, 0,825037, 4,D, 	(03-MAY-2025 16:10:26)
2,1, 0, 0,825037, 4,D, 	(03-MAY-2025 16:10:26)
2,1, 0, 0,825037, 4,D, 	(03-MAY-2025 16:10:26)
2,1, 0, 0,825037, 4,D, 	(03-MAY-2025 16:10:26)
2,, , ,, ,, 	(03-MAY-2025 16:10:26)	 (Not Inserted)
2,1, 0, 0,825037, 4,D, 	(03-MAY-2025 16:10:26)
2,1, 0, 0,825037, 4,D, 	(03-MAY-2025 16:10:26)
2,1, 0, 0,825037, 4,D, 	(03-MAY-2025 16:10:26)
2,1, 0, 0,825037, 4,D, 	(03-MAY-2025 16:10:26)
2,, , ,, ,, 	(03-MAY-2025 16:10:26)	 (Not Inserted)
2,1, 0, 0,825037, 4,D, 	(03-MAY-2025 16:10:26)
2,1, 0, 0,825037, 4,D, 	(03-MAY-2025 16:10:26)
2,1, 0, 0,825037, 4,D, 	(03-MAY-2025 16:10:26)
2,1, 0, 0,825037, 4,D, 	(03-MAY-2025 16:10:26)
2,1, 0, 0,825037, 4,D, 	(03-MAY-2025 16:10:26)
2,1, 0, 0,825037, 4,D, 	(03-MAY-2025 16:10:26)
2,, , ,, ,, 	(03-MAY-2025 16:10:26)	 (Not Inserted)
2,, , ,, ,, 	(03-MAY-2025 16:10:26)	 (Not Inserted)
2,, , ,, ,, 	(03-MAY-2025 16:10:26)	 (Not Inserted)
2,, , ,, ,, 	(03-MAY-2025 16:10:26)	 (Not Inserted)
2,, , ,, ,, 	(03-MAY-2025 16:10:26)	 (Not Inserted)
2,, , ,, ,, 	(03-MAY-2025 16:10:26)	 (Not Inserted)
2,, , ,, ,, 	(03-MAY-2025 16:10:26)	 (Not Inserted)
2,, , ,, ,, 	(03-MAY-2025 16:10:26)	 (Not Inserted)
2,, , ,, ,, 	(03-MAY-2025 16:10:26)	 (Not Inserted)
2,, , ,, ,, 	(03-MAY-2025 16:10:26)	 (Not Inserted)
2,, , ,, ,, 	(03-MAY-2025 16:10:26)	 (Not Inserted)
2,, , ,, ,, 	(03-MAY-2025 16:10:26)	 (Not Inserted)
2,61, 0, 0,825146, 1,I, 	(03-MAY-2025 16:10:26)
2,61, 0, 0,825146, 1,I, 	(03-MAY-2025 16:10:26)
2,51, 0, 0,825093, 1,I, 	(03-MAY-2025 16:10:26)
2,, , ,, ,, 	(03-MAY-2025 16:10:26)	 (Not Inserted)
2,, , ,, ,, 	(03-MAY-2025 16:10:26)	 (Not Inserted)
2,51, 0, 0,825093, 1,I, 	(03-MAY-2025 16:10:26)
2,51, 0, 0,825093, 1,I, 	(03-MAY-2025 16:10:26)
2,51, 0, 0,825093, 1,I, 	(03-MAY-2025 16:10:26)
2,51, 0, 0,825093, 1,I, 	(03-MAY-2025 16:10:26)
2,51, 0, 0,825093, 1,I, 	(03-MAY-2025 16:10:26)
2,51, 0, 0,825093, 1,I, 	(03-MAY-2025 16:10:26)
2,51, 0, 0,825093, 1,I, 	(03-MAY-2025 16:10:26)
2,, , ,, ,, 	(03-MAY-2025 16:10:26)	 (Not Inserted)
2,, , ,, ,, 	(03-MAY-2025 16:10:26)	 (Not Inserted)
2,, , ,, ,, 	(03-MAY-2025 16:10:26)	 (Not Inserted)
