

<<START>>,<<FMS_TRADER_CN_MST>>,,,,, 	(03-JUL-2025 15:48:01)
 
COMPANY_CD,CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_TYPE,CONT_NO,CONT_REV,CARGO_REF(Mandate Conform no),TIMESTAMP
2, 15:HPCL,  M , ,  0 , N, 722001, 0,22008, 	(03-JUL-2025 15:48:01)	 (Not Inserted)
2, 20:AMNS,  M , ,  0 , N, 722001, 0,22011, 	(03-JUL-2025 15:48:01)	 (Not Inserted)
2, 20:AMNS,  M , ,  0 , N, 722001, 0,22016, 	(03-JUL-2025 15:48:01)	 (Not Inserted)
2, 154:SEMTPL,  M , ,  0 , N, 722001, 0,22017, 	(03-JUL-2025 15:48:01)	 (Not Inserted)
2, 154:SEMTPL,  M , ,  0 , N, 722001, 0,22018, 	(03-JUL-2025 15:48:01)	 (Not Inserted)
2, 270:TGPL,  M , 1,  0 , N, 710001, 0,5002, 	(03-JUL-2025 15:48:01)
2, 270:TGPL,  M , 1,  0 , N, 710002, 0,6003, 	(03-JUL-2025 15:48:01)
2, 270:TGPL,  M , 1,  0 , N, 710003, 0,6012, 	(03-JUL-2025 15:48:01)
2, 270:TGPL,  M , 1,  0 , N, 710004, 0,7004, 	(03-JUL-2025 15:48:01)
2, 270:TGPL,  M , 1,  0 , N, 710005, 0,7007, 	(03-JUL-2025 15:48:01)
2, 270:TGPL,  M , 1,  0 , N, 710006, 0,7012, 	(03-JUL-2025 15:48:01)
2, 270:TGPL,  M , 1,  0 , N, 710007, 0,7019, 	(03-JUL-2025 15:48:01)
2, 270:TGPL,  M , 1,  0 , N, 710008, 0,7020, 	(03-JUL-2025 15:48:01)
2, 270:TGPL,  M , 1,  0 , N, 710009, 0,7022, 	(03-JUL-2025 15:48:01)
2, 270:TGPL,  M , 1,  0 , N, 710010, 0,7023, 	(03-JUL-2025 15:48:01)
2, 270:TGPL,  M , 1,  0 , N, 710011, 0,7024, 	(03-JUL-2025 15:48:01)
2, 270:TGPL,  M , 1,  0 , N, 710012, 0,8001, 	(03-JUL-2025 15:48:01)
2, 270:TGPL,  M , 1,  0 , N, 710013, 0,8007, 	(03-JUL-2025 15:48:01)
2, 270:TGPL,  M , 1,  0 , N, 710014, 0,8013, 	(03-JUL-2025 15:48:01)
2, 270:TGPL,  M , 1,  0 , N, 710015, 0,8014, 	(03-JUL-2025 15:48:01)
2, 270:TGPL,  M , 1,  0 , N, 710016, 0,8015, 	(03-JUL-2025 15:48:01)
2, 270:TGPL,  M , 1,  0 , N, 710017, 0,8017, 	(03-JUL-2025 15:48:01)
2, 270:TGPL,  M , 1,  0 , N, 710018, 0,8019, 	(03-JUL-2025 15:48:01)
2, 270:TGPL,  M , 1,  0 , N, 710019, 0,8021, 	(03-JUL-2025 15:48:01)
2, 270:TGPL,  M , 1,  0 , N, 710020, 0,8025, 	(03-JUL-2025 15:48:01)
2, 270:TGPL,  M , 1,  0 , N, 710021, 0,8026, 	(03-JUL-2025 15:48:01)
2, 270:TGPL,  M , 1,  0 , N, 710022, 0,8028, 	(03-JUL-2025 15:48:01)
2, 270:TGPL,  M , 1,  0 , N, 710023, 0,9003, 	(03-JUL-2025 15:48:01)
2, 270:TGPL,  M , 1,  0 , N, 710024, 0,9004, 	(03-JUL-2025 15:48:01)
2, 270:TGPL,  M , 1,  0 , N, 710025, 0,9005, 	(03-JUL-2025 15:48:01)
2, 270:TGPL,  M , 1,  0 , N, 710026, 0,9007, 	(03-JUL-2025 15:48:01)
2, 270:TGPL,  M , 1,  0 , N, 710027, 0,9011, 	(03-JUL-2025 15:48:01)
2, 270:TGPL,  M , 1,  0 , N, 710028, 0,9014, 	(03-JUL-2025 15:48:01)
2, 270:TGPL,  M , 1,  0 , N, 710029, 0,9016, 	(03-JUL-2025 15:48:01)
2, 270:TGPL,  M , 1,  0 , N, 710030, 0,9017, 	(03-JUL-2025 15:48:01)
2, 270:TGPL,  M , 1,  0 , N, 710031, 0,9021, 	(03-JUL-2025 15:48:01)
2, 270:TGPL,  M , 1,  0 , N, 710032, 0,10002, 	(03-JUL-2025 15:48:01)
2, 270:TGPL,  M , 1,  0 , N, 710033, 0,10004, 	(03-JUL-2025 15:48:01)
2, 270:TGPL,  M , 1,  0 , N, 710034, 0,10005, 	(03-JUL-2025 15:48:01)
2, 270:TGPL,  M , 1,  0 , N, 711001, 0,10009, 	(03-JUL-2025 15:48:01)
2, 270:TGPL,  M , 1,  0 , N, 711002, 0,11002, 	(03-JUL-2025 15:48:01)
2, 270:TGPL,  M , 1,  0 , N, 711003, 0,11006, 	(03-JUL-2025 15:48:01)
2, 270:TGPL,  M , 1,  0 , N, 712001, 0,11008, 	(03-JUL-2025 15:48:01)
2, 270:TGPL,  M , 1,  0 , N, 713001, 0,11009, 	(03-JUL-2025 15:48:01)
2, 116:SELNG,  M , 1,  0 , N, 710035, 0,5001, 	(03-JUL-2025 15:48:01)
2, 116:SELNG,  M , 1,  0 , N, 710036, 0,5003, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 710037, 0,6001, 	(03-JUL-2025 15:48:02)
