

<<START>>,<<FMS_TRADER_AGMT_MST>>,,,, 	(06-MAY-2025 10:42:27)
 
COMPANY_CD,COUNTERPARTY_CD,, 	(06-MAY-2025 10:42:27)
 
COMPANY_CD,COUNTERPARTY_CD,, 	(06-MAY-2025 10:42:27)
 
COMPANY_CD,COUNTERPARTY_CD,, 	(06-MAY-2025 10:42:27)
 
COMPANY_CD,COUNTERPARTY_CD,, 	(06-MAY-2025 10:42:27)
 

TOTAL DATA IN EXCEL : ,0, 	(06-MAY-2025 10:42:27)
 

TOTAL DATA INSERTED : ,5, 	(06-MAY-2025 10:42:27)
 

TOTAL SKIPPED DATA ,0, 	(06-MAY-2025 10:42:27)
 
<<END>>,<<FMS_TRADER_AGMT_MST>>, 	(06-MAY-2025 10:42:27)
 

<<START>>,<<FMS_TRADER_AGMT_PLANT>>, 	(06-MAY-2025 10:42:27)
 

TOTAL DATA IN EXCEL : ,0, 	(06-MAY-2025 10:42:27)
 

TOTAL DATA INSERTED : ,5, 	(06-MAY-2025 10:42:27)
 

TOTAL SKIPPED DATA ,0, 	(06-MAY-2025 10:42:27)
 
<<END>>,<<FMS_TRADER_AGMT_PLANT>>, 	(06-MAY-2025 10:42:27)
 

<<START>>,<<FMS_TRADER_AGMT_BU>>, 	(06-MAY-2025 10:42:27)
 

TOTAL DATA IN EXCEL : ,0, 	(06-MAY-2025 10:42:27)
 

TOTAL DATA INSERTED : ,5, 	(06-MAY-2025 10:42:27)
 

TOTAL SKIPPED DATA ,0, 	(06-MAY-2025 10:42:27)
 
<<END>>,<<FMS_TRADER_AGMT_BU>>, 	(06-MAY-2025 10:42:27)
 

<<START>>,<<FMS_TRADER_AGMT_BILLING_DTL>>, 	(06-MAY-2025 10:42:27)
 

TOTAL DATA IN EXCEL : ,0, 	(06-MAY-2025 10:42:27)
 

TOTAL DATA INSERTED : ,5, 	(06-MAY-2025 10:42:27)
 

TOTAL SKIPPED DATA ,0, 	(06-MAY-2025 10:42:27)
 
<<END>>,<<FMS_TRADER_AGMT_BILLING_DTL>>, 	(06-MAY-2025 10:42:27)
 

<<START>>,<<FMS_TRADER_CN_MST>>,,,, 	(06-MAY-2025 10:42:27)
 
COMPANY_CD,CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_TYPE,CONT_NO,CONT_REV,TIMESTAMP
2, 15,  M , ,  0 , N, 725001, 0, 	(06-MAY-2025 10:42:27)	 (Not Inserted)
2, 20,  M , ,  0 , N, 725001, 0, 	(06-MAY-2025 10:42:27)	 (Not Inserted)
2, 20,  M , ,  0 , N, 725001, 0, 	(06-MAY-2025 10:42:27)	 (Not Inserted)
2, 154,  M , ,  0 , N, 725001, 0, 	(06-MAY-2025 10:42:27)	 (Not Inserted)
2, 154,  M , ,  0 , N, 725001, 0, 	(06-MAY-2025 10:42:27)	 (Not Inserted)
2, 270,  M , 1,  0 , N, 725001, 0, 	(06-MAY-2025 10:42:27)
2, 270,  M , 1,  0 , N, 725002, 0, 	(06-MAY-2025 10:42:27)
2, 270,  M , 1,  0 , N, 725003, 0, 	(06-MAY-2025 10:42:27)
2, 270,  M , 1,  0 , N, 725004, 0, 	(06-MAY-2025 10:42:27)
2, 270,  M , 1,  0 , N, 725005, 0, 	(06-MAY-2025 10:42:27)
2, 270,  M , 1,  0 , N, 725006, 0, 	(06-MAY-2025 10:42:27)
2, 270,  M , 1,  0 , N, 725007, 0, 	(06-MAY-2025 10:42:27)
2, 270,  M , 1,  0 , N, 725008, 0, 	(06-MAY-2025 10:42:27)
2, 270,  M , 1,  0 , N, 725009, 0, 	(06-MAY-2025 10:42:27)
2, 270,  M , 1,  0 , N, 725010, 0, 	(06-MAY-2025 10:42:27)
2, 270,  M , 1,  0 , N, 725011, 0, 	(06-MAY-2025 10:42:27)
2, 270,  M , 1,  0 , N, 725012, 0, 	(06-MAY-2025 10:42:27)
2, 270,  M , 1,  0 , N, 725013, 0, 	(06-MAY-2025 10:42:27)
2, 270,  M , 1,  0 , N, 725014, 0, 	(06-MAY-2025 10:42:27)
2, 270,  M , 1,  0 , N, 725015, 0, 	(06-MAY-2025 10:42:27)
2, 270,  M , 1,  0 , N, 725016, 0, 	(06-MAY-2025 10:42:27)
2, 270,  M , 1,  0 , N, 725017, 0, 	(06-MAY-2025 10:42:27)
2, 270,  M , 1,  0 , N, 725018, 0, 	(06-MAY-2025 10:42:27)
2, 270,  M , 1,  0 , N, 725019, 0, 	(06-MAY-2025 10:42:27)
2, 270,  M , 1,  0 , N, 725020, 0, 	(06-MAY-2025 10:42:27)
2, 270,  M , 1,  0 , N, 725021, 0, 	(06-MAY-2025 10:42:27)
2, 270,  M , 1,  0 , N, 725022, 0, 	(06-MAY-2025 10:42:27)
2, 270,  M , 1,  0 , N, 725023, 0, 	(06-MAY-2025 10:42:27)
2, 270,  M , 1,  0 , N, 725024, 0, 	(06-MAY-2025 10:42:27)
2, 270,  M , 1,  0 , N, 725025, 0, 	(06-MAY-2025 10:42:27)
2, 270,  M , 1,  0 , N, 725026, 0, 	(06-MAY-2025 10:42:27)
2, 270,  M , 1,  0 , N, 725027, 0, 	(06-MAY-2025 10:42:27)
2, 270,  M , 1,  0 , N, 725028, 0, 	(06-MAY-2025 10:42:27)
2, 270,  M , 1,  0 , N, 725029, 0, 	(06-MAY-2025 10:42:27)
2, 270,  M , 1,  0 , N, 725030, 0, 	(06-MAY-2025 10:42:27)
2, 270,  M , 1,  0 , N, 725031, 0, 	(06-MAY-2025 10:42:27)
2, 270,  M , 1,  0 , N, 725032, 0, 	(06-MAY-2025 10:42:27)
2, 270,  M , 1,  0 , N, 725033, 0, 	(06-MAY-2025 10:42:27)
2, 270,  M , 1,  0 , N, 725034, 0, 	(06-MAY-2025 10:42:27)
2, 270,  M , 1,  0 , N, 725035, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725036, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725037, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725038, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725039, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725040, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725041, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725042, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725043, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725044, 0, 	(06-MAY-2025 10:42:27)
