

<<START>>,<<FMS_SECURITY_DEAL_MAP>>,,,, 	(06-MAY-2025 10:43:04)
 
COMPANY_CD,CD,SEQ_NO,MAP_SEQ_NO,SEQ_REV_NO,GX,TIMESTAMP
2, 1, 10, 0, 0 ,null, 	(06-MAY-2025 10:43:04)
2, 1, 11, 0, 0 ,null, 	(06-MAY-2025 10:43:04)
2, 1, 12, 0, 0 ,null, 	(06-MAY-2025 10:43:04)
2, 1, 13, 0, 0 ,null, 	(06-MAY-2025 10:43:04)
2, 116, 2, 0, 0 ,null, 	(06-MAY-2025 10:43:04)
2, 116, 1, 0, 0 ,null, 	(06-MAY-2025 10:43:04)
2, null, 1, 0, 0, null, 	(06-MAY-2025 10:43:04)	 (Not Inserted)
2, null, 2, 0, 0, null, 	(06-MAY-2025 10:43:04)	 (Not Inserted)
2, 256, 1, 0, 0 ,null, 	(06-MAY-2025 10:43:04)
2, 1, 1, 0, 0, null, 	(06-MAY-2025 10:43:04)	 (Not Inserted)
2, 1, 2, 0, 0, null, 	(06-MAY-2025 10:43:04)	 (Not Inserted)
2, 1, 3, 0, 0, null, 	(06-MAY-2025 10:43:04)	 (Not Inserted)
2, 1, 4, 0, 0, null, 	(06-MAY-2025 10:43:04)	 (Not Inserted)
2, 1, 5, 0, 0, null, 	(06-MAY-2025 10:43:04)	 (Not Inserted)
2, 1, 6, 0, 0, null, 	(06-MAY-2025 10:43:04)	 (Not Inserted)
2, 1, 7, 0, 0, null, 	(06-MAY-2025 10:43:04)	 (Not Inserted)
2, 1, 8, 0, 0 ,null, 	(06-MAY-2025 10:43:04)
2, 1, 9, 0, 0 ,null, 	(06-MAY-2025 10:43:04)
2, 15, 13, 0, 0, null, 	(06-MAY-2025 10:43:04)	 (Not Inserted)
2, 15, 18, 0, 0, null, 	(06-MAY-2025 10:43:04)	 (Not Inserted)
2, 15, 19, 0, 0, null, 	(06-MAY-2025 10:43:04)	 (Not Inserted)
2, 20, 13, 0, 0, null, 	(06-MAY-2025 10:43:04)	 (Not Inserted)
2, null, 7, 0, 0, null, 	(06-MAY-2025 10:43:04)	 (Not Inserted)
2, 154, 10, 0, 0 ,null, 	(06-MAY-2025 10:43:04)
2, 154, 17, 0, 0 ,null, 	(06-MAY-2025 10:43:04)
2, 154, 18, 0, 0 ,null, 	(06-MAY-2025 10:43:04)
2, 110, 2, 0, 0 ,null, 	(06-MAY-2025 10:43:04)
2, 20, 16, 0, 0, null, 	(06-MAY-2025 10:43:04)	 (Not Inserted)
2, 154, 13, 0, 0 ,null, 	(06-MAY-2025 10:43:04)
2, 154, 9, 0, 0 ,null, 	(06-MAY-2025 10:43:04)
2, 154, 11, 0, 0 ,null, 	(06-MAY-2025 10:43:04)
2, 20, 19, 0, 0 ,null, 	(06-MAY-2025 10:43:04)
2, 20, 20, 0, 0 ,null, 	(06-MAY-2025 10:43:04)
2, 154, 19, 0, 0 ,null, 	(06-MAY-2025 10:43:04)
2, 15, 17, 0, 0, null, 	(06-MAY-2025 10:43:04)	 (Not Inserted)
2, 20, 14, 0, 0 ,null, 	(06-MAY-2025 10:43:04)
2, null, 8, 0, 0, null, 	(06-MAY-2025 10:43:04)	 (Not Inserted)
2, 154, 14, 0, 0 ,null, 	(06-MAY-2025 10:43:04)
2, 154, 20, 0, 0 ,null, 	(06-MAY-2025 10:43:04)
2, 154, 25, 0, 0 ,null, 	(06-MAY-2025 10:43:04)
2, 110, 1, 0, 0 ,null, 	(06-MAY-2025 10:43:04)
2, 116, 3, 0, 0 ,null, 	(06-MAY-2025 10:43:04)
2, 116, 4, 0, 0 ,null, 	(06-MAY-2025 10:43:04)
2, 116, 5, 0, 0 ,null, 	(06-MAY-2025 10:43:04)
2, 154, 6, 0, 0 ,null, 	(06-MAY-2025 10:43:04)
2, 154, 12, 0, 0 ,null, 	(06-MAY-2025 10:43:04)
