

<<START>>,<<FMS_TRADER_CONT_PLANT_CHRG>>,,,,,, 	(06-JUN-2025 11:15:05)
 
COMNPANY_CD,CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP
2,154, 0, 0,823091, 0,D, 	(06-JUN-2025 11:15:05)
2,154, 0, 0,823091, 0,D, 	(06-JUN-2025 11:15:05)
2,154, 0, 0,823091, 0,D, 	(06-JUN-2025 11:15:05)	 (Not Inserted)
2,154, 0, 0,823091, 0,D, 	(06-JUN-2025 11:15:05)	 (Not Inserted)
2,154, 0, 0,823091, 0,D, 	(06-JUN-2025 11:15:05)	 (Not Inserted)
2,154, 0, 0,823091, 0,D, 	(06-JUN-2025 11:15:05)	 (Not Inserted)
2,154, 0, 0,823090, 1,D, 	(06-JUN-2025 11:15:05)
2,154, 0, 0,823090, 1,D, 	(06-JUN-2025 11:15:05)
2,154, 0, 0,823090, 1,D, 	(06-JUN-2025 11:15:05)
2,154, 0, 0,823090, 1,D, 	(06-JUN-2025 11:15:05)	 (Not Inserted)
2,154, 0, 0,823090, 1,D, 	(06-JUN-2025 11:15:05)	 (Not Inserted)
2,154, 0, 0,823090, 1,D, 	(06-JUN-2025 11:15:05)	 (Not Inserted)
2,154, 0, 0,823090, 1,D, 	(06-JUN-2025 11:15:05)	 (Not Inserted)
2,154, 0, 0,823090, 1,D, 	(06-JUN-2025 11:15:05)	 (Not Inserted)
2,154, 0, 0,823090, 1,D, 	(06-JUN-2025 11:15:05)	 (Not Inserted)

TOTAL DATA IN EXCEL : 15,,,,,,, 	(06-JUN-2025 11:15:05)
 

TOTAL DATA INSERTED : 5,,,,,,, 	(06-JUN-2025 11:15:05)
 

TOTAL SKIPPED DATA 10,,,,,,, 	(06-JUN-2025 11:15:05)
 
<<END>><<FMS_TRADER_CONT_PLANT_CHRG>> 	(06-JUN-2025 11:15:05)
 
