

<<START>>,<<FMS_TRADER_BILLING_DTL>>,,,,,, 	(09-APR-2025 09:18:11)
 
COMNPANY_CD,CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP
2,, , ,, ,, 	(09-APR-2025 09:18:11)	 (Not Inserted)
2,, , ,, ,, 	(09-APR-2025 09:18:11)	 (Not Inserted)
2,, , ,, ,, 	(09-APR-2025 09:18:11)	 (Not Inserted)
2,, , ,, ,, 	(09-APR-2025 09:18:11)	 (Not Inserted)
2,, , ,, ,, 	(09-APR-2025 09:18:11)	 (Not Inserted)
2,, , ,, ,, 	(09-APR-2025 09:18:11)	 (Not Inserted)
2,, , ,, ,, 	(09-APR-2025 09:18:11)	 (Not Inserted)
2,, , ,, ,, 	(09-APR-2025 09:18:11)	 (Not Inserted)
2,, , ,, ,, 	(09-APR-2025 09:18:11)	 (Not Inserted)
2,, , ,, ,, 	(09-APR-2025 09:18:11)	 (Not Inserted)
2,1, 0, 0,825052, 1,D, 	(09-APR-2025 09:18:11)
2,, , ,, ,, 	(09-APR-2025 09:18:11)	 (Not Inserted)
2,, , ,, ,, 	(09-APR-2025 09:18:11)	 (Not Inserted)
2,, , ,, ,, 	(09-APR-2025 09:18:11)	 (Not Inserted)
2,61, 0, 0,825153, 2,I, 	(09-APR-2025 09:18:11)
2,51, 0, 0,825098, 1,I, 	(09-APR-2025 09:18:11)
2,51, 0, 0,825098, 0,I, 	(09-APR-2025 09:18:11)
