

<<START>>,<<FMS_BUY_DAILY_SELLER_NOM>>,,,,,, 	(11-APR-2025 16:14:29)
 
COMNPANY_CD,CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP
2,1, 0, 0,825004, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825004, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825004, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825004, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825004, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825007, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825007, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825007, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825007, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825007, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825007, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825007, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825007, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825003, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825003, 4,D, 	(11-APR-2025 16:14:30)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:14:30)	 (Not Inserted)
2,1, 0, 0,825004, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825004, 4,D, 	(11-APR-2025 16:14:30)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:14:30)
