

<<START>>,<<FMS_TRADER_CONT_PLANT_CHRG>>,,,,,, 	(12-SEP-2025 15:04:31)
 
COMNPANY_CD,CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,0, , ,, ,, 	(12-SEP-2025 15:04:31)	 (Not Inserted)

TOTAL DATA IN EXCEL : 21,,,,,,, 	(12-SEP-2025 15:04:31)
 

TOTAL DATA INSERTED : 0,,,,,,, 	(12-SEP-2025 15:04:31)
 

TOTAL SKIPPED DATA 21,,,,,,, 	(12-SEP-2025 15:04:31)
 
<<END>><<FMS_TRADER_CONT_PLANT_CHRG>> 	(12-SEP-2025 15:04:31)
 

<<START>>,<<FMS_TRADER_BILLING_DTL>>,,,,,, 	(12-SEP-2025 15:04:31)
 
COMNPANY_CD,CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,SN_NO,PLANT_SEQ_NO,TIMESTAMP
2,1:RIL, 0, 0,823001, 2,I,RIL-1-1-I-9923005-2,1, 	(12-SEP-2025 15:04:31)
2,1:RIL, 0, 0,823001, 2,I,RIL-1-1-I-9923005-2,1, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,1:RIL, 0, 0,823002, 1,I,RIL-2-1-I-9923006-1,1, 	(12-SEP-2025 15:04:31)
2,1:RIL, 0, 0,823002, 1,I,RIL-2-1-I-9923006-1,1, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,1:RIL, 0, 0,823003, 1,I,RIL-3-1-I-9923007-1,1, 	(12-SEP-2025 15:04:31)
2,1:RIL, 0, 0,823003, 1,I,RIL-3-1-I-9923007-1,1, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,1:RIL, 0, 0,823004, 1,I,RIL-4-1-I-9923008-1,1, 	(12-SEP-2025 15:04:31)
2,1:RIL, 0, 0,823004, 1,I,RIL-4-1-I-9923008-1,1, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,1:RIL, 0, 0,823005, 1,I,RIL-5-1-I-9923009-1,1, 	(12-SEP-2025 15:04:31)
2,1:RIL, 0, 0,823005, 1,I,RIL-5-1-I-9923009-1,1, 	(12-SEP-2025 15:04:31)	 (Not Inserted)
2,1:RIL, 0, 0,823006, 1,I,RIL-6-1-I-9923015-1,1, 	(12-SEP-2025 15:04:31)
2,1:RIL, 0, 0,823007, 1,I,RIL-7-1-I-9923017-1,1, 	(12-SEP-2025 15:04:31)
2,1:RIL, 0, 0,823008, 1,I,RIL-8-1-I-9923019-1,1, 	(12-SEP-2025 15:04:31)
2,1:RIL, 0, 0,823009, 1,I,RIL-9-1-I-9923021-1,1, 	(12-SEP-2025 15:04:31)
2,1:RIL, 0, 0,823010, 1,I,RIL-10-1-I-9923023-1,1, 	(12-SEP-2025 15:04:31)
2,1:RIL, 0, 0,823011, 0,I,RIL-11-1-I-9923002-0,1, 	(12-SEP-2025 15:04:31)
2,1:RIL, 0, 0,823012, 0,I,RIL-12-1-I-9923025-0,1, 	(12-SEP-2025 15:04:31)
2,1:RIL, 0, 0,823013, 2,I,RIL-13-1-I-9923030-2,1, 	(12-SEP-2025 15:04:31)
2,1:RIL, 0, 0,823014, 2,I,RIL-14-1-I-9923031-2,1, 	(12-SEP-2025 15:04:31)
2,1:RIL, 0, 0,823015, 1,I,RIL-15-1-I-9923034-1,1, 	(12-SEP-2025 15:04:31)
