

<<START>>,<<FMS_TRADER_CN_MST>>,,,, 	(14-MAY-2025 13:33:36)
 
COMPANY_CD,CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_TYPE,CONT_NO,CONT_REV,TIMESTAMP
2, 15,  M , ,  0 , N, 722001, 0, 	(14-MAY-2025 13:33:37)	 (Not Inserted)
2, 20,  M , ,  0 , N, 722001, 0, 	(14-MAY-2025 13:33:37)	 (Not Inserted)
2, 20,  M , ,  0 , N, 722001, 0, 	(14-MAY-2025 13:33:37)	 (Not Inserted)
2, 154,  M , ,  0 , N, 722001, 0, 	(14-MAY-2025 13:33:37)	 (Not Inserted)
2, 154,  M , ,  0 , N, 722001, 0, 	(14-MAY-2025 13:33:37)	 (Not Inserted)
2, 270,  M , 1,  0 , N, 710001, 0, 	(14-MAY-2025 13:33:37)
2, 270,  M , 1,  0 , N, 710002, 0, 	(14-MAY-2025 13:33:37)
2, 270,  M , 1,  0 , N, 710003, 0, 	(14-MAY-2025 13:33:37)
2, 270,  M , 1,  0 , N, 710004, 0, 	(14-MAY-2025 13:33:37)
2, 270,  M , 1,  0 , N, 710005, 0, 	(14-MAY-2025 13:33:37)
2, 270,  M , 1,  0 , N, 710006, 0, 	(14-MAY-2025 13:33:37)
2, 270,  M , 1,  0 , N, 710007, 0, 	(14-MAY-2025 13:33:37)
2, 270,  M , 1,  0 , N, 710008, 0, 	(14-MAY-2025 13:33:37)
2, 270,  M , 1,  0 , N, 710009, 0, 	(14-MAY-2025 13:33:37)
2, 270,  M , 1,  0 , N, 710010, 0, 	(14-MAY-2025 13:33:37)
2, 270,  M , 1,  0 , N, 710011, 0, 	(14-MAY-2025 13:33:37)
2, 270,  M , 1,  0 , N, 710012, 0, 	(14-MAY-2025 13:33:37)
2, 270,  M , 1,  0 , N, 710013, 0, 	(14-MAY-2025 13:33:37)
2, 270,  M , 1,  0 , N, 710014, 0, 	(14-MAY-2025 13:33:37)
2, 270,  M , 1,  0 , N, 710015, 0, 	(14-MAY-2025 13:33:37)
