

<<START>>,<<FMS_TRADER_CARGO_MST>> 	(17-JUN-2025 12:04:08)
 
COMPANY_CD,CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_TYPE,CONT_NO,CONT_REV,CARGO_NO,CARGO_REF_NO,TIMESTAMP
2, 15, , , , , 0, ,1,22019, 	(17-JUN-2025 12:04:08)	 (Not Inserted)
2, 20, , , , , 0, ,1,22022, 	(17-JUN-2025 12:04:08)	 (Not Inserted)
2, 20, , , , , 0, ,1,22028, 	(17-JUN-2025 12:04:08)	 (Not Inserted)
2, 154, , , , , 0, ,1,22029, 	(17-JUN-2025 12:04:08)	 (Not Inserted)
2, 154, , , , , 0, ,1,22030, 	(17-JUN-2025 12:04:08)	 (Not Inserted)
2, 270, M, 1, 0, N, 710001, 0,1,5002, 	(17-JUN-2025 12:04:08)
2, 270, M, 1, 0, N, 710002, 0,1,6003, 	(17-JUN-2025 12:04:08)
2, 270, M, 1, 0, N, 710003, 0,1,6012, 	(17-JUN-2025 12:04:08)
2, 270, M, 1, 0, N, 710004, 0,1,7004, 	(17-JUN-2025 12:04:08)
2, 270, M, 1, 0, N, 710005, 0,1,7007, 	(17-JUN-2025 12:04:08)
2, 270, M, 1, 0, N, 710006, 0,1,7012, 	(17-JUN-2025 12:04:08)
2, 270, M, 1, 0, N, 710007, 0,1,7019, 	(17-JUN-2025 12:04:08)
2, 270, M, 1, 0, N, 710008, 0,1,7020, 	(17-JUN-2025 12:04:08)
2, 270, M, 1, 0, N, 710009, 0,1,7022, 	(17-JUN-2025 12:04:08)
2, 270, M, 1, 0, N, 710010, 0,1,7023, 	(17-JUN-2025 12:04:08)
2, 270, M, 1, 0, N, 710011, 0,1,7024, 	(17-JUN-2025 12:04:08)
2, 270, M, 1, 0, N, 710012, 0,1,8001, 	(17-JUN-2025 12:04:08)
2, 270, M, 1, 0, N, 710013, 0,1,8007, 	(17-JUN-2025 12:04:08)
2, 270, M, 1, 0, N, 710014, 0,1,8013, 	(17-JUN-2025 12:04:08)
2, 270, M, 1, 0, N, 710015, 0,1,8014, 	(17-JUN-2025 12:04:08)
2, 270, M, 1, 0, N, 710016, 0,1,8015, 	(17-JUN-2025 12:04:08)
2, 270, M, 1, 0, N, 710017, 0,1,8017, 	(17-JUN-2025 12:04:08)
2, 270, M, 1, 0, N, 710018, 0,1,8019, 	(17-JUN-2025 12:04:08)
2, 270, M, 1, 0, N, 710019, 0,1,8021, 	(17-JUN-2025 12:04:08)
2, 270, M, 1, 0, N, 710020, 0,1,8025, 	(17-JUN-2025 12:04:08)
2, 270, M, 1, 0, N, 710021, 0,1,8026, 	(17-JUN-2025 12:04:08)
2, 270, M, 1, 0, N, 710022, 0,1,8028, 	(17-JUN-2025 12:04:08)
2, 270, M, 1, 0, N, 710023, 0,1,9003, 	(17-JUN-2025 12:04:08)
2, 270, M, 1, 0, N, 710024, 0,1,9004, 	(17-JUN-2025 12:04:08)
2, 270, M, 1, 0, N, 710025, 0,1,9005, 	(17-JUN-2025 12:04:08)
2, 270, M, 1, 0, N, 710026, 0,1,9007, 	(17-JUN-2025 12:04:08)
2, 270, M, 1, 0, N, 710027, 0,1,9011, 	(17-JUN-2025 12:04:08)
2, 270, M, 1, 0, N, 710028, 0,1,9014, 	(17-JUN-2025 12:04:08)
2, 270, M, 1, 0, N, 710029, 0,1,9016, 	(17-JUN-2025 12:04:08)
2, 270, M, 1, 0, N, 710030, 0,1,9017, 	(17-JUN-2025 12:04:08)
2, 270, M, 1, 0, N, 710031, 0,1,9021, 	(17-JUN-2025 12:04:08)
2, 270, M, 1, 0, N, 710032, 0,1,10002, 	(17-JUN-2025 12:04:08)
2, 270, M, 1, 0, N, 710033, 0,1,10004, 	(17-JUN-2025 12:04:08)
2, 270, M, 1, 0, N, 710034, 0,1,10005, 	(17-JUN-2025 12:04:08)
2, 270, M, 1, 0, N, 711001, 0,1,10009, 	(17-JUN-2025 12:04:08)
2, 270, M, 1, 0, N, 711001, 0,2,10010, 	(17-JUN-2025 12:04:08)
2, 270, M, 1, 0, N, 711001, 0,3,10011, 	(17-JUN-2025 12:04:08)
