

<<START>>,<<FMS_BUY_DAILY_ALLOCATION>>,,,,,, 	(19-MAY-2025 12:02:14)
 
COMNPANY_CD,CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP
2,1, 0, 0,823034, 4,D, 	(19-MAY-2025 12:02:15)
2,1, 0, 0,823034, 4,D, 	(19-MAY-2025 12:02:15)
2,1, 0, 0,823034, 4,D, 	(19-MAY-2025 12:02:15)
2,1, 0, 0,823034, 4,D, 	(19-MAY-2025 12:02:15)
2,1, 0, 0,823034, 4,D, 	(19-MAY-2025 12:02:15)
2,1, 0, 0,823034, 4,D, 	(19-MAY-2025 12:02:15)
2,1, 0, 0,823034, 4,D, 	(19-MAY-2025 12:02:15)
2,1, 0, 0,823034, 4,D, 	(19-MAY-2025 12:02:15)
2,1, 0, 0,823034, 4,D, 	(19-MAY-2025 12:02:15)
2,, , ,, ,, 	(19-MAY-2025 12:02:15)	 (Not Inserted)
2,1, 0, 0,823034, 4,D, 	(19-MAY-2025 12:02:15)
2,1, 0, 0,823034, 4,D, 	(19-MAY-2025 12:02:15)
2,1, 0, 0,823034, 4,D, 	(19-MAY-2025 12:02:15)
2,1, 0, 0,823034, 4,D, 	(19-MAY-2025 12:02:15)
2,, , ,, ,, 	(19-MAY-2025 12:02:15)	 (Not Inserted)
2,1, 0, 0,823034, 4,D, 	(19-MAY-2025 12:02:15)
2,1, 0, 0,823034, 4,D, 	(19-MAY-2025 12:02:15)
2,1, 0, 0,823034, 4,D, 	(19-MAY-2025 12:02:15)
2,1, 0, 0,823034, 4,D, 	(19-MAY-2025 12:02:15)
2,1, 0, 0,823034, 4,D, 	(19-MAY-2025 12:02:15)
2,1, 0, 0,823034, 4,D, 	(19-MAY-2025 12:02:15)
2,, , ,, ,, 	(19-MAY-2025 12:02:15)	 (Not Inserted)
2,, , ,, ,, 	(19-MAY-2025 12:02:15)	 (Not Inserted)
2,, , ,, ,, 	(19-MAY-2025 12:02:15)	 (Not Inserted)
2,, , ,, ,, 	(19-MAY-2025 12:02:15)	 (Not Inserted)
2,, , ,, ,, 	(19-MAY-2025 12:02:15)	 (Not Inserted)
2,, , ,, ,, 	(19-MAY-2025 12:02:15)	 (Not Inserted)
2,, , ,, ,, 	(19-MAY-2025 12:02:15)	 (Not Inserted)
2,, , ,, ,, 	(19-MAY-2025 12:02:15)	 (Not Inserted)
2,, , ,, ,, 	(19-MAY-2025 12:02:15)	 (Not Inserted)
2,, , ,, ,, 	(19-MAY-2025 12:02:15)	 (Not Inserted)
2,, , ,, ,, 	(19-MAY-2025 12:02:15)	 (Not Inserted)
2,, , ,, ,, 	(19-MAY-2025 12:02:15)	 (Not Inserted)
2,61, 0, 0,822030, 1,I, 	(19-MAY-2025 12:02:15)
2,61, 0, 0,822030, 1,I, 	(19-MAY-2025 12:02:15)
2,51, 0, 0,822014, 1,I, 	(19-MAY-2025 12:02:15)
2,, , ,, ,, 	(19-MAY-2025 12:02:15)	 (Not Inserted)
2,, , ,, ,, 	(19-MAY-2025 12:02:15)	 (Not Inserted)
2,51, 0, 0,822014, 1,I, 	(19-MAY-2025 12:02:15)
2,51, 0, 0,822014, 1,I, 	(19-MAY-2025 12:02:15)
2,51, 0, 0,822014, 1,I, 	(19-MAY-2025 12:02:15)
2,51, 0, 0,822014, 1,I, 	(19-MAY-2025 12:02:15)
2,51, 0, 0,822014, 1,I, 	(19-MAY-2025 12:02:15)
2,51, 0, 0,822014, 1,I, 	(19-MAY-2025 12:02:15)
2,51, 0, 0,822014, 1,I, 	(19-MAY-2025 12:02:15)
2,, , ,, ,, 	(19-MAY-2025 12:02:15)	 (Not Inserted)
2,, , ,, ,, 	(19-MAY-2025 12:02:15)	 (Not Inserted)
2,, , ,, ,, 	(19-MAY-2025 12:02:15)	 (Not Inserted)
