

<<START>>,<<FMS_BUY_CARGO_ALLOC>>,,,, 	(20-MAY-2025 11:30:02)
 
COMPANY_CD,CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONTRACT_TYPE,CONT_NO,CONT_REV,CARGO_NO,ALLOC_REV,TIMESTAMP
2,20,  ,, ,  ,1000 , ,, 0, 	(20-MAY-2025 11:30:02)	 (Not Inserted)
2,20,  ,, ,  ,1000 , ,, 0, 	(20-MAY-2025 11:30:02)	 (Not Inserted)
2,270, M, 1 ,0, N, 710006 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,270, M, 1 ,0, N, 710007 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,270, M, 1 ,0, N, 710008 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,270, M, 1 ,0, N, 710011 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,270, M, 1 ,0, N, 710030 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,270, M, 1 ,0, N, 711003 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,270, M, 1 ,0, N, 711001 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,270, M, 1 ,0, N, 712001 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,270, M, 1 ,0, N, 711001 ,0, 4, 0, 	(20-MAY-2025 11:30:02)
2,270, M, 1 ,0, N, 712001 ,0, 2, 0, 	(20-MAY-2025 11:30:02)
2,270, M, 1 ,0, N, 712001 ,0, 3, 0, 	(20-MAY-2025 11:30:02)
2,270, M, 1 ,0, N, 713001 ,0, 4, 0, 	(20-MAY-2025 11:30:02)
2,270, M, 1 ,0, N, 711001 ,0, 5, 0, 	(20-MAY-2025 11:30:02)
2,270, M, 1 ,0, N, 713001 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,270, M, 1 ,0, N, 713001 ,0, 3, 0, 	(20-MAY-2025 11:30:02)
2,270, M, 1 ,0, N, 713001 ,0, 5, 0, 	(20-MAY-2025 11:30:02)
2,270, M, 1 ,0, N, 713001 ,0, 2, 0, 	(20-MAY-2025 11:30:02)
2,270, M, 1 ,0, N, 711001 ,0, 2, 0, 	(20-MAY-2025 11:30:02)
2,270, M, 1 ,0, N, 711001 ,0, 3, 0, 	(20-MAY-2025 11:30:02)
2,270, M, 1 ,0, N, 713001 ,0, 6, 0, 	(20-MAY-2025 11:30:02)
2,270, M, 1 ,0, N, 711002 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,270, M, 1 ,0, N, 710002 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,270, M, 1 ,0, N, 710001 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,270, M, 1 ,0, N, 710028 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,270, M, 1 ,0, N, 710029 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,270, M, 1 ,0, N, 710009 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,270, M, 1 ,0, N, 710010 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,270, M, 1 ,0, N, 710012 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,270, M, 1 ,0, N, 710013 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,270, M, 1 ,0, N, 710014 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,270, M, 1 ,0, N, 710015 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,270, M, 1 ,0, N, 710016 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,270, M, 1 ,0, N, 710018 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,270, M, 1 ,0, N, 710017 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,270, M, 1 ,0, N, 710019 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,270, M, 1 ,0, N, 710020 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,270, M, 1 ,0, N, 710021 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,270, M, 1 ,0, N, 710022 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
