

<<START>>,<<FMS_TRADER_AGMT_MST>>,,,, 	(23-SEP-2025 14:34:27)
 
COMPANY_CD,COUNTERPARTY_CD,, 	(23-SEP-2025 14:34:27)
 
COMPANY_CD,COUNTERPARTY_CD,, 	(23-SEP-2025 14:34:27)
 
COMPANY_CD,COUNTERPARTY_CD,, 	(23-SEP-2025 14:34:27)
 
COMPANY_CD,COUNTERPARTY_CD,, 	(23-SEP-2025 14:34:27)
 

TOTAL DATA IN EXCEL : ,0, 	(23-SEP-2025 14:34:27)
 

TOTAL DATA INSERTED : ,5, 	(23-SEP-2025 14:34:27)
 

TOTAL SKIPPED DATA ,0, 	(23-SEP-2025 14:34:27)
 
<<END>>,<<FMS_TRADER_AGMT_MST>>, 	(23-SEP-2025 14:34:27)
 

<<START>>,<<FMS_TRADER_AGMT_BU>>, 	(23-SEP-2025 14:34:45)
 

TOTAL DATA IN EXCEL : ,0, 	(23-SEP-2025 14:34:45)
 

TOTAL DATA INSERTED : ,5, 	(23-SEP-2025 14:34:45)
 

TOTAL SKIPPED DATA ,0, 	(23-SEP-2025 14:34:45)
 
<<END>>,<<FMS_TRADER_AGMT_BU>>, 	(23-SEP-2025 14:34:45)
 
