

<<START>>,<<FMS_TRADER_CARGO_MST>> 	(23-SEP-2025 14:36:05)
 
COMPANY_CD,CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_TYPE,CONT_NO,CONT_REV,CARGO_NO,CARGO_REF_NO,TIMESTAMP
2, 15:HPCL, , , , , 0, ,1,22019, 	(23-SEP-2025 14:36:05)	 (Not Inserted)
2, 20:AMNS, , , , , 0, ,1,22022, 	(23-SEP-2025 14:36:05)	 (Not Inserted)
2, 20:AMNS, , , , , 0, ,1,22028, 	(23-SEP-2025 14:36:05)	 (Not Inserted)
2, 154:SEMTIPL, , , , , 0, ,1,22029, 	(23-SEP-2025 14:36:05)	 (Not Inserted)
2, 154:SEMTIPL, , , , , 0, ,1,22030, 	(23-SEP-2025 14:36:05)	 (Not Inserted)
2, 270:TGPL, M, 1, 0, N, 710001, 0,1,5002, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 710002, 0,1,6003, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 710003, 0,1,6012, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 710004, 0,1,7004, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 710005, 0,1,7007, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 710006, 0,1,7012, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 710007, 0,1,7019, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 710008, 0,1,7020, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 710009, 0,1,7022, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 710010, 0,1,7023, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 710011, 0,1,7024, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 710012, 0,1,8001, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 710013, 0,1,8007, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 710014, 0,1,8013, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 710015, 0,1,8014, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 710016, 0,1,8015, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 710017, 0,1,8017, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 710018, 0,1,8019, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 710019, 0,1,8021, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 710020, 0,1,8025, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 710021, 0,1,8026, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 710022, 0,1,8028, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 710023, 0,1,9003, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 710024, 0,1,9004, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 710025, 0,1,9005, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 710026, 0,1,9007, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 710027, 0,1,9011, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 710028, 0,1,9014, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 710029, 0,1,9016, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 710030, 0,1,9017, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 710031, 0,1,9021, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 710032, 0,1,10002, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 710033, 0,1,10004, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 710034, 0,1,10005, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 711001, 0,1,10009, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 711001, 0,2,10010, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 711001, 0,3,10011, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 711001, 0,4,10012, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 711001, 0,5,10013, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 711001, 0,6,10014, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 711002, 0,1,11002, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 711003, 0,1,11006, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 712001, 0,1,11008, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 712001, 0,2,11009, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 712001, 0,3,11010, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 713001, 0,1,11011, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 713001, 0,2,11012, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 713001, 0,3,11013, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 713001, 0,4,11014, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 713001, 0,5,11015, 	(23-SEP-2025 14:36:05)
2, 270:TGPL, M, 1, 0, N, 713001, 0,6,11016, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710035, 0,1,5001, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710036, 0,1,5003, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710037, 0,1,6001, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710038, 0,1,6002, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710039, 0,1,6004, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710040, 0,1,6005, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710041, 0,1,6006, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710042, 0,1,6007, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710043, 0,1,6008, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710044, 0,1,6009, 	(23-SEP-2025 14:36:05)
