

<<START>>,<<FMS_TRADER_CN_MST>>,,,, 	(26-MAR-2025 15:15:19)
 
COMPANY_CD,CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_TYPE,CONT_NO,CONT_REV,TIMESTAMP
2, 15,  M , ,  0 , N, 725001, 0, 	(26-MAR-2025 15:15:19)	 (Not Inserted)
2, 20,  M , ,  0 , N, 725001, 0, 	(26-MAR-2025 15:15:19)	 (Not Inserted)
2, 20,  M , ,  0 , N, 725001, 0, 	(26-MAR-2025 15:15:19)	 (Not Inserted)
2, 0,  M , ,  0 , N, 725001, 0, 	(26-MAR-2025 15:15:19)	 (Not Inserted)
2, 0,  M , ,  0 , N, 725001, 0, 	(26-MAR-2025 15:15:19)	 (Not Inserted)
2, 270,  M , ,  0 , N, 725001, 0, 	(26-MAR-2025 15:15:19)	 (Not Inserted)
2, 270,  M , ,  0 , N, 725001, 0, 	(26-MAR-2025 15:15:19)	 (Not Inserted)
2, 270,  M , ,  0 , N, 725001, 0, 	(26-MAR-2025 15:15:19)	 (Not Inserted)
2, 270,  M , ,  0 , N, 725001, 0, 	(26-MAR-2025 15:15:19)	 (Not Inserted)
2, 270,  M , ,  0 , N, 725001, 0, 	(26-MAR-2025 15:15:19)	 (Not Inserted)
2, 270,  M , ,  0 , N, 725001, 0, 	(26-MAR-2025 15:15:19)	 (Not Inserted)
2, 270,  M , ,  0 , N, 725001, 0, 	(26-MAR-2025 15:15:19)	 (Not Inserted)
2, 270,  M , ,  0 , N, 725001, 0, 	(26-MAR-2025 15:15:19)	 (Not Inserted)
2, 270,  M , ,  0 , N, 725001, 0, 	(26-MAR-2025 15:15:19)	 (Not Inserted)
2, 270,  M , ,  0 , N, 725001, 0, 	(26-MAR-2025 15:15:19)	 (Not Inserted)
2, 270,  M , ,  0 , N, 725001, 0, 	(26-MAR-2025 15:15:19)	 (Not Inserted)
2, 270,  M , ,  0 , N, 725001, 0, 	(26-MAR-2025 15:15:19)	 (Not Inserted)
2, 270,  M , ,  0 , N, 725001, 0, 	(26-MAR-2025 15:15:19)	 (Not Inserted)
2, 270,  M , ,  0 , N, 725001, 0, 	(26-MAR-2025 15:15:19)	 (Not Inserted)
2, 270,  M , ,  0 , N, 725001, 0, 	(26-MAR-2025 15:15:19)	 (Not Inserted)
2, 270,  M , ,  0 , N, 725001, 0, 	(26-MAR-2025 15:15:19)	 (Not Inserted)
2, 270,  M , ,  0 , N, 725001, 0, 	(26-MAR-2025 15:15:19)	 (Not Inserted)
2, 270,  M , ,  0 , N, 725001, 0, 	(26-MAR-2025 15:15:19)	 (Not Inserted)
2, 270,  M , ,  0 , N, 725001, 0, 	(26-MAR-2025 15:15:19)	 (Not Inserted)
2, 270,  M , ,  0 , N, 725001, 0, 	(26-MAR-2025 15:15:19)	 (Not Inserted)
2, 270,  M , ,  0 , N, 725001, 0, 	(26-MAR-2025 15:15:19)	 (Not Inserted)
2, 270,  M , ,  0 , N, 725001, 0, 	(26-MAR-2025 15:15:19)	 (Not Inserted)
2, 270,  M , ,  0 , N, 725001, 0, 	(26-MAR-2025 15:15:19)	 (Not Inserted)
2, 270,  M , ,  0 , N, 725001, 0, 	(26-MAR-2025 15:15:19)	 (Not Inserted)
2, 270,  M , ,  0 , N, 725001, 0, 	(26-MAR-2025 15:15:19)	 (Not Inserted)
2, 270,  M , ,  0 , N, 725001, 0, 	(26-MAR-2025 15:15:19)	 (Not Inserted)
2, 270,  M , ,  0 , N, 725001, 0, 	(26-MAR-2025 15:15:19)	 (Not Inserted)
2, 270,  M , ,  0 , N, 725001, 0, 	(26-MAR-2025 15:15:19)	 (Not Inserted)
2, 270,  M , ,  0 , N, 725001, 0, 	(26-MAR-2025 15:15:19)	 (Not Inserted)
2, 270,  M , ,  0 , N, 725001, 0, 	(26-MAR-2025 15:15:19)	 (Not Inserted)
2, 270,  M , ,  0 , N, 725001, 0, 	(26-MAR-2025 15:15:19)	 (Not Inserted)
2, 270,  M , ,  0 , N, 725001, 0, 	(26-MAR-2025 15:15:19)	 (Not Inserted)
2, 270,  M , ,  0 , N, 725001, 0, 	(26-MAR-2025 15:15:19)	 (Not Inserted)
2, 270,  M , ,  0 , N, 725001, 0, 	(26-MAR-2025 15:15:19)	 (Not Inserted)
2, 270,  M , ,  0 , N, 725001, 0, 	(26-MAR-2025 15:15:19)	 (Not Inserted)
2, 116,  M , 1,  0 , N, 725001, 0, 	(26-MAR-2025 15:15:19)
2, 116,  M , 1,  0 , N, 725002, 0, 	(26-MAR-2025 15:15:19)
2, 116,  M , 1,  0 , N, 725003, 0, 	(26-MAR-2025 15:15:19)
2, 116,  M , 1,  0 , N, 725004, 0, 	(26-MAR-2025 15:15:19)
2, 116,  M , 1,  0 , N, 725005, 0, 	(26-MAR-2025 15:15:19)
2, 116,  M , 1,  0 , N, 725006, 0, 	(26-MAR-2025 15:15:19)
2, 116,  M , 1,  0 , N, 725007, 0, 	(26-MAR-2025 15:15:19)
2, 116,  M , 1,  0 , N, 725008, 0, 	(26-MAR-2025 15:15:19)
2, 116,  M , 1,  0 , N, 725009, 0, 	(26-MAR-2025 15:15:19)
2, 116,  M , 1,  0 , N, 725010, 0, 	(26-MAR-2025 15:15:19)
2, 116,  M , 1,  0 , N, 725011, 0, 	(26-MAR-2025 15:15:19)
2, 116,  M , 1,  0 , N, 725012, 0, 	(26-MAR-2025 15:15:19)
2, 116,  M , 1,  0 , N, 725013, 0, 	(26-MAR-2025 15:15:19)
2, 116,  M , 1,  0 , N, 725014, 0, 	(26-MAR-2025 15:15:19)
2, 116,  M , 1,  0 , N, 725015, 0, 	(26-MAR-2025 15:15:19)
2, 116,  M , 1,  0 , N, 725016, 0, 	(26-MAR-2025 15:15:19)
2, 116,  M , 1,  0 , N, 725017, 0, 	(26-MAR-2025 15:15:19)
2, 116,  M , 1,  0 , N, 725018, 0, 	(26-MAR-2025 15:15:19)
2, 116,  M , 1,  0 , N, 725019, 0, 	(26-MAR-2025 15:15:19)
2, 116,  M , 1,  0 , N, 725020, 0, 	(26-MAR-2025 15:15:19)
2, 116,  M , 1,  0 , N, 725021, 0, 	(26-MAR-2025 15:15:19)
2, 116,  M , 1,  0 , N, 725022, 0, 	(26-MAR-2025 15:15:19)
2, 116,  M , 1,  0 , N, 725023, 0, 	(26-MAR-2025 15:15:19)
2, 116,  M , 1,  0 , N, 725024, 0, 	(26-MAR-2025 15:15:19)
2, 116,  M , 1,  0 , N, 725025, 0, 	(26-MAR-2025 15:15:19)
2, 116,  M , 1,  0 , N, 725026, 0, 	(26-MAR-2025 15:15:19)
2, 116,  M , 1,  0 , N, 725027, 0, 	(26-MAR-2025 15:15:19)
2, 116,  M , 1,  0 , N, 725028, 0, 	(26-MAR-2025 15:15:19)
2, 116,  M , 1,  0 , N, 725029, 0, 	(26-MAR-2025 15:15:19)
2, 116,  M , 1,  0 , N, 725030, 0, 	(26-MAR-2025 15:15:19)
2, 116,  M , 1,  0 , N, 725031, 0, 	(26-MAR-2025 15:15:19)
2, 116,  M , 1,  0 , N, 725032, 0, 	(26-MAR-2025 15:15:19)
2, 116,  M , 1,  0 , N, 725033, 0, 	(26-MAR-2025 15:15:19)
