

<<START>>,<<FMS_BUY_DAILY_BUYER_NOM>>,,,,,, 	(27-APR-2025 11:07:39)
 
COMNPANY_CD,CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP
2,1, 0, 0,825022, 4,D, 	(27-APR-2025 11:07:40)
2,1, 0, 0,825022, 4,D, 	(27-APR-2025 11:07:40)
2,1, 0, 0,825022, 4,D, 	(27-APR-2025 11:07:40)
2,1, 0, 0,825022, 4,D, 	(27-APR-2025 11:07:40)
2,1, 0, 0,825022, 4,D, 	(27-APR-2025 11:07:40)
2,1, 0, 0,825024, 4,D, 	(27-APR-2025 11:07:40)
2,1, 0, 0,825024, 4,D, 	(27-APR-2025 11:07:40)
2,1, 0, 0,825024, 4,D, 	(27-APR-2025 11:07:40)
2,1, 0, 0,825024, 4,D, 	(27-APR-2025 11:07:40)
2,1, 0, 0,825024, 4,D, 	(27-APR-2025 11:07:40)
2,1, 0, 0,825025, 4,D, 	(27-APR-2025 11:07:40)
2,1, 0, 0,825024, 4,D, 	(27-APR-2025 11:07:40)
2,1, 0, 0,825024, 4,D, 	(27-APR-2025 11:07:40)
2,1, 0, 0,825024, 4,D, 	(27-APR-2025 11:07:40)
2,1, 0, 0,825024, 4,D, 	(27-APR-2025 11:07:40)
2,1, 0, 0,825024, 4,D, 	(27-APR-2025 11:07:40)
2,1, 0, 0,825025, 4,D, 	(27-APR-2025 11:07:40)
2,1, 0, 0,825025, 4,D, 	(27-APR-2025 11:07:40)
2,1, 0, 0,825025, 4,D, 	(27-APR-2025 11:07:40)
2,1, 0, 0,825024, 4,D, 	(27-APR-2025 11:07:40)
2,1, 0, 0,825024, 4,D, 	(27-APR-2025 11:07:40)
2,1, 0, 0,825024, 4,D, 	(27-APR-2025 11:07:40)
2,1, 0, 0,825024, 4,D, 	(27-APR-2025 11:07:40)
2,1, 0, 0,825024, 4,D, 	(27-APR-2025 11:07:40)
2,1, 0, 0,825024, 4,D, 	(27-APR-2025 11:07:40)
2,1, 0, 0,825024, 4,D, 	(27-APR-2025 11:07:40)
2,1, 0, 0,825024, 4,D, 	(27-APR-2025 11:07:40)
2,1, 0, 0,825025, 4,D, 	(27-APR-2025 11:07:40)
2,1, 0, 0,825025, 4,D, 	(27-APR-2025 11:07:40)
2,1, 0, 0,825025, 4,D, 	(27-APR-2025 11:07:40)
2,1, 0, 0,825024, 4,D, 	(27-APR-2025 11:07:40)
2,1, 0, 0,825024, 4,D, 	(27-APR-2025 11:07:40)
2,1, 0, 0,825024, 4,D, 	(27-APR-2025 11:07:40)
2,1, 0, 0,825024, 4,D, 	(27-APR-2025 11:07:40)
2,1, 0, 0,825024, 4,D, 	(27-APR-2025 11:07:40)
2,1, 0, 0,825024, 4,D, 	(27-APR-2025 11:07:40)
2,1, 0, 0,825025, 4,D, 	(27-APR-2025 11:07:40)
2,1, 0, 0,825021, 4,D, 	(27-APR-2025 11:07:40)
2,1, 0, 0,825021, 4,D, 	(27-APR-2025 11:07:40)
2,, , ,, ,, 	(27-APR-2025 11:07:40)	 (Not Inserted)
2,, , ,, ,, 	(27-APR-2025 11:07:40)	 (Not Inserted)
2,, , ,, ,, 	(27-APR-2025 11:07:40)	 (Not Inserted)
2,, , ,, ,, 	(27-APR-2025 11:07:40)	 (Not Inserted)
2,, , ,, ,, 	(27-APR-2025 11:07:40)	 (Not Inserted)
2,, , ,, ,, 	(27-APR-2025 11:07:40)	 (Not Inserted)
2,1, 0, 0,825022, 4,D, 	(27-APR-2025 11:07:40)
2,1, 0, 0,825023, 4,D, 	(27-APR-2025 11:07:40)
2,1, 0, 0,825023, 4,D, 	(27-APR-2025 11:07:40)
2,1, 0, 0,825022, 4,D, 	(27-APR-2025 11:07:40)
2,1, 0, 0,825023, 4,D, 	(27-APR-2025 11:07:40)
