

<<START>>,<<FMS_FFLOW_INV_DTL>>,, 	(04-SEP-2025 16:04:46)
 
COMPANY_CD,COUNTERPARTY_CD,FINANCIAL_YEAR,BU_STATE_TIN,INVOICE_TYPE,INVOICE_SEQ,LINE_NO,TIMESTAMP,
2,1 , 2016-2017 , 0,DR,null,1, 	(04-SEP-2025 16:04:46)	 (Not Inserted)
2,1 , 2016-2017 , 0,CR,null,1, 	(04-SEP-2025 16:04:46)	 (Not Inserted)
2,1 , 2016-2017 , 0,CR,null,1, 	(04-SEP-2025 16:04:46)	 (Not Inserted)
2,1 , 2016-2017 , 0,CR,null,1, 	(04-SEP-2025 16:04:46)	 (Not Inserted)
2,1 , 2016-2017 , 0,CR,null,1, 	(04-SEP-2025 16:04:46)	 (Not Inserted)
2,1 , 2017-2018 , 0,CR,null,1, 	(04-SEP-2025 16:04:46)	 (Not Inserted)
2,1 , 2017-2018 , 0,CR,null,1, 	(04-SEP-2025 16:04:46)	 (Not Inserted)
2,1 , 2019-2020 , 0,DR,null,1, 	(04-SEP-2025 16:04:46)	 (Not Inserted)
2,3 , 2018-2019 , 0,CR,null,1, 	(04-SEP-2025 16:04:46)	 (Not Inserted)
2,3 , 2019-2020 , 0,DR,null,1, 	(04-SEP-2025 16:04:46)	 (Not Inserted)
2,4 , 2025-2026 , 24,OR,null,1, 	(04-SEP-2025 16:04:46)
**********AutomationEMS Error  (04-SEP-2025 16:04:46) **********
java.sql.SQLIntegrityConstraintViolationException: ORA-01400: cannot insert NULL into ("MIGRATE2EMS"."FMS_FFLOW_INV_DTL"."ADDR_FLAG")


com.etrm.fms.migration.Sales_SEIPL_Data_Reader.FMS_FFLOW_INV_DTL(Sales_SEIPL_Data_Reader.java:16837)
com.etrm.fms.migration.Sales_SEIPL_Data_Reader.init(Sales_SEIPL_Data_Reader.java:283)
**************************************************

<<FUNCTION FMS_FFLOW_INV_DTL() ENDED WITH ERRORS>>
