

<<START>>,<<FMS_TANK_CONSUMPTION_MST>>, 	(05-MAR-2025 17:46:44)
 
COMPANY_CD,EFF_DT,TIMESTAMP,
2,01/04/2005 00:00:00, 	(05-MAR-2025 17:46:45)
2,15/11/2011 00:00:00, 	(05-MAR-2025 17:46:45)
2,26/11/2019 00:00:00, 	(05-MAR-2025 17:46:45)
2,16/12/2020 00:00:00, 	(05-MAR-2025 17:46:45)

TOTAL DATA IN EXCEL : ,4,, 	(05-MAR-2025 17:46:45)
 

TOTAL DATA INSERTED : ,4,, 	(05-MAR-2025 17:46:45)
 

TOTAL SKIPPED DATA ,0,, 	(05-MAR-2025 17:46:45)
 
<<END>>,<<FMS_TANK_CONSUMPTION_MST>>, 	(05-MAR-2025 17:46:45)
 
