

<<START>>,<<FMS_GTA_CONT_MST>>,, 	(28-AUG-2025 10:33:06)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,CONT_NAME,CONT_REF,CUSTOMER_CD,ENT_PT,EXIT_PT,AGMT_TYPE,TIMESTAMP,
2,4 , 1,0,1,0,C,Gail-SEIPL-GTA1-REV0 C1-REV0,1-1-1601-881S1-0-10-0-1,49,1,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,2,0,C,Gail-SEIPL-GTA1-REV0 C2-REV0,1-1-1606-881S1-0-10-0-1,49,6,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,3,0,C,Gail-SEIPL-GTA1-REV0 C3-REV0,1-1-1601-1132L31-0-1-0-2,105,1,2,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,4,0,C,Gail-SEIPL-GTA1-REV0 C4-REV0,1-1-1604-1134L31-0-1-0-4,105,4,4,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,5,0,C,Gail-SEIPL-GTA1-REV0 C5-REV0,1-1-1604-1135L31-0-1-0-5,105,4,5,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,6,0,C,Gail-SEIPL-GTA1-REV0 C6-REV0,1-1-1604-1101S1-0-6-0-1,63,4,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,7,0,C,Gail-SEIPL-GTA1-REV0 C7-REV0,1-1-1603-1021S1-0-1-0-1,56,3,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,8,0,C,Gail-SEIPL-GTA1-REV0 C8-REV0,1-1-1604-881S1-0-10-0-1,49,4,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,9,0,C,Gail-SEIPL-GTA1-REV0 C9-REV0,1-1-1601-371S1-0-18-0-1,23,1,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,10,0,C,Gail-SEIPL-GTA1-REV0 C10-REV0,1-1-1601-372S1-0-19-0-2,23,1,2,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,11,0,C,Gail-SEIPL-GTA1-REV0 C11-REV0,1-1-1606-371S1-0-18-0-1,23,6,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,12,0,C,Gail-SEIPL-GTA1-REV0 C12-REV0,1-1-1603-371S1-0-18-0-1,23,3,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,13,0,C,Gail-SEIPL-GTA1-REV0 C13-REV0,1-1-1606-372S1-0-19-0-2,23,6,2,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,14,0,C,Gail-SEIPL-GTA1-REV0 C14-REV0,1-1-1603-372S1-0-19-0-2,23,3,2,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,15,0,C,Gail-SEIPL-GTA1-REV0 C15-REV0,1-1-1606-722L31-0-1-0-2,41,6,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,16,0,C,Gail-SEIPL-GTA1-REV0 C16-REV0,1-1-1604-1101S1-0-5-0-1,63,4,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,17,0,C,Gail-SEIPL-GTA1-REV0 C17-REV0,1-1-1601-1132L29-0-1-1-2,105,1,2,G, 	(28-AUG-2025 10:33:07)
