

<<ROLLBACK_START>>,<<FMS_ENTITY_CONTACT_MST()>>,,,,,, 	(01-MAR-2025 16:55:35)
 
COMPANY_CD,COUNTERPARTY_CD,ENTITY,SEQ_NO,EFF_DT,ADDR_FLAG,TYPE,TIMESTAMP
2,1,C,1,01/01/2013 00:00:00,P8,RLNG, 	(01-MAR-2025 16:55:37)
2,1,C,2,01/01/2020 00:00:00,B,RLNG, 	(01-MAR-2025 16:55:37)
2,1,C,3,01/01/2020 00:00:00,P15,RLNG, 	(01-MAR-2025 16:55:37)
2,1,C,4,01/01/2020 00:00:00,P15,RLNG, 	(01-MAR-2025 16:55:37)
2,1,C,5,01/01/2020 00:00:00,P9,RLNG, 	(01-MAR-2025 16:55:37)
2,1,C,6,01/01/2020 00:00:00,P9,RLNG, 	(01-MAR-2025 16:55:37)
2,1,C,7,01/01/2020 00:00:00,P15,RLNG, 	(01-MAR-2025 16:55:37)
2,1,C,8,01/01/2020 00:00:00,B,RLNG, 	(01-MAR-2025 16:55:37)
2,1,C,9,01/01/2020 00:00:00,P2,RLNG, 	(01-MAR-2025 16:55:37)
2,1,C,10,01/01/2020 00:00:00,P9,RLNG, 	(01-MAR-2025 16:55:37)
2,1,C,11,01/01/2020 00:00:00,P9,RLNG, 	(01-MAR-2025 16:55:37)
2,1,C,1,01/06/2021 00:00:00,P17,RLNG, 	(01-MAR-2025 16:55:37)
2,1,C,13,01/06/2021 00:00:00,P16,RLNG, 	(01-MAR-2025 16:55:37)
2,1,C,14,01/07/2017 00:00:00,P13,RLNG, 	(01-MAR-2025 16:55:37)
2,1,C,15,01/07/2021 00:00:00,P5,RLNG, 	(01-MAR-2025 16:55:37)
2,1,C,16,01/07/2021 00:00:00,P5,RLNG, 	(01-MAR-2025 16:55:37)
2,1,C,17,01/07/2021 00:00:00,P5,RLNG, 	(01-MAR-2025 16:55:37)
2,1,C,12,01/09/2013 00:00:00,P9,RLNG, 	(01-MAR-2025 16:55:37)
2,1,C,19,10/02/2012 00:00:00,R,RLNG, 	(01-MAR-2025 16:55:37)
2,1,C,20,10/02/2012 00:00:00,P2,RLNG, 	(01-MAR-2025 16:55:37)
2,1,C,2,14/09/2008 00:00:00,P4,RLNG, 	(01-MAR-2025 16:55:37)
2,1,C,22,14/09/2008 00:00:00,R,RLNG, 	(01-MAR-2025 16:55:37)
2,1,C,19,14/09/2008 00:00:00,P2,RLNG, 	(01-MAR-2025 16:55:37)
