

<<ROLLBACK_START>>,<<FMS_METER_MST()>>,,,, 	(12-MAR-2025 18:07:07)
 
COMPANY_CD,COUNTERPARTY_CD,PLANT_SEQ,METER_TYPE,METER_SEQ,TIMESTAMP
2,4,1,R,2, 	(12-MAR-2025 18:07:07)	 (Not Deleted)
2,4,1,R,3, 	(12-MAR-2025 18:07:07)	 (Not Deleted)
2,4,1,R,4, 	(12-MAR-2025 18:07:07)	 (Not Deleted)
2,4,1,R,5, 	(12-MAR-2025 18:07:07)	 (Not Deleted)
2,4,1,R,6, 	(12-MAR-2025 18:07:07)	 (Not Deleted)
2,4,6,R,1, 	(12-MAR-2025 18:07:07)	 (Not Deleted)
2,4,6,R,2, 	(12-MAR-2025 18:07:07)	 (Not Deleted)
2,4,6,R,3, 	(12-MAR-2025 18:07:07)	 (Not Deleted)
2,4,6,R,4, 	(12-MAR-2025 18:07:07)	 (Not Deleted)
2,4,6,R,5, 	(12-MAR-2025 18:07:07)	 (Not Deleted)
2,4,6,R,6, 	(12-MAR-2025 18:07:07)	 (Not Deleted)
2,4,9,R,1, 	(12-MAR-2025 18:07:07)	 (Not Deleted)
2,4,9,R,2, 	(12-MAR-2025 18:07:07)	 (Not Deleted)
2,4,9,R,3, 	(12-MAR-2025 18:07:07)	 (Not Deleted)
2,4,9,R,4, 	(12-MAR-2025 18:07:07)	 (Not Deleted)
2,4,10,R,1, 	(12-MAR-2025 18:07:07)	 (Not Deleted)
2,29,1,R,3, 	(12-MAR-2025 18:07:07)	 (Not Deleted)
2,29,1,R,4, 	(12-MAR-2025 18:07:07)	 (Not Deleted)
2,29,1,R,5, 	(12-MAR-2025 18:07:07)	 (Not Deleted)
2,29,1,R,6, 	(12-MAR-2025 18:07:07)	 (Not Deleted)
2,29,1,R,7, 	(12-MAR-2025 18:07:07)	 (Not Deleted)
2,29,1,R,8, 	(12-MAR-2025 18:07:07)	 (Not Deleted)
2,29,2,R,1, 	(12-MAR-2025 18:07:07)	 (Not Deleted)
2,29,2,R,2, 	(12-MAR-2025 18:07:07)	 (Not Deleted)
2,29,2,R,3, 	(12-MAR-2025 18:07:07)	 (Not Deleted)
2,29,2,R,4, 	(12-MAR-2025 18:07:07)	 (Not Deleted)
2,29,3,R,1, 	(12-MAR-2025 18:07:07)	 (Not Deleted)
2,29,3,R,2, 	(12-MAR-2025 18:07:07)	 (Not Deleted)
2,29,3,R,3, 	(12-MAR-2025 18:07:07)	 (Not Deleted)
2,29,3,R,4, 	(12-MAR-2025 18:07:07)	 (Not Deleted)
2,29,3,R,5, 	(12-MAR-2025 18:07:07)	 (Not Deleted)
2,29,5,R,1, 	(12-MAR-2025 18:07:07)	 (Not Deleted)
2,29,5,R,2, 	(12-MAR-2025 18:07:07)	 (Not Deleted)
2,29,5,R,3, 	(12-MAR-2025 18:07:07)	 (Not Deleted)
2,29,5,R,4, 	(12-MAR-2025 18:07:07)	 (Not Deleted)
2,29,5,R,5, 	(12-MAR-2025 18:07:07)	 (Not Deleted)
2,45,1,R,2, 	(12-MAR-2025 18:07:07)	 (Not Deleted)
2,45,1,R,3, 	(12-MAR-2025 18:07:07)	 (Not Deleted)
2,45,2,R,2, 	(12-MAR-2025 18:07:07)	 (Not Deleted)

TOTAL DATA DELETED : ,0,,,, 	(12-MAR-2025 18:07:07)
 

<<ROLLBACK_END>>,<<FMS_METER_MST()>>,,,, 	(12-MAR-2025 18:07:07)
 
