

<<ROLLBACK_START>>,<<FMS_HOLIDAY_DTL()>>,, 	(13-MAR-2025 09:48:31)
 
HOLIDAY_DATE,HOLIDAY_NAME,STATE_TIN,TIMESTAMP
16/02/2025 00:00:00,SUNDAY,12, 	(13-MAR-2025 09:48:31)
14/01/2022 00:00:00,Makar Sankranti/ Pongal,27, 	(13-MAR-2025 09:48:31)
26/01/2022 00:00:00,Republic Day,27, 	(13-MAR-2025 09:48:31)
01/03/2022 00:00:00,Mahashivratri,27, 	(13-MAR-2025 09:48:31)
18/03/2022 00:00:00,Holi,27, 	(13-MAR-2025 09:48:31)
15/04/2022 00:00:00,Good Friday,27, 	(13-MAR-2025 09:48:31)
03/05/2022 00:00:00,Id-Ul-Fitr*/Ramadan,27, 	(13-MAR-2025 09:48:31)
15/08/2022 00:00:00,Independance Day,27, 	(13-MAR-2025 09:48:31)
19/08/2022 00:00:00,Krishna Jayanthi/ Janmashtami,27, 	(13-MAR-2025 09:48:31)
31/08/2022 00:00:00,Ganesh Chaturthi,27, 	(13-MAR-2025 09:48:31)
05/10/2022 00:00:00,Durga Puja (Vijay Dashmi)/ Dussehra,27, 	(13-MAR-2025 09:48:31)
24/10/2022 00:00:00,Naraka Chaturdashi/ Diwali,27, 	(13-MAR-2025 09:48:31)
26/10/2022 00:00:00,Diwali - Bhai Duj,27, 	(13-MAR-2025 09:48:31)
10/08/2021 00:00:00,Ganesh Chaturthi,27, 	(13-MAR-2025 09:48:31)
15/10/2021 00:00:00,Durga Puja / Dasera,27, 	(13-MAR-2025 09:48:31)
10/09/2021 00:00:00,Ganesh Chaturthi,27, 	(13-MAR-2025 09:48:31)
04/11/2021 00:00:00,Diwali,27, 	(13-MAR-2025 09:48:31)
05/11/2021 00:00:00,Balipadyami Deepavali,27, 	(13-MAR-2025 09:48:31)

TOTAL DATA DELETED : ,18,, 	(13-MAR-2025 09:48:31)
 
<<ROLLBACK_END>>,<<FMS_HOLIDAY_DTL()>>,, 	(13-MAR-2025 09:48:31)
 
