

<<ROLLBACK_START>>,<<FMS_ENTITY_CONTACT_MST()>>,,,,,, 	(14-APR-2025 13:06:05)
 
COMPANY_CD,COUNTERPARTY_CD,ENTITY,SEQ_NO,EFF_DT,ADDR_FLAG,TYPE,TIMESTAMP
2,1,C,1,14/09/2008 00:00:00,R,RLNG, 	(14-APR-2025 13:06:06)
2,1,C,2,01/07/2021 00:00:00,P5,RLNG, 	(14-APR-2025 13:06:06)
2,1,C,3,31/01/2018 00:00:00,B,RLNG, 	(14-APR-2025 13:06:06)
2,1,C,4,01/07/2021 00:00:00,P5,RLNG, 	(14-APR-2025 13:06:06)
2,1,C,5,01/01/2020 00:00:00,P4,RLNG, 	(14-APR-2025 13:06:06)
2,1,C,5,01/01/2020 00:00:00,B,RLNG, 	(14-APR-2025 13:06:06)
2,1,C,6,14/09/2008 00:00:00,R,RLNG, 	(14-APR-2025 13:06:06)
2,1,C,7,31/01/2018 00:00:00,P8,RLNG, 	(14-APR-2025 13:06:06)
2,1,C,8,14/09/2008 00:00:00,P8,RLNG, 	(14-APR-2025 13:06:06)
2,1,C,9,10/02/2012 00:00:00,P2,RLNG, 	(14-APR-2025 13:06:06)
2,1,C,9,10/02/2012 00:00:00,R,RLNG, 	(14-APR-2025 13:06:06)
2,1,C,10,01/01/2020 00:00:00,P15,RLNG, 	(14-APR-2025 13:06:06)
2,1,C,11,14/09/2008 00:00:00,P4,RLNG, 	(14-APR-2025 13:06:06)
2,1,C,12,31/01/2018 00:00:00,P2,RLNG, 	(14-APR-2025 13:06:06)
2,1,C,13,31/01/2018 00:00:00,B,RLNG, 	(14-APR-2025 13:06:06)
2,1,C,14,14/09/2008 00:00:00,R,RLNG, 	(14-APR-2025 13:06:06)
2,1,C,15,31/01/2018 00:00:00,P3,RLNG, 	(14-APR-2025 13:06:06)
2,1,C,15,31/01/2018 00:00:00,P6,RLNG, 	(14-APR-2025 13:06:06)
2,1,C,15,31/01/2018 00:00:00,P10,RLNG, 	(14-APR-2025 13:06:06)
2,1,C,15,31/01/2018 00:00:00,P11,RLNG, 	(14-APR-2025 13:06:06)
2,1,C,15,31/01/2018 00:00:00,P7,RLNG, 	(14-APR-2025 13:06:06)
2,1,C,15,31/01/2018 00:00:00,B,RLNG, 	(14-APR-2025 13:06:06)
2,1,C,16,14/09/2008 00:00:00,P5,RLNG, 	(14-APR-2025 13:06:06)
