

<<ROLLBACK_START>>,<<FMS_ENTITY_ADDR_MST()>>,,,, 	(26-FEB-2025 10:04:04)
 
COMPANY_CD,COUNTERPARTY_CD,ADRESS_TYPE,ENTITY,EFF_DT,TIMESTAMP
2,1,B,C,14/09/2008 00:00:00, 	(26-FEB-2025 10:04:05)
2,1,C,C,14/09/2008 00:00:00, 	(26-FEB-2025 10:04:05)
2,1,R,C,14/09/2008 00:00:00, 	(26-FEB-2025 10:04:05)
2,2,B,C,16/07/2009 00:00:00, 	(26-FEB-2025 10:04:05)
2,2,C,C,16/07/2009 00:00:00, 	(26-FEB-2025 10:04:05)
2,2,R,C,16/07/2009 00:00:00, 	(26-FEB-2025 10:04:05)
2,3,B,C,24/03/2005 00:00:00, 	(26-FEB-2025 10:04:05)
2,3,C,C,24/03/2005 00:00:00, 	(26-FEB-2025 10:04:05)
2,3,R,C,24/03/2005 00:00:00, 	(26-FEB-2025 10:04:05)
2,4,B,C,08/03/2007 00:00:00, 	(26-FEB-2025 10:04:05)
2,4,C,C,08/03/2007 00:00:00, 	(26-FEB-2025 10:04:05)
2,4,R,C,08/03/2007 00:00:00, 	(26-FEB-2025 10:04:05)
2,4,R,R,08/03/2007 00:00:00, 	(26-FEB-2025 10:04:05)
2,282,B,C,09/04/2010 00:00:00, 	(26-FEB-2025 10:04:05)
2,282,C,C,09/04/2010 00:00:00, 	(26-FEB-2025 10:04:05)
2,282,R,C,09/04/2010 00:00:00, 	(26-FEB-2025 10:04:05)
2,283,B,C,09/04/2010 00:00:00, 	(26-FEB-2025 10:04:05)
2,283,C,C,09/04/2010 00:00:00, 	(26-FEB-2025 10:04:05)
2,283,R,C,09/04/2010 00:00:00, 	(26-FEB-2025 10:04:05)
2,217,R,C,01/04/2006 00:00:00, 	(26-FEB-2025 10:04:05)
2,5,C,C,01/06/2006 00:00:00, 	(26-FEB-2025 10:04:05)
2,5,R,C,01/06/2006 00:00:00, 	(26-FEB-2025 10:04:05)
2,6,B,C,05/12/2007 00:00:00, 	(26-FEB-2025 10:04:05)
2,6,C,C,05/12/2007 00:00:00, 	(26-FEB-2025 10:04:05)
2,6,R,C,05/12/2007 00:00:00, 	(26-FEB-2025 10:04:05)
2,7,B,C,03/12/2007 00:00:00, 	(26-FEB-2025 10:04:05)
2,7,C,C,03/12/2007 00:00:00, 	(26-FEB-2025 10:04:05)
2,7,R,C,03/12/2007 00:00:00, 	(26-FEB-2025 10:04:05)
2,8,B,C,22/07/2009 00:00:00, 	(26-FEB-2025 10:04:05)
2,8,C,C,22/07/2009 00:00:00, 	(26-FEB-2025 10:04:05)
2,8,R,C,22/07/2009 00:00:00, 	(26-FEB-2025 10:04:05)
2,218,R,C,04/04/2008 00:00:00, 	(26-FEB-2025 10:04:05)
2,284,C,C,20/12/2007 00:00:00, 	(26-FEB-2025 10:04:05)
2,284,R,C,20/12/2007 00:00:00, 	(26-FEB-2025 10:04:05)
2,242,C,C,16/04/2008 00:00:00, 	(26-FEB-2025 10:04:05)
2,242,R,C,16/04/2008 00:00:00, 	(26-FEB-2025 10:04:05)
2,249,C,C,28/02/2008 00:00:00, 	(26-FEB-2025 10:04:05)
2,249,R,C,28/02/2008 00:00:00, 	(26-FEB-2025 10:04:05)
2,9,B,C,01/04/2009 00:00:00, 	(26-FEB-2025 10:04:05)
2,9,C,C,01/04/2009 00:00:00, 	(26-FEB-2025 10:04:05)
2,9,R,C,01/04/2009 00:00:00, 	(26-FEB-2025 10:04:05)
2,225,R,C,12/12/2007 00:00:00, 	(26-FEB-2025 10:04:05)
2,10,B,C,11/05/2012 00:00:00, 	(26-FEB-2025 10:04:05)
2,10,C,C,11/05/2012 00:00:00, 	(26-FEB-2025 10:04:05)
2,10,R,C,11/05/2012 00:00:00, 	(26-FEB-2025 10:04:05)
2,11,B,C,04/08/2012 00:00:00, 	(26-FEB-2025 10:04:05)
2,11,C,C,04/08/2012 00:00:00, 	(26-FEB-2025 10:04:05)
2,11,R,C,04/08/2012 00:00:00, 	(26-FEB-2025 10:04:05)
2,280,B,C,31/05/2011 00:00:00, 	(26-FEB-2025 10:04:05)
2,280,C,C,31/05/2011 00:00:00, 	(26-FEB-2025 10:04:05)
2,280,R,C,31/05/2011 00:00:00, 	(26-FEB-2025 10:04:05)
2,12,B,C,20/06/2013 00:00:00, 	(26-FEB-2025 10:04:05)
2,12,C,C,20/06/2013 00:00:00, 	(26-FEB-2025 10:04:05)
2,12,R,C,20/06/2013 00:00:00, 	(26-FEB-2025 10:04:05)
2,13,B,C,04/02/2011 00:00:00, 	(26-FEB-2025 10:04:05)
2,13,C,C,04/02/2011 00:00:00, 	(26-FEB-2025 10:04:05)
2,13,R,C,04/02/2011 00:00:00, 	(26-FEB-2025 10:04:05)
2,14,B,C,24/07/2014 00:00:00, 	(26-FEB-2025 10:04:05)
2,14,C,C,24/07/2014 00:00:00, 	(26-FEB-2025 10:04:05)
2,14,R,C,24/07/2014 00:00:00, 	(26-FEB-2025 10:04:05)
2,14,R,T,01/08/2022 00:00:00, 	(26-FEB-2025 10:04:05)
2,269,B,C,06/08/2014 00:00:00, 	(26-FEB-2025 10:04:05)
2,269,C,C,06/08/2014 00:00:00, 	(26-FEB-2025 10:04:05)
2,269,R,C,06/08/2014 00:00:00, 	(26-FEB-2025 10:04:05)
2,15,B,C,16/09/2014 00:00:00, 	(26-FEB-2025 10:04:05)
2,15,C,C,15/06/2016 00:00:00, 	(26-FEB-2025 10:04:05)
2,15,R,C,17/11/2010 00:00:00, 	(26-FEB-2025 10:04:05)
2,15,R,T,15/06/2016 00:00:00, 	(26-FEB-2025 10:04:05)
2,16,B,C,31/05/2011 00:00:00, 	(26-FEB-2025 10:04:05)
2,16,C,C,31/05/2011 00:00:00, 	(26-FEB-2025 10:04:05)
2,16,R,C,31/05/2011 00:00:00, 	(26-FEB-2025 10:04:05)
2,17,B,C,28/07/2016 00:00:00, 	(26-FEB-2025 10:04:05)
2,17,C,C,28/07/2016 00:00:00, 	(26-FEB-2025 10:04:05)
2,17,R,C,28/07/2016 00:00:00, 	(26-FEB-2025 10:04:05)
2,18,B,C,14/03/2016 00:00:00, 	(26-FEB-2025 10:04:05)
2,18,C,C,14/03/2016 00:00:00, 	(26-FEB-2025 10:04:05)
2,18,R,C,14/03/2016 00:00:00, 	(26-FEB-2025 10:04:05)
2,228,B,C,14/11/2016 00:00:00, 	(26-FEB-2025 10:04:05)
2,228,C,C,14/11/2016 00:00:00, 	(26-FEB-2025 10:04:05)
2,228,R,C,14/11/2016 00:00:00, 	(26-FEB-2025 10:04:05)
2,160,B,C,14/11/2016 00:00:00, 	(26-FEB-2025 10:04:05)
2,160,C,C,14/11/2016 00:00:00, 	(26-FEB-2025 10:04:05)
2,160,R,C,14/11/2016 00:00:00, 	(26-FEB-2025 10:04:05)
2,19,B,C,13/01/2017 00:00:00, 	(26-FEB-2025 10:04:05)
2,19,C,C,13/01/2017 00:00:00, 	(26-FEB-2025 10:04:05)
2,19,R,C,13/01/2017 00:00:00, 	(26-FEB-2025 10:04:05)
2,20,B,C,18/01/2012 00:00:00, 	(26-FEB-2025 10:04:05)
2,20,C,C,18/01/2012 00:00:00, 	(26-FEB-2025 10:04:05)
2,20,R,C,18/01/2012 00:00:00, 	(26-FEB-2025 10:04:05)
2,20,R,T,18/01/2012 00:00:00, 	(26-FEB-2025 10:04:05)
2,286,B,C,28/07/2017 00:00:00, 	(26-FEB-2025 10:04:05)
2,286,C,C,28/07/2017 00:00:00, 	(26-FEB-2025 10:04:05)
2,286,R,C,28/07/2017 00:00:00, 	(26-FEB-2025 10:04:05)
2,286,R,T,28/07/2017 00:00:00, 	(26-FEB-2025 10:04:05)
2,21,B,C,28/11/2018 00:00:00, 	(26-FEB-2025 10:04:05)
2,21,C,C,28/11/2017 00:00:00, 	(26-FEB-2025 10:04:05)
2,21,R,C,28/11/2017 00:00:00, 	(26-FEB-2025 10:04:05)
2,22,B,C,03/07/2019 00:00:00, 	(26-FEB-2025 10:04:05)
2,22,C,C,03/07/2019 00:00:00, 	(26-FEB-2025 10:04:05)
2,22,R,C,03/07/2019 00:00:00, 	(26-FEB-2025 10:04:05)
2,23,B,C,04/10/2019 00:00:00, 	(26-FEB-2025 10:04:05)
