

<<ROLLBACK_START>>,<<FMS_SECTOR_MST()>>, 	(26-FEB-2025 11:08:40)
 
CD,ABBR,TIMESTAMP
1 , RESELLERS, 	(26-FEB-2025 11:08:41)
2 , ElLECTRICAL/ ELECTRONICS, 	(26-FEB-2025 11:08:41)
3 , HEAVY MACHINES, 	(26-FEB-2025 11:08:41)
4 , LIGHT MACHINES, 	(26-FEB-2025 11:08:41)
5 , AIRCRAFTS, 	(26-FEB-2025 11:08:41)
6 , SHIPBUILD. & REPAIRS, 	(26-FEB-2025 11:08:41)
7 , TRUCKS&PASS VEHICALS, 	(26-FEB-2025 11:08:41)
8 , SCOOTERS ETC, 	(26-FEB-2025 11:08:41)
9 , HIGH PRESSURE VESSEL, 	(26-FEB-2025 11:08:41)
10 , MECH. MISCELLANEOUS, 	(26-FEB-2025 11:08:41)
11 , STRUCTURAL WORKS, 	(26-FEB-2025 11:08:41)
12 , IRON & STEEL PLANTS, 	(26-FEB-2025 11:08:41)
13 , IRON & STEEL REWORKS, 	(26-FEB-2025 11:08:41)
14 , ALUMINIUM, 	(26-FEB-2025 11:08:41)
15 , FOUNDRIES/CASTINGS, 	(26-FEB-2025 11:08:41)
16 , FERROUS ALLOYS, 	(26-FEB-2025 11:08:41)
17 , METAL. MISCELLANEOUS, 	(26-FEB-2025 11:08:41)
18 , CANDLE INDUSTRY, 	(26-FEB-2025 11:08:41)
19 , MATCHES, 	(26-FEB-2025 11:08:41)
20 , RUBBER TYRES & TUBES, 	(26-FEB-2025 11:08:41)
21 , PAPER PRODUCTS, 	(26-FEB-2025 11:08:41)
22 , INDU ABRASIVES, 	(26-FEB-2025 11:08:41)
23 , GLASS/CERAMICS ETC, 	(26-FEB-2025 11:08:41)
24 , PACKING MATERIALS, 	(26-FEB-2025 11:08:41)
25 , PLASTIC INDUSTRIES, 	(26-FEB-2025 11:08:41)
26 , LEATHER, 	(26-FEB-2025 11:08:41)
27 , PROCESSOR, 	(26-FEB-2025 11:08:41)
28 , TOBACCO PRODUCTS, 	(26-FEB-2025 11:08:41)
29 , INDUS. MISCELLANEOUS, 	(26-FEB-2025 11:08:41)
30 , COTTON MILLS HOSIERY, 	(26-FEB-2025 11:08:41)
31 , JUTE MILLS, 	(26-FEB-2025 11:08:41)
32 , SYN.FIBRE/RAYON MF, 	(26-FEB-2025 11:08:41)
33 , TEXTI. MISCELLANEOUS, 	(26-FEB-2025 11:08:41)
34 , PET.EXPLO&PROD, 	(26-FEB-2025 11:08:41)
35 , IRON ORE, 	(26-FEB-2025 11:08:41)
36 , COAL, 	(26-FEB-2025 11:08:41)
37 , BAUXITE, 	(26-FEB-2025 11:08:41)
38 , MANGANESE, 	(26-FEB-2025 11:08:41)
