

<<ROLLBACK_START>>,<<FMS_COUNTERPARTY_BU_TAX()>>,,,, 	(26-FEB-2025 11:49:26)
 
COMPANY_CD,COUNTERPARTY_CD,ENTITY,PLANT_SEQ_NO,STAT_CD,TIMESTAMP
2,126,S,1,1001, 	(26-FEB-2025 11:49:26)
2,232,S,1,1001, 	(26-FEB-2025 11:49:26)
2,264,S,1,1001, 	(26-FEB-2025 11:49:26)
2,232,V,1,1001, 	(26-FEB-2025 11:49:26)
2,325,H,1,1001, 	(26-FEB-2025 11:49:26)
2,324,H,1,1001, 	(26-FEB-2025 11:49:26)

TOTAL DATA DELETED : ,6,,,, 	(26-FEB-2025 11:49:26)
 

<<ROLLBACK_END>>,<<FMS_COUNTERPARTY_BU_TAX()>>,,,, 	(26-FEB-2025 11:49:26)
 
