

<<ROLLBACK_START>>,<<PURCHASE>>, 	(19-MAY-2025 11:58:16)
 

TOTAL DATA DELETED :, 0, 	(19-MAY-2025 11:58:16)
 
<<ROLLBACK_END>>,<<PURCHASE>>, 	(19-MAY-2025 11:58:16)
 

<<ROLLBACK_START>>,<<PURCHASE>>, 	(19-MAY-2025 11:58:40)
 

TOTAL DATA DELETED :, 0, 	(19-MAY-2025 11:58:40)
 
<<ROLLBACK_END>>,<<PURCHASE>>, 	(19-MAY-2025 11:58:40)
 

<<ROLLBACK_START>>,<<PURCHASE>>, 	(19-MAY-2025 11:58:59)
 

TOTAL DATA DELETED :, 0, 	(19-MAY-2025 11:58:59)
 
<<ROLLBACK_END>>,<<PURCHASE>>, 	(19-MAY-2025 11:58:59)
 
