

<<ROLLBACK_START>>,<<FMS_TRADER_CN_MST>>,,,,,,, 	(02-APR-2025 19:02:48)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP
2,15,M,1,0,N,0,22008, 	(02-APR-2025 19:02:49)
2,20,M,1,0,N,0,22011, 	(02-APR-2025 19:02:49)
2,20,M,1,0,N,0,22016, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,5001, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,5003, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,6001, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,6002, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,6004, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,6005, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,6006, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,6007, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,6008, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,6009, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,6010, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,6011, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,6013, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,6014, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,7001, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,7002, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,7003, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,7005, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,7006, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,7008, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,7009, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,7010, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,7011, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,7013, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,7014, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,7015, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,7016, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,7017, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,7018, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,7021, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,7025, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,7026, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,7027, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,7028, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,7029, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,8002, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,8003, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,8004, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,8005, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,8006, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,8008, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,8009, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,8010, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,8011, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,8012, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,8016, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,8018, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,8020, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,8022, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,8023, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,8024, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,8027, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,21014, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,21016, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,21017, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,21018, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,21023, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,22002, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,22013, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,8029, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,8030, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,9001, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,9002, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,9006, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,9008, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,9009, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,9010, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,9015, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,9019, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,9020, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,9022, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,10001, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,10003, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,10006, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,10007, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,10008, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,10011, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,10012, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,11001, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,11003, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,11004, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,11005, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,11007, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,14001, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,14002, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,14003, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,14004, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,14005, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,14006, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,14007, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,14008, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,14009, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,15001, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,16001, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,17001, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,19001, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,19002, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,19003, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,19004, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,19005, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,19006, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,19007, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,19008, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,19009, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,19010, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,19011, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,19012, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,19013, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,19014, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,19015, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,19016, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,19017, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,19018, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,19020, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,19019, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,19021, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,19022, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,19023, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,19024, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,19025, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,19026, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,19027, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,19028, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,19029, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,19030, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,20001, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,20002, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,20003, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,20005, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,20007, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,20010, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,20011, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,20012, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,20013, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,20014, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,20015, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,20016, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,20017, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,20018, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,20019, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,20022, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,21002, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,21003, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,21004, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,21007, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,21009, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,21010, 	(02-APR-2025 19:02:49)
2,256,M,1,0,N,0,21013, 	(02-APR-2025 19:02:49)
2,268,M,1,0,N,0,20004, 	(02-APR-2025 19:02:49)
2,268,M,1,0,N,0,20009, 	(02-APR-2025 19:02:49)
2,268,M,1,0,N,0,20020, 	(02-APR-2025 19:02:49)
2,268,M,1,0,N,0,20021, 	(02-APR-2025 19:02:49)
2,268,M,1,0,N,0,21005, 	(02-APR-2025 19:02:49)
2,110,M,1,0,N,0,23007, 	(02-APR-2025 19:02:49)
2,110,M,1,0,N,0,23010, 	(02-APR-2025 19:02:49)
2,110,M,1,0,N,0,23011, 	(02-APR-2025 19:02:49)
2,110,M,1,0,N,0,23014, 	(02-APR-2025 19:02:49)
2,110,M,1,0,N,0,23022, 	(02-APR-2025 19:02:49)
2,110,M,1,0,N,0,23023, 	(02-APR-2025 19:02:49)
2,110,M,1,0,N,0,23026, 	(02-APR-2025 19:02:49)
2,110,M,1,0,N,0,23032, 	(02-APR-2025 19:02:49)
2,110,M,1,0,N,0,23037, 	(02-APR-2025 19:02:49)
2,110,M,1,0,N,0,24002, 	(02-APR-2025 19:02:49)
2,110,M,1,0,N,0,24004, 	(02-APR-2025 19:02:49)
2,110,M,1,0,N,0,24008, 	(02-APR-2025 19:02:49)
2,110,M,1,0,N,0,24009, 	(02-APR-2025 19:02:49)
2,110,M,1,0,N,0,24013, 	(02-APR-2025 19:02:49)
2,110,M,1,0,N,0,25001, 	(02-APR-2025 19:02:49)
2,110,M,1,0,N,0,25003, 	(02-APR-2025 19:02:49)

TOTAL DATA DELETED :, 172,,,,,,, 	(02-APR-2025 19:02:49)
 
<<ROLLBACK_END>>,<<FMS_TRADER_CN_MST()>>,,,,,,, 	(02-APR-2025 19:02:49)
 

<<ROLLBACK_START>>,<<FMS_TRADER_CARGO_MST>>,, 	(02-APR-2025 19:02:49)
 
COMPANY_CD, COUNTERPARTY_CD, AGMT_TYPE, AGMT_NO, AGMT_REV,CONTRACT_TYPE, CONT_REV, CARGO_NO,CARGO_REF,TIMESTAMP
2,15,M,1,0,N,0,1,22019, 	(02-APR-2025 19:02:49)
2,20,M,1,0,N,0,1,22022, 	(02-APR-2025 19:02:49)
2,20,M,1,0,N,0,1,22028, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,5001, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,5003, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,6001, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,6002, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,6004, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,6005, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,6006, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,6007, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,6008, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,6009, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,6010, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,6011, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,6013, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,6014, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,7001, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,7002, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,7003, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,7005, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,7006, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,7008, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,7009, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,7010, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,7011, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,7013, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,7014, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,7015, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,7016, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,7017, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,7018, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,7021, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,7025, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,7026, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,7027, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,7028, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,7029, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,8002, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,8003, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,8004, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,8005, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,8006, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,8008, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,8009, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,8010, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,8011, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,8012, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,8016, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,8018, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,8020, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,8022, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,8023, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,8024, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,8027, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,21054, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,21056, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,21057, 	(02-APR-2025 19:02:49)
2,116,M,1,0,N,0,1,21058, 	(02-APR-2025 19:02:49)
