

<<ROLLBACK_START>>,<<FMS_CONT_PRICE_DTL>>,,,,,,, 	(04-APR-2025 15:15:02)
 
,TIMESTAMP
**********AutomationEMS Error  (04-APR-2025 15:15:02) **********
java.lang.ArrayIndexOutOfBoundsException: 23

com.etrm.fms.migration.Purchase_SEIPL_Data_RollBack.FMS_CONT_PRICE_DTL(Purchase_SEIPL_Data_RollBack.java:1349)
com.etrm.fms.migration.Purchase_SEIPL_Data_RollBack.init(Purchase_SEIPL_Data_RollBack.java:109)
**************************************************

<<FUNCTION FMS_CONT_PRICE_DTL() ENDED WITH ERRORS>>


<<ROLLBACK_START>>,<<FMS_SECURITY_MST>>,, 	(04-APR-2025 15:15:42)
 
COMPANY_CD, COUNTERPARTY_CD, SEQ_NO, SEQ_REV_NO ,GX, TIMESTAMP
2,15,1,0,K, 	(04-APR-2025 15:15:42)
2,20,1,0,K, 	(04-APR-2025 15:15:42)
2,20,2,0,K, 	(04-APR-2025 15:15:42)
2,154,1,0,K, 	(04-APR-2025 15:15:42)
2,154,2,0,K, 	(04-APR-2025 15:15:42)
2,116,1,0,K, 	(04-APR-2025 15:15:42)
2,116,2,0,K, 	(04-APR-2025 15:15:42)
2,116,3,0,K, 	(04-APR-2025 15:15:42)
2,256,1,0,K, 	(04-APR-2025 15:15:42)
2,110,1,0,K, 	(04-APR-2025 15:15:42)
2,110,2,0,K, 	(04-APR-2025 15:15:42)
2,110,3,0,K, 	(04-APR-2025 15:15:42)
2,110,4,0,K, 	(04-APR-2025 15:15:42)
2,110,5,0,K, 	(04-APR-2025 15:15:42)
2,110,6,0,K, 	(04-APR-2025 15:15:42)
2,110,7,0,K, 	(04-APR-2025 15:15:42)
2,110,8,0,K, 	(04-APR-2025 15:15:42)
2,110,9,0,K, 	(04-APR-2025 15:15:42)
2,110,10,0,K, 	(04-APR-2025 15:15:42)
2,110,11,0,K, 	(04-APR-2025 15:15:42)
2,110,12,0,K, 	(04-APR-2025 15:15:42)
2,110,13,0,K, 	(04-APR-2025 15:15:42)
2,110,14,0,K, 	(04-APR-2025 15:15:42)
2,110,15,0,K, 	(04-APR-2025 15:15:42)
2,110,16,0,K, 	(04-APR-2025 15:15:42)

TOTAL DATA DELETED :, 25,,,,,,, 	(04-APR-2025 15:15:42)
 
<<ROLLBACK_END>>,<<FMS_SECURITY_MST()>>,,,,,,, 	(04-APR-2025 15:15:42)
 

<<ROLLBACK_START>>,<<LOG_FMS_SECURITY_MST>>,, 	(04-APR-2025 15:15:42)
 
COMPANY_CD, COUNTERPARTY_CD, SEQ_NO, LOG_SEQ_NO, GX, SEQ_REV_NO, TIMESTAMP
2,15,1,1,K,0, 	(04-APR-2025 15:15:42)
2,20,1,1,K,0, 	(04-APR-2025 15:15:42)
2,20,2,2,K,0, 	(04-APR-2025 15:15:42)
2,154,1,1,K,0, 	(04-APR-2025 15:15:42)
2,154,2,2,K,0, 	(04-APR-2025 15:15:42)
2,116,1,1,K,0, 	(04-APR-2025 15:15:42)
2,116,2,2,K,0, 	(04-APR-2025 15:15:42)
2,116,3,3,K,0, 	(04-APR-2025 15:15:42)
2,256,1,1,K,0, 	(04-APR-2025 15:15:42)
2,110,1,1,K,0, 	(04-APR-2025 15:15:42)
2,110,2,2,K,0, 	(04-APR-2025 15:15:42)
2,110,3,3,K,0, 	(04-APR-2025 15:15:42)
2,110,4,4,K,0, 	(04-APR-2025 15:15:42)
2,110,5,5,K,0, 	(04-APR-2025 15:15:42)
2,110,6,6,K,0, 	(04-APR-2025 15:15:42)
2,110,7,7,K,0, 	(04-APR-2025 15:15:42)
2,110,8,8,K,0, 	(04-APR-2025 15:15:42)
2,110,9,9,K,0, 	(04-APR-2025 15:15:42)
2,110,10,10,K,0, 	(04-APR-2025 15:15:42)
2,110,11,11,K,0, 	(04-APR-2025 15:15:42)
2,110,12,12,K,0, 	(04-APR-2025 15:15:42)
2,110,13,13,K,0, 	(04-APR-2025 15:15:42)
2,110,14,14,K,0, 	(04-APR-2025 15:15:42)
2,110,15,15,K,0, 	(04-APR-2025 15:15:42)
2,110,16,16,K,0, 	(04-APR-2025 15:15:42)

TOTAL DATA DELETED :, 25,,,,,,, 	(04-APR-2025 15:15:42)
 
<<ROLLBACK_END>>,<<LOG_FMS_SECURITY_MST()>>,,,,,,, 	(04-APR-2025 15:15:42)
 

<<ROLLBACK_START>>,<<FMS_SECURITY_DEAL_MAP>>,, 	(04-APR-2025 15:15:50)
 
COMPANY_CD, COUNTERPARTY_CD, SEQ_NO, MAP_SEQ_NO, SEQ_REV_NO, GX,TIMESTAMP
2,15,1,1,0,K, 	(04-APR-2025 15:15:50)
2,20,1,1,0,K, 	(04-APR-2025 15:15:50)
2,20,2,2,0,K, 	(04-APR-2025 15:15:50)
2,154,1,1,0,K, 	(04-APR-2025 15:15:50)
2,154,2,2,0,K, 	(04-APR-2025 15:15:50)
2,116,1,1,0,K, 	(04-APR-2025 15:15:50)
2,116,2,2,0,K, 	(04-APR-2025 15:15:50)
2,116,3,3,0,K, 	(04-APR-2025 15:15:50)
2,256,1,1,0,K, 	(04-APR-2025 15:15:50)
2,110,1,1,0,K, 	(04-APR-2025 15:15:50)
2,110,2,2,0,K, 	(04-APR-2025 15:15:50)
2,110,3,3,0,K, 	(04-APR-2025 15:15:50)
2,110,4,4,0,K, 	(04-APR-2025 15:15:50)
2,110,5,5,0,K, 	(04-APR-2025 15:15:50)
2,110,6,6,0,K, 	(04-APR-2025 15:15:50)
2,110,7,7,0,K, 	(04-APR-2025 15:15:50)
2,110,8,8,0,K, 	(04-APR-2025 15:15:50)
2,110,9,9,0,K, 	(04-APR-2025 15:15:50)
2,110,10,10,0,K, 	(04-APR-2025 15:15:50)
2,110,11,11,0,K, 	(04-APR-2025 15:15:50)
2,110,12,12,0,K, 	(04-APR-2025 15:15:50)
2,110,13,13,0,K, 	(04-APR-2025 15:15:50)
2,110,14,14,0,K, 	(04-APR-2025 15:15:50)
2,110,15,15,0,K, 	(04-APR-2025 15:15:50)
2,110,16,16,0,K, 	(04-APR-2025 15:15:50)

TOTAL DATA DELETED :, 25,,,,,,, 	(04-APR-2025 15:15:50)
 
<<ROLLBACK_END>>,<<FMS_SECURITY_DEAL_MAP()>>,,,,,,, 	(04-APR-2025 15:15:50)
 

<<ROLLBACK_START>>,<<FMS_TRADER_CARGO_MST>>,, 	(04-APR-2025 15:15:56)
 
COMPANY_CD, COUNTERPARTY_CD, AGMT_TYPE, AGMT_NO, AGMT_REV,CONTRACT_TYPE, CONT_REV, CARGO_NO,CARGO_REF,TIMESTAMP
2,15,M,1,0,N,0,1,22019, 	(04-APR-2025 15:15:56)
2,20,M,1,0,N,0,1,22022, 	(04-APR-2025 15:15:56)
2,20,M,1,0,N,0,1,22028, 	(04-APR-2025 15:15:56)
2,154,M,1,0,N,0,1,22029, 	(04-APR-2025 15:15:56)
2,154,M,1,0,N,0,1,22030, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,5001, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,5003, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,6001, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,6002, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,6004, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,6005, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,6006, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,6007, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,6008, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,6009, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,6010, 	(04-APR-2025 15:15:56)
