

<<ROLLBACK_START>>,<<FMS_SUPPLY_ALLOC_REVISED>>,,,,,,,, 	(01-MAY-2025 13:14:00)
 
COMPANY_CD, COUNTERPARTY_CD, AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,MODIFICATION_SEQ_NO,PUR_CONT, TIMESTAMP
2,1,2,0,25,1,S,1,725084, 	(01-MAY-2025 13:14:01)
2,1,2,0,27,0,S,1,725087, 	(01-MAY-2025 13:14:01)
2,1,2,0,28,0,S,1,725210, 	(01-MAY-2025 13:14:01)
2,1,2,0,16,0,S,1,725206, 	(01-MAY-2025 13:14:01)
2,1,2,0,18,0,S,1,725078, 	(01-MAY-2025 13:14:01)
2,1,2,0,3,0,S,1,725072, 	(01-MAY-2025 13:14:01)
2,1,2,0,7,0,S,1,725204, 	(01-MAY-2025 13:14:01)
2,1,2,0,15,0,S,1,725206, 	(01-MAY-2025 13:14:01)
2,1,2,0,18,0,S,1,725079, 	(01-MAY-2025 13:14:01)
2,1,2,0,24,0,S,1,725209, 	(01-MAY-2025 13:14:01)
2,1,2,0,20,0,S,1,725206, 	(01-MAY-2025 13:14:01)
2,1,2,0,21,0,S,1,725082, 	(01-MAY-2025 13:14:01)
2,1,2,0,27,1,S,1,725087, 	(01-MAY-2025 13:14:01)
2,1,2,0,15,0,S,1,725077, 	(01-MAY-2025 13:14:01)
2,1,2,0,15,0,S,1,725205, 	(01-MAY-2025 13:14:01)
2,1,2,0,15,0,S,1,725079, 	(01-MAY-2025 13:14:01)
2,1,2,0,17,0,S,1,725206, 	(01-MAY-2025 13:14:01)
2,1,2,0,1,0,S,1,725070, 	(01-MAY-2025 13:14:01)
2,1,2,0,10,0,S,1,725076, 	(01-MAY-2025 13:14:01)
2,1,2,0,24,1,S,1,725085, 	(01-MAY-2025 13:14:01)
2,1,2,0,16,0,S,1,725078, 	(01-MAY-2025 13:14:01)
2,1,2,0,19,0,S,1,725207, 	(01-MAY-2025 13:14:01)
2,1,2,0,20,0,S,1,725080, 	(01-MAY-2025 13:14:01)
2,1,2,0,9,0,S,1,725075, 	(01-MAY-2025 13:14:01)
2,1,2,0,23,0,S,1,725082, 	(01-MAY-2025 13:14:01)
2,1,3,0,1,0,S,1,725126, 	(01-MAY-2025 13:14:01)
2,1,3,0,2,0,S,1,825022, 	(01-MAY-2025 13:14:01)
2,1,2,1,42,0,S,1,725090, 	(01-MAY-2025 13:14:01)
2,1,2,0,22,1,S,1,725083, 	(01-MAY-2025 13:14:01)
2,1,2,0,21,1,S,1,725082, 	(01-MAY-2025 13:14:01)
2,1,2,0,22,0,S,1,725080, 	(01-MAY-2025 13:14:01)
2,1,2,0,24,0,S,1,725085, 	(01-MAY-2025 13:14:01)
2,1,2,0,1,0,S,1,725202, 	(01-MAY-2025 13:14:01)
2,1,2,0,30,0,S,1,725211, 	(01-MAY-2025 13:14:01)
2,1,2,1,39,0,S,1,725089, 	(01-MAY-2025 13:14:01)
2,1,2,1,41,0,S,1,725089, 	(01-MAY-2025 13:14:01)
2,1,2,0,21,0,S,1,725207, 	(01-MAY-2025 13:14:01)
2,1,2,0,2,0,S,1,725071, 	(01-MAY-2025 13:14:01)
2,1,2,0,23,0,S,1,725083, 	(01-MAY-2025 13:14:01)
2,1,2,0,31,0,S,1,725208, 	(01-MAY-2025 13:14:01)
2,1,2,1,43,0,S,1,725089, 	(01-MAY-2025 13:14:01)
