

<<ROLLBACK_START>>,<<FMS_AGMT_MST>>,,,, 	(26-JUN-2025 16:42:52)
 
COMPANY_CD, COUNTERPARTY_CD, AGMT_TYPE, AGMT_NO, AGMT_REV, TIMESTAMP
2,1,F,1,0, 	(26-JUN-2025 16:42:52)
2,1,F,2,1, 	(26-JUN-2025 16:42:53)
2,1,F,2,0, 	(26-JUN-2025 16:42:53)
2,1,F,4,0, 	(26-JUN-2025 16:42:53)
2,1,F,3,0, 	(26-JUN-2025 16:42:53)
2,2,F,6,0, 	(26-JUN-2025 16:42:53)
2,2,F,6,1, 	(26-JUN-2025 16:42:53)
2,2,F,6,2, 	(26-JUN-2025 16:42:53)
2,2,F,1,0, 	(26-JUN-2025 16:42:53)
2,2,F,3,0, 	(26-JUN-2025 16:42:53)
2,2,F,4,0, 	(26-JUN-2025 16:42:53)
2,2,F,2,0, 	(26-JUN-2025 16:42:53)
2,2,F,5,0, 	(26-JUN-2025 16:42:53)
2,3,F,1,3, 	(26-JUN-2025 16:42:53)
2,3,F,1,4, 	(26-JUN-2025 16:42:53)
2,3,F,1,2, 	(26-JUN-2025 16:42:53)
2,3,F,2,0, 	(26-JUN-2025 16:42:53)
2,3,F,1,1, 	(26-JUN-2025 16:42:53)
2,3,F,1,0, 	(26-JUN-2025 16:42:53)
2,4,F,2,0, 	(26-JUN-2025 16:42:53)
2,4,F,2,1, 	(26-JUN-2025 16:42:53)
2,4,F,1,0, 	(26-JUN-2025 16:42:53)
2,217,F,1,0, 	(26-JUN-2025 16:42:53)
2,7,F,1,0, 	(26-JUN-2025 16:42:53)
2,7,F,2,0, 	(26-JUN-2025 16:42:53)
2,8,F,1,0, 	(26-JUN-2025 16:42:53)
2,218,F,1,0, 	(26-JUN-2025 16:42:53)
2,225,F,1,0, 	(26-JUN-2025 16:42:53)
2,10,F,1,0, 	(26-JUN-2025 16:42:53)
2,11,F,1,0, 	(26-JUN-2025 16:42:53)
2,280,F,2,0, 	(26-JUN-2025 16:42:53)
2,280,F,1,0, 	(26-JUN-2025 16:42:53)
2,280,F,1,1, 	(26-JUN-2025 16:42:53)
2,12,F,1,0, 	(26-JUN-2025 16:42:53)
2,13,F,2,0, 	(26-JUN-2025 16:42:53)
2,13,F,1,0, 	(26-JUN-2025 16:42:53)
2,14,F,1,0, 	(26-JUN-2025 16:42:53)
2,269,F,1,0, 	(26-JUN-2025 16:42:53)
2,15,F,1,1, 	(26-JUN-2025 16:42:53)
2,15,F,1,0, 	(26-JUN-2025 16:42:53)
2,15,F,1,2, 	(26-JUN-2025 16:42:53)
2,15,F,2,0, 	(26-JUN-2025 16:42:53)
2,16,F,1,0, 	(26-JUN-2025 16:42:53)
2,17,F,1,0, 	(26-JUN-2025 16:42:53)
2,18,F,1,0, 	(26-JUN-2025 16:42:53)
2,228,F,1,0, 	(26-JUN-2025 16:42:53)
2,160,F,1,0, 	(26-JUN-2025 16:42:53)
2,19,F,1,0, 	(26-JUN-2025 16:42:53)
2,20,F,1,0, 	(26-JUN-2025 16:42:53)
2,20,F,2,0, 	(26-JUN-2025 16:42:53)
2,154,F,1,0, 	(26-JUN-2025 16:42:53)
2,21,F,1,0, 	(26-JUN-2025 16:42:53)
2,22,F,1,0, 	(26-JUN-2025 16:42:53)
2,23,F,1,0, 	(26-JUN-2025 16:42:53)
2,24,F,1,0, 	(26-JUN-2025 16:42:53)
2,25,F,1,0, 	(26-JUN-2025 16:42:53)
2,28,F,1,0, 	(26-JUN-2025 16:42:53)
2,31,F,1,0, 	(26-JUN-2025 16:42:53)
2,49,F,1,0, 	(26-JUN-2025 16:42:53)
2,34,F,1,0, 	(26-JUN-2025 16:42:53)
2,36,F,1,0, 	(26-JUN-2025 16:42:53)
2,37,F,1,0, 	(26-JUN-2025 16:42:53)
2,38,F,1,0, 	(26-JUN-2025 16:42:53)
2,39,F,1,0, 	(26-JUN-2025 16:42:53)
2,40,F,1,0, 	(26-JUN-2025 16:42:53)
2,41,F,1,0, 	(26-JUN-2025 16:42:53)
2,46,F,1,0, 	(26-JUN-2025 16:42:53)
2,47,F,1,0, 	(26-JUN-2025 16:42:53)
2,48,F,1,0, 	(26-JUN-2025 16:42:53)
2,50,F,1,0, 	(26-JUN-2025 16:42:53)
2,52,F,1,0, 	(26-JUN-2025 16:42:53)
2,54,F,1,0, 	(26-JUN-2025 16:42:53)
2,55,F,1,0, 	(26-JUN-2025 16:42:53)
2,56,F,1,0, 	(26-JUN-2025 16:42:53)
2,59,F,1,0, 	(26-JUN-2025 16:42:53)
2,61,F,1,0, 	(26-JUN-2025 16:42:53)
2,63,F,1,0, 	(26-JUN-2025 16:42:53)
2,65,F,1,0, 	(26-JUN-2025 16:42:53)
2,144,F,1,0, 	(26-JUN-2025 16:42:53)
2,92,F,1,0, 	(26-JUN-2025 16:42:53)
2,92,F,2,0, 	(26-JUN-2025 16:42:53)
2,104,F,2,0, 	(26-JUN-2025 16:42:53)
2,104,F,1,0, 	(26-JUN-2025 16:42:53)
2,162,F,1,0, 	(26-JUN-2025 16:42:53)
2,278,F,1,0, 	(26-JUN-2025 16:42:53)
2,183,F,1,0, 	(26-JUN-2025 16:42:53)
2,184,F,1,0, 	(26-JUN-2025 16:42:53)
2,130,F,1,0, 	(26-JUN-2025 16:42:53)
2,12,D,1,0, 	(26-JUN-2025 16:42:53)	 (Not Deleted)
2,19,D,1,0, 	(26-JUN-2025 16:42:53)	 (Not Deleted)
2,21,D,1,0, 	(26-JUN-2025 16:42:53)	 (Not Deleted)
2,33,D,1,0, 	(26-JUN-2025 16:42:53)	 (Not Deleted)
2,34,D,1,0, 	(26-JUN-2025 16:42:53)	 (Not Deleted)
2,35,D,1,0, 	(26-JUN-2025 16:42:53)	 (Not Deleted)
2,38,D,1,0, 	(26-JUN-2025 16:42:53)	 (Not Deleted)
2,40,D,1,0, 	(26-JUN-2025 16:42:53)	 (Not Deleted)
2,47,D,1,0, 	(26-JUN-2025 16:42:53)	 (Not Deleted)
2,52,D,1,0, 	(26-JUN-2025 16:42:53)	 (Not Deleted)
