COMPANY_CD,COUNTERPARTY_CD,CONTRACT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,SELL_CONT_MAP,GAS_DT,GEN_DT,GEN_TIME,ALLOC_REV_NO,MDQ,MDQ_UNIT,BASE,GCV,NCV,QTY_MMBTU,QTY_SCM,EXIT_BASE,EXIT_GCV,EXIT_NCV,EXIT_QTY_MMBTU,EXIT_QTY_SCM,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT,BU_SEQ,ENTRY_PT_MAPPING_ID,EXIT_PT_MAPPING_ID
Gail,1-1-1604-333S1-0-26-0-3,C,null,null,null,null,null,21/01/2023 00:00:00,20/01/2023 00:00:00,00:00,0,770351.671,1,GCV,9802.8,8831.3514,29966.68,770352.00,GCV,9802,8830.6306,30000,771208.00,1,07/05/2025 10:30:40,null,null,1,null,null
Gail,1-1-1604-333S1-0-26-0-3,C,null,null,null,null,null,22/01/2023 00:00:00,21/01/2023 00:00:00,00:00,0,729448.072,1,GCV,9802.8,8831.3514,28375.53,729448.00,GCV,9802,8830.6306,28400,730077.00,1,07/05/2025 10:30:40,null,null,1,null,null
Gail,1-1-1604-333S1-0-26-0-3,C,null,null,null,null,null,23/01/2023 00:00:00,22/01/2023 00:00:00,00:00,0,695864.267,1,GCV,9802.8,8831.3514,27069.12,695864.00,GCV,9802,8830.6306,27000,694087.00,1,07/05/2025 10:30:40,null,null,1,null,null
Gail,1-1-1604-333S1-0-26-0-3,C,null,null,null,null,null,24/01/2023 00:00:00,23/01/2023 00:00:00,00:00,0,642319.023,1,GCV,9802.8,8831.3514,24986.21,642319.00,GCV,9802,8830.6306,25000,642674.00,1,07/05/2025 10:30:40,null,null,1,null,null
Gail,1-1-1604-333S1-0-26-0-3,C,null,null,null,null,null,25/01/2023 00:00:00,24/01/2023 00:00:00,00:00,0,628924.422,1,GCV,9802.8,8831.3514,24465.16,628924.00,GCV,9802,8830.6306,24500,629820.00,1,07/05/2025 10:30:40,null,null,1,null,null
Gail,1-1-1604-333S1-0-26-0-3,C,null,null,null,null,null,26/01/2023 00:00:00,25/01/2023 00:00:00,00:00,0,603608.226,1,GCV,9802.8,8831.3514,23480.36,603608.00,GCV,9802,8830.6306,23534,604987.00,1,07/05/2025 10:30:40,null,null,1,null,null
Gail,1-1-1604-333S1-0-26-0-3,C,null,null,null,null,null,27/01/2023 00:00:00,26/01/2023 00:00:00,00:00,0,2337.789,1,GCV,9802.8,8831.3514,90.94,2338.00,GCV,9802,8830.6306,0,0.00,1,07/05/2025 10:30:40,null,null,1,null,null
Gail,1-1-1604-333S1-0-26-0-3,C,null,null,null,null,null,01/01/2023 00:00:00,31/12/2022 00:00:00,00:00,0,557949.871,1,GCV,9802.8,8831.3514,21704.25,557950.00,GCV,9802,8830.6306,21000,539846.00,1,07/05/2025 10:30:40,null,null,1,null,null
Gail,1-1-1604-333S1-0-26-0-3,C,null,null,null,null,null,02/01/2023 00:00:00,01/01/2023 00:00:00,00:00,0,411476.607,1,GCV,9802.8,8831.3514,16006.44,411477.00,GCV,9802,8830.6306,16000,411311.00,1,07/05/2025 10:30:40,null,null,1,null,null
Gail,1-1-1604-333S1-0-26-0-3,C,null,null,null,null,null,03/01/2023 00:00:00,02/01/2023 00:00:00,00:00,0,299846.015,1,GCV,9802.8,8831.3514,11664.01,299846.00,GCV,9802,8830.6306,11500,295630.00,1,07/05/2025 10:30:40,null,null,1,null,null
Gail,1-1-1604-333S1-0-26-0-3,C,null,null,null,null,null,04/01/2023 00:00:00,03/01/2023 00:00:00,00:00,0,269130.591,1,GCV,9802.8,8831.3514,10469.18,269131.00,GCV,9802,8830.6306,11000,282776.00,1,07/05/2025 10:30:40,null,null,1,null,null
Gail,1-1-1604-333S1-0-26-0-3,C,null,null,null,null,null,08/01/2023 00:00:00,07/01/2023 00:00:00,00:00,0,178093.83,1,GCV,9802.8,8831.3514,6927.85,178094.00,GCV,9802,8830.6306,6930,178149.00,1,07/05/2025 10:30:40,null,null,1,null,null
Gail,1-1-1604-333S1-0-26-0-3,C,null,null,null,null,null,05/01/2023 00:00:00,04/01/2023 00:00:00,00:00,0,307619.537,1,GCV,9802.8,8831.3514,11966.4,307620.00,GCV,9802,8830.6306,12000,308483.00,1,07/05/2025 10:30:40,null,null,1,null,null
Gail,1-1-1604-333S1-0-26-0-3,C,null,null,null,null,null,06/01/2023 00:00:00,05/01/2023 00:00:00,00:00,0,317607.969,1,GCV,9802.8,8831.3514,12354.95,317608.00,GCV,9802,8830.6306,12056,309923.00,1,07/05/2025 10:30:40,null,null,1,null,null
Gail,1-1-1604-333S1-0-26-0-3,C,null,null,null,null,null,07/01/2023 00:00:00,06/01/2023 00:00:00,00:00,0,266996.915,1,GCV,9802.8,8831.3514,10386.18,266997.00,GCV,9802,8830.6306,11000,282776.00,1,07/05/2025 10:30:40,null,null,1,null,null
Gail,1-1-1604-333S1-0-26-0-3,C,null,null,null,null,null,09/01/2023 00:00:00,08/01/2023 00:00:00,00:00,0,176543.702,1,GCV,9802.8,8831.3514,6867.55,176544.00,GCV,9802,8830.6306,6930,178149.00,1,07/05/2025 10:30:40,null,null,1,null,null
Gail,1-1-1604-333S1-0-26-0-3,C,null,null,null,null,null,10/01/2023 00:00:00,09/01/2023 00:00:00,00:00,0,131922.365,1,GCV,9802.8,8831.3514,5131.78,131922.00,GCV,9802,8830.6306,4950,127249.00,1,07/05/2025 10:30:40,null,null,1,null,null
Gail,1-1-1604-333S1-0-26-0-3,C,null,null,null,null,null,14/01/2023 00:00:00,13/01/2023 00:00:00,00:00,0,167095.116,1,GCV,9802.8,8831.3514,6500,167095.00,GCV,9802,8830.6306,6500,167095.00,1,07/05/2025 10:30:40,null,null,1,null,null
