COMPANY_CD,BU_STATE_TIN,INVOICE_SEQ,INV_TYPE,FINANCIAL_YEAR,PDF_TYPE,FILE_NAME,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT,PDF_SIGNED,SIGNED_BY,SIGNED_DT,PDF_CONTENT,SF_GEN_DT,SIGNED_ENT_BY
DV001/24-25,null,1,null,null,O,INVOICE-29042024-SILS-NA-H-1.pdf,113,29/04/2024 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,29/04/2024 00:00:00,null,null,null
DV008/23-24,null,8,null,null,O,INVOICE-31032024-SILS-NA-H-8.pdf,113,02/04/2024 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,02/04/2024 00:00:00,null,null,null
DV003/24-25,null,3,null,null,O,INVOICE-18062024-SILS-NA-H-3.pdf,23,18/06/2024 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,18/06/2024 00:00:00,null,null,null
DV005/24-25,null,5,null,null,O,INVOICE-20082024-SILS-NA-H-5.pdf,201,20/08/2024 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,20/08/2024 00:00:00,null,null,null
DV007/24-25,null,7,null,null,O,INVOICE-23092024-SILS-NA-H-7.pdf,153,23/09/2024 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,04/11/2024 00:00:00,null,null,null
DV009/24-25,null,9,null,null,O,INVOICE-17102024-SILS-NA-H-9.pdf,46,17/10/2024 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,04/11/2024 00:00:00,null,null,null
DV011/24-25,null,11,null,null,O,INVOICE-19112024-SILS-NA-H-11.pdf,113,19/11/2024 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,19/11/2024 00:00:00,null,null,null
DV014/24-25,null,14,null,null,O,INVOICE-18122024-SILS-NA-H-14.pdf,46,18/12/2024 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,18/12/2024 00:00:00,null,null,null
DV016/24-25,null,16,null,null,O,INVOICE-15012025-SILS-NA-H-16.pdf,113,17/01/2025 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,17/01/2025 00:00:00,null,null,null
DV018/24-25,null,18,null,null,O,INVOICE-15022025-SILS-NA-H-18.pdf,46,18/02/2025 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,18/02/2025 00:00:00,null,null,null
RDV016/24-25,null,16,null,null,O,INVOICE-18032025-SILS-NA-H-16.pdf,null,null,null,null,null,null,null,null,null,null
2VGJ0001/25-26,null,1,null,null,O,INVOICE-15042025-SILS-NA-H-1.pdf,46,22/04/2025 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,22/04/2025 00:00:00,null,null,null
