COMPANY_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,PLANT_SEQ,BU_SEQ,BASE,GCV,NCV,GAS_DT,FILL_STATION_CD,BAY_CD,SLOT_START_TIME,SLOT_END_TIME,GEN_DT,GEN_TIME,NOM_REV_NO,TRUCK_TRANS_CD,TRUCK_CD,LOAD_START_DT,LOAD_START_TIME,LOAD_END_DT,LOAD_END_TIME,NEXT_AVAIL_HRS,QTY_MMBTU,QTY_MT,GCV_MMBTU,ENT_BY,ENT_DT
SGIPL,S-1-0-1-0,35-1-0-1-0-1-5,null,null,null,S,5,null,GCV,9802.8,8831.35,29/03/2021 00:00:00,1,1,NCA-17,null,30/03/2021 00:00:00,00:00,2,NCA,17,29/03/2021 00:00:00,00:00,29/03/2021 00:00:00,00:00,24,766.338,14.76,51.91989,66,29/03/2021 00:00:00
SGIPL,S-1-0-1-0,35-1-0-1-0-1-5,null,null,null,S,5,null,GCV,9802.8,8831.35,05/03/2021 00:00:00,1,1,NCA-17,null,06/03/2021 00:00:00,00:00,1,NCA,17,05/03/2021 00:00:00,00:00,05/03/2021 00:00:00,00:00,24,770.35,14.86,51.84053,83,05/03/2021 00:00:00
SGIPL,S-1-0-1-0,35-1-0-1-0-1-5,null,null,null,S,5,null,GCV,9802.8,8831.35,22/03/2021 00:00:00,1,1,NCA-17,null,23/03/2021 00:00:00,00:00,2,NCA,17,22/03/2021 00:00:00,00:00,22/03/2021 00:00:00,00:00,24,784.755,15.15,51.799,72,22/03/2021 00:00:00
SGIPL,S-1-0-1-0,35-1-0-1-0-1-5,null,null,null,S,5,null,GCV,9802.8,8831.35,25/03/2021 00:00:00,1,1,NCA-17,null,26/03/2021 00:00:00,00:00,1,NCA,17,25/03/2021 00:00:00,00:00,25/03/2021 00:00:00,00:00,24,772.4216,14.91,51.80561,83,25/03/2021 00:00:00
SGIPL,S-1-0-1-0,35-1-0-1-0-1-5,null,null,null,S,5,null,GCV,9802.8,8831.35,02/03/2021 00:00:00,1,1,NCA-17,null,03/03/2021 00:00:00,00:00,1,NCA,17,02/03/2021 00:00:00,00:00,02/03/2021 00:00:00,00:00,24,767.523,14.77,51.965,88,02/03/2021 00:00:00
SGIPL,S-1-0-1-0,35-1-0-1-0-1-5,null,null,null,S,5,null,GCV,9802.8,8831.35,09/03/2021 00:00:00,1,1,NCA-23,null,10/03/2021 00:00:00,00:00,1,NCA,23,09/03/2021 00:00:00,00:00,09/03/2021 00:00:00,00:00,24,777.962,14.99,51.89875,76,09/03/2021 00:00:00
SGIPL,S-1-0-1-0,35-1-0-1-0-1-5,null,null,null,S,5,null,GCV,9802.8,8831.35,20/03/2021 00:00:00,1,1,NCA-23,null,21/03/2021 00:00:00,00:00,1,NCA,23,20/03/2021 00:00:00,00:00,20/03/2021 00:00:00,00:00,24,778.277,15.03,51.7816,68,20/03/2021 00:00:00
SGIPL,S-1-0-1-0,35-1-0-1-0-1-5,null,null,null,S,5,null,GCV,9802.8,8831.35,13/03/2021 00:00:00,1,1,NCA-17,null,14/03/2021 00:00:00,00:00,1,NCA,17,13/03/2021 00:00:00,00:00,13/03/2021 00:00:00,00:00,24,778.55,15.05,51.73093,68,13/03/2021 00:00:00
SGIPL,S-1-0-1-0,35-1-0-1-0-1-5,null,null,null,S,5,null,GCV,9802.8,8831.35,17/03/2021 00:00:00,1,1,NCA-23,null,18/03/2021 00:00:00,00:00,2,NCA,23,17/03/2021 00:00:00,00:00,17/03/2021 00:00:00,00:00,24,774.0315,14.95,51.77468,83,17/03/2021 00:00:00
SGIPL,S-1-0-1-0,35-1-0-1-0-1-5,null,null,null,S,5,null,GCV,9802.8,8831.35,31/03/2021 00:00:00,1,1,NCA-17,null,01/04/2021 00:00:00,00:00,1,NCA,17,31/03/2021 00:00:00,00:00,31/03/2021 00:00:00,00:00,24,774.23,14.92,51.89207,60,31/03/2021 00:00:00
SGIPL,S-1-0-1-0,35-1-0-1-0-1-5,null,null,null,S,5,null,GCV,9802.8,8831.35,01/03/2021 00:00:00,1,1,NCA-17,null,02/03/2021 00:00:00,00:00,1,NCA,17,01/03/2021 00:00:00,00:00,01/03/2021 00:00:00,00:00,24,773.927,14.89,51.9763,64,01/03/2021 00:00:00
SGIPL,S-1-0-1-0,35-1-0-1-0-1-5,null,null,null,S,5,null,GCV,9802.8,8831.35,06/03/2021 00:00:00,1,1,NCA-23,null,07/03/2021 00:00:00,00:00,1,NCA,23,06/03/2021 00:00:00,00:00,06/03/2021 00:00:00,00:00,24,771.087,14.87,51.85524,73,06/03/2021 00:00:00
SGIPL,S-1-0-1-0,35-1-0-1-0-1-5,null,null,null,S,5,null,GCV,9802.8,8831.35,10/03/2021 00:00:00,1,1,NCA-17,null,11/03/2021 00:00:00,00:00,1,NCA,17,10/03/2021 00:00:00,00:00,10/03/2021 00:00:00,00:00,24,765.562,14.75,51.902,87,10/03/2021 00:00:00
