COMPANY_CD,FINANCIAL_YEAR,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,BU_UNIT,BU_STATE_TIN,BU_CONTACT_PERSON_CD,ADDR_FLAG,CONTACT_PERSON_CD,INVOICE_TYPE,INVOICE_SEQ,INVOICE_NO,LINE_NO,LINE_DESC,UNIT,QTY,RATE,AMOUNT,ENT_BY,ENT_DT,CARGO_NO,SAC_CD
Gail,2025-2026,A-4-7-10722-0,7,0,10722,0,Q,1,24,2LGJ0025/25-26,null,null,TLU,25,2LGJ0025/25-26,1,TLU Charges (Cubal LNG dtd 09-June-25 ),INR,1768.9,90.57,160209.27,null,null,null,998599
Gail,2025-2026,A-4-7-10722-0,7,0,10722,0,Q,1,24,2LGJ0026/25-26,null,null,TLU,26,2LGJ0026/25-26,1,TLU Charges (Lobito LNG dtd 21-June-25),INR,6209.89,90.57,562429.74,null,null,null,998599
Gail,2025-2026,A-4-7-10722-0,7,0,10722,0,Q,1,24,2LGJ0032/25-26,null,null,TLU,32,2LGJ0032/25-26,1,TLU CHARGES (Lobito LNG dated 21-June-25),INR,16034.51,90.57,1452245.57,null,null,null,998599
MINDA,2024-2025,S-1-0-11-0,1,0,11,0,S,1,0,IT0005/24-25,null,null,LP,5,IT0005/24-25,1,Delayed Payment Invoice Generated Against Invoice No. T1062/24-25 dated 30-NOV-24,INR,852.7,13.6,11596.72,46,18/12/2024 00:00:00,0,null
MINDA,2024-2025,S-1-0-11-0,1,0,11,0,S,1,0,IT0006/24-25,null,null,LP,6,IT0006/24-25,1,Delayed Payment Invoice Generated Against Invoice No. T1065/24-25 dated 30-NOV-24,INR,585.42,13.6,7961.712,46,18/12/2024 00:00:00,0,null
MINDA,2025-2026,S-1-0-11-0,1,0,11,0,S,1,0,IT0009/25-26,null,null,LP,9,IT0009/25-26,1,Delayed Payment Invoice Generated Against Invoice No. T1143/24-25 dated 22-DEC-24,INR,891.73,13.6,12127.528,4,11/09/2025 14:18:47,0,null
JKPAPER,2022-2023,S-1-0-6-0,1,0,6,0,S,1,0,IT0001/22-23,null,null,LP,1,IT0001/22-23,1,Delayed Payment Invoice Generated Against Invoice No. T1059/22-23 dated 11-MAR-23,INR,830.1,20,16602,113,29/03/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0029/23-24,null,null,LP,29,IT0029/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0751/23-24 dated 27-SEP-23,INR,894.85,12.65,11319.8525,113,15/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0030/23-24,null,null,LP,30,IT0030/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0752/23-24 dated 27-SEP-23,INR,898.04,12.65,11360.206,113,15/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0031/23-24,null,null,LP,31,IT0031/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0756/23-24 dated 28-SEP-23,INR,894.7,12.65,11317.955,113,15/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0033/23-24,null,null,LP,33,IT0033/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0760/23-24 dated 29-SEP-23,INR,895.13,12.65,11323.3945,113,15/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0034/23-24,null,null,LP,34,IT0034/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0762/23-24 dated 29-SEP-23,INR,791.71,12.65,10015.1315,113,15/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0035/23-24,null,null,LP,35,IT0035/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0763/23-24 dated 29-SEP-23,INR,899.81,12.65,11382.5965,113,15/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0036/23-24,null,null,LP,36,IT0036/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0764/23-24 dated 30-SEP-23,INR,883.31,12.65,11173.8715,113,15/11/2023 00:00:00,0,null
