COMPANY_CD,BU_STATE_TIN,INVOICE_SEQ,FINANCIAL_YEAR,PDF_TYPE,FILE_NAME,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT,PDF_SIGNED,SIGNED_BY,SIGNED_DT,SIGNED_ENT_BY,PDF_CONTENT,SF_GEN_DT,EMAIL_SENT,EMAIL_SENT_BY,EMAIL_SENT_DT
2,24,DT001/22-23,2022-2023,O,DEBIT-INVOICE-01042022-SGIPL-Gyproc Jhagadia SGIPL-S-1-d.pdf,61,01/04/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,05/04/2022 00:00:00,null,null,null,Y,null,05/04/2022 00:00:00
2,24,DT001/22-23,2022-2023,D,DEBIT-INVOICE-01042022-SGIPL-Gyproc Jhagadia SGIPL-S-1-1.pdf,113,05/04/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,05/04/2022 00:00:00,null,null,null,Y,null,05/04/2022 00:00:00
2,24,DT001/22-23,2022-2023,T,DEBIT-INVOICE-01042022-SGIPL-Gyproc Jhagadia SGIPL-S-1-2.pdf,61,01/04/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,05/04/2022 00:00:00,null,null,null,Y,null,05/04/2022 00:00:00
2,24,DT002/22-23,2022-2023,O,DEBIT-INVOICE-17042022-SGIPL-Gyproc Jhagadia SGIPL-S-36-d.pdf,56,17/04/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,27/04/2022 00:00:00,null,null,null,Y,null,27/04/2022 00:00:00
2,24,DT002/22-23,2022-2023,D,DEBIT-INVOICE-17042022-SGIPL-Gyproc Jhagadia SGIPL-S-36-1.pdf,113,27/04/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,27/04/2022 00:00:00,null,null,null,Y,null,27/04/2022 00:00:00
2,24,DT002/22-23,2022-2023,T,DEBIT-INVOICE-17042022-SGIPL-Gyproc Jhagadia SGIPL-S-36-2.pdf,56,17/04/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,27/04/2022 00:00:00,null,null,null,Y,null,27/04/2022 00:00:00
2,24,CT004/22-23,2022-2023,O,CREDIT-INVOICE-29042022-SGIPL-Gyproc Jhagadia SGIPL-S-63-C.pdf,133,29/04/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,30/04/2022 00:00:00,null,null,null,Y,null,30/04/2022 00:00:00
2,24,CT004/22-23,2022-2023,D,CREDIT-INVOICE-29042022-SGIPL-Gyproc Jhagadia SGIPL-S-63-1.pdf,133,29/04/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,30/04/2022 00:00:00,null,null,null,Y,null,30/04/2022 00:00:00
2,24,CT004/22-23,2022-2023,T,CREDIT-INVOICE-29042022-SGIPL-Gyproc Jhagadia SGIPL-S-63-2.pdf,133,29/04/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,30/04/2022 00:00:00,null,null,null,Y,null,30/04/2022 00:00:00
2,24,CT006/22-23,2022-2023,O,CREDIT-INVOICE-19112022-SGIPL-Gyproc Jhagadia SGIPL-S-638-C.pdf,88,19/11/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,05/12/2022 00:00:00,null,null,null,Y,null,05/12/2022 00:00:00
