COMPANY_CD,FINANCIAL_YEAR,BU_STATE_TIN,INVOICE_SEQ,ALLOC_QTY,SALE_PRICE,SALE_PRICE_UNIT,SALE_AMT,EXCHG_RATE_CD,EXCHG_RATE_DT,EXCHG_RATE_VALUE,INVOICE_RAISED_IN,GROSS_AMT,TAX_STRUCT_CD,TAX_AMT,INVOICE_AMT,NET_PAYABLE_AMT,TCS_TDS,TCS_AMT,TCS_FACTOR,TDS_GROSS_PERCENT,TDS_GROSS_AMT,TDS_TAX_PERCENT,TDS_TAX_AMT,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT
SGIPL&DT001/22-23,2022-2023,null,1,881.33,22.4,null,18424.9,DLNG SBI FAR,31/03/2022,75.745,null,1495342.04,VAT 6%,5984.9,1585062.56,1585062.56,null,null,null,null,null,null,null,113,05/04/2022,null,null
SGIPL&DT002/22-23,2022-2023,null,36,893.36,26.28,null,19863.48,DLNG SBI FAR,13/04/2022,76.195,null,1788868.17,VAT 6%,16522.24,1896200.26,1896200.26,null,null,null,.1,null,null,null,113,27/04/2022,null,null
SGIPL&CT004/22-23,2022-2023,null,63,0.0,26.28,null,21797.68,DLNG SBI FAR,13/04/2022,76.195,null,3321748.94,VAT 6%,99652.47,3521053.88,3521053.88,null,null,null,null,null,null,null,113,29/04/2022,null,null
SGIPL&CT006/22-23,2022-2023,null,638,814.97,21.4,null,17818.07,DLNG SBI FAR,15/11/2022,81.225,null,1477952.06,VAT 6%,1840.77,1566629.18,1566629.18,null,null,null,null,null,null,null,113,02/12/2022,null,null
SGIPL&DTMS0001/24-25,2024-2025,null,15,0.0,0.0,null,0,DLNG SBI FAR,null,null,null,30680,ST 12%-ECS 2%-HECS 1%,3069.3999999999996,39270.4,39270.4,null,null,null,null,null,null,null,4,12/11/2025,null,null
RIPL&DT001/20-21,2020-2021,null,4,857.07,9.5886,null,7090.71,DLNG SBI FAR,31/12/2020,73.215,null,601688.29,CST 2%,1650.84,613722.06,613722.06,null,null,null,null,null,null,null,23,03/01/2021,null,null
CP&DT001/21-22,2021-2022,null,10,412.82,7.4345,null,3069.11,DLNG SBI FAR,31/03/2021,73.485,null,451067.14,CST 2%,29319.36,29319.36,29319.36,null,null,null,null,null,null,null,23,08/04/2021,null,null
HALHFGL&CT004/21-22,2021-2022,null,601,821.52,24.1,null,20485,DLNG SBI FAR,15/02/2022,75.625,null,1601084.71,VAT 6%,3114.39,1697149.79,1697149.79,null,null,null,null,null,null,null,113,01/03/2022,null,null
AGP CGD&CT008/23-24,2023-2024,null,59,916.4,17.9,null,16403.56,DLNG SBI FAR,14/04/2023,81.825,null,1348782.72,CST 2%,65.61,1375758.37,1375758.37,null,null,null,null,null,null,null,113,28/04/2023,null,null
MINDA&CT001/23-24,2023-2024,null,52,585.42,22.0,null,12879.24,DLNG SBI FAR,14/04/2023,81.825,null,1058995.51,VAT 6%,154.55,1122535.24,1122535.24,null,null,null,null,null,null,null,113,28/04/2023,null,null
MINDA&CT006/23-24,2023-2024,null,57,877.24,22.0,null,19299.28,DLNG SBI FAR,14/04/2023,81.825,null,1586883.3,VAT 6%,231.59,1682096.3,1682096.3,null,null,null,null,null,null,null,113,28/04/2023,null,null
MINDA&CT010/23-24,2023-2024,null,61,587.48,22.0,null,12924.56,DLNG SBI FAR,14/04/2023,81.825,null,1062721.94,VAT 6%,155.09,1126485.25,1126485.25,null,null,null,null,null,null,null,113,28/04/2023,null,null
MINDA&DT005/23-24,2023-2024,null,953,882.38,18.25,null,16103.44,DLNG SBI FAR,13/10/2023,83.285,null,1341174.59,VAT 6%,19.32,1421645.06,1421645.06,null,null,null,null,null,null,null,113,08/11/2023,null,null
MINDA&DT001/24-25,2024-2025,null,484,876.74,10.8,null,9440.71,DLNG SBI FAR,29/06/2024,83.425,null,789933.97,VAT 6%,140.55,837330,837330,null,null,null,null,null,null,null,113,12/07/2024,null,null
MINDA&DT003/24-25,2024-2025,null,1001,574.56,13.6,null,6205.25,DLNG SBI FAR,31/10/2024,84.105,null,657197.81,VAT 6%,8118.33,696629.68,696629.68,null,null,null,null,null,null,null,46,29/11/2024,null,null
LEIPL&DT002/23-24,2023-2024,null,379,447.11,12.2,null,5278.13,DLNG SBI FAR,31/07/2023,82.245,null,448625.25,VAT 15%,2178.77,515919.03,515919.03,null,null,null,null,null,null,null,113,04/08/2023,null,null
LEIPL&DT004/23-24,2023-2024,null,392,441.05,12.2,null,5206.6,DLNG SBI FAR,31/07/2023,82.245,null,442544.72,VAT 15%,2149.24,508926.42,508926.42,null,null,null,.1,null,null,null,113,07/08/2023,null,null
LEIPL&CT013/23-24,2023-2024,null,614,431.4,12.2,null,5874.93,DLNG SBI FAR,31/08/2023,82.675,null,536295.3,VAT 15%,7587.76,616739.59,616739.59,null,null,null,null,null,null,null,113,07/09/2023,null,null
SCHOTT&CT001/21-22,2021-2022,null,114,0.0,7.4,null,6566.39,DLNG SBI FAR,30/04/2021,74.175,null,974123.96,VAT 6%,29223.72,1033087.69,1033087.69,null,null,null,null,null,null,null,23,12/05/2021,null,null
EXXARO&CT002/23-24,2023-2024,null,53,906.27,14.0,null,12687.78,DLNG SBI FAR,14/04/2023,81.825,null,1043252.71,VAT 6%,152.25,1105847.87,1105847.87,null,null,null,null,null,null,null,113,28/04/2023,null,null
EXXARO&CT005/23-24,2023-2024,null,56,735.61,14.0,null,10298.54,DLNG SBI FAR,14/04/2023,81.825,null,846797.45,VAT 6%,123.58,897605.29,897605.29,null,null,null,null,null,null,null,113,28/04/2023,null,null
EXXARO&CT007/23-24,2023-2024,null,58,905.04,14.0,null,12670.56,DLNG SBI FAR,14/04/2023,81.825,null,1041836.79,VAT 6%,152.05,1104347,1104347,null,null,null,null,null,null,null,113,28/04/2023,null,null
EXXARO&CT011/23-24,2023-2024,null,62,734.12,14.0,null,10277.68,DLNG SBI FAR,14/04/2023,81.825,null,845082.24,VAT 6%,123.33,895787.17,895787.17,null,null,null,null,null,null,null,113,28/04/2023,null,null
KAJARIA&CT002/21-22,2021-2022,null,338,914.42,20.5371,null,18779.53,DLNG SBI FAR,14/10/2021,75.305,null,1486639.09,CST 15%,10866.93,1709634.95,1709634.95,null,null,null,null,null,null,null,113,25/10/2021,null,null
KAJARIA&CT003/21-22,2021-2022,null,421,0.0,33.5394,null,30795.21,DLNG SBI FAR,30/11/2021,74.965,null,4617125.28,CST 15%,346284.4,5309694.08,5309694.08,null,null,null,null,null,null,null,113,02/12/2021,null,null
JKPAPER&CT005/21-22,2021-2022,null,720,759.93,26.0,null,21425.82,DLNG SBI FAR,15/03/2022,76.425,null,1764917.68,VAT 6%,7646.96,1870812.74,1870812.74,null,null,null,null,null,null,null,113,05/04/2022,null,null
JKPAPER&CT001/22-23,2022-2023,null,19,774.38,26.0,null,21760.44,DLNG SBI FAR,31/03/2022,75.745,null,1771448.32,VAT 6%,7392.23,1877735.22,1877735.22,null,null,null,null,null,null,null,113,27/04/2022,null,null
JKPAPER&CT003/22-23,2022-2023,null,32,767.91,26.0,null,21378.5,DLNG SBI FAR,31/03/2022,75.745,null,1726330.05,VAT 6%,6420.93,1829909.85,1829909.85,null,null,null,null,null,null,null,113,27/04/2022,null,null
JKPAPER&DT003/22-23,2022-2023,null,641,856.28,21.5,null,17996.79,DLNG SBI FAR,15/11/2022,81.225,null,1495353.88,VAT 6%,2013.88,1585075.12,1585075.12,null,null,null,null,null,null,null,113,05/12/2022,null,null
JKPAPER&CT003/23-24,2023-2024,null,54,822.96,14.7,null,12097.51,DLNG SBI FAR,14/04/2023,81.825,null,994717.92,VAT 6%,145.17,1054401,1054401,null,null,null,null,null,null,null,113,28/04/2023,null,null
VIRGO&CT002/22-23,2022-2023,null,24,812.11,26.0,null,21612.5,DLNG SBI FAR,31/03/2022,75.745,null,1674732.55,VAT 6%,2261.62,1775216.5,1775216.5,null,null,null,null,null,null,null,113,27/04/2022,null,null
VIRGO&CT004/23-24,2023-2024,null,55,881.32,15.4,null,13572.33,DLNG SBI FAR,14/04/2023,81.825,null,1115984.67,VAT 6%,162.87,1182943.75,1182943.75,null,null,null,null,null,null,null,113,28/04/2023,null,null
VIRGO&CT009/23-24,2023-2024,null,60,900.92,15.4,null,13874.17,DLNG SBI FAR,14/04/2023,81.825,null,1140803.46,VAT 6%,166.49,1209251.67,1209251.67,null,null,null,null,null,null,null,113,28/04/2023,null,null
GLIL&DT001/23-24,2023-2024,null,268,891.64,15.0,null,3227.74,DLNG SBI FAR,15/06/2023,82.175,null,1099057.75,VAT 6%,50029.11,1165001.22,1165001.22,null,null,null,.1,null,null,null,113,26/06/2023,null,null
VIGASLD&DT003/23-24,2023-2024,null,382,885.62,12.65,null,11169.95,DLNG SBI FAR,31/07/2023,82.245,null,921402.55,VAT 6%,163.8,977663.38,977663.38,null,null,null,null,null,null,null,113,04/08/2023,null,null
VIGASLD&DT002/24-25,2024-2025,null,964,880.13,9.95,null,8757.29,DLNG SBI FAR,15/10/2024,84.105,null,736532.17,VAT 6%,10.51,780724.1,780724.1,null,null,null,null,null,null,null,219,05/11/2024,null,null
