COMPANY_CD,FINANCIAL_YEAR,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,BU_UNIT,BU_STATE_TIN,SVC_INVOICE_SEQ,SVC_INVOICE_NO,INVOICE_SEQ,INVOICE_NO,TRUCK_TRANS_CD,TRUCK_CD,MAPPING_ID,PERIOD_START_DT,PERIOD_END_DT,QTY_MMBTU,DISTANCE,ENT_BY,ENT_DT
SGIPL,2021-2022,SGIPL-1-0-5-2-0,1,0,2,0,B,1,null,11,TMS00011/21-22,T0556/21-22,T0556/21-22,null,null,null,null,null,837.25,null,36,02/03/2022 00:00:00
SGIPL,2021-2022,SGIPL-1-0-5-2-0,1,0,2,0,B,1,null,11,TMS00011/21-22,T0559/21-22,T0559/21-22,null,null,null,null,null,839.05,null,36,02/03/2022 00:00:00
SGIPL,2021-2022,SGIPL-1-0-5-2-0,1,0,2,0,B,1,null,11,TMS00011/21-22,T0566/21-22,T0566/21-22,null,null,null,null,null,840.24,null,36,02/03/2022 00:00:00
SGIPL,2021-2022,SGIPL-1-0-5-2-0,1,0,2,0,B,1,null,11,TMS00011/21-22,T0588/21-22,T0588/21-22,null,null,null,null,null,839.60,null,36,02/03/2022 00:00:00
SGIPL,2021-2022,SGIPL-1-0-5-2-0,1,0,2,0,B,1,null,11,TMS00011/21-22,T0594/21-22,T0594/21-22,null,null,null,null,null,839.10,null,36,02/03/2022 00:00:00
SGIPL,2021-2022,SGIPL-1-0-5-2-0,1,0,2,0,B,1,null,12,TMS00012/21-22,T0603/21-22,T0603/21-22,null,null,null,null,null,843.94,null,36,16/03/2022 00:00:00
SGIPL,2021-2022,SGIPL-1-0-5-2-0,1,0,2,0,B,1,null,12,TMS00012/21-22,T0610/21-22,T0610/21-22,null,null,null,null,null,839.14,null,36,16/03/2022 00:00:00
SGIPL,2021-2022,SGIPL-1-0-5-2-0,1,0,2,0,B,1,null,12,TMS00012/21-22,T0649/21-22,T0649/21-22,null,null,null,null,null,849.34,null,36,16/03/2022 00:00:00
SGIPL,2021-2022,SGIPL-1-0-5-2-0,1,0,2,0,B,1,null,12,TMS00012/21-22,T0658/21-22,T0658/21-22,null,null,null,null,null,839.73,null,36,16/03/2022 00:00:00
SGIPL,2021-2022,SGIPL-1-0-5-2-0,1,0,2,0,B,1,null,12,TMS00012/21-22,T0666/21-22,T0666/21-22,null,null,null,null,null,836.69,null,36,16/03/2022 00:00:00
SGIPL,2021-2022,SGIPL-1-0-5-2-0,1,0,2,0,B,1,null,18,TMS00018/21-22,T0682/21-22,T0682/21-22,null,null,null,null,null,842.05,null,36,01/04/2022 00:00:00
SGIPL,2021-2022,SGIPL-1-0-5-2-0,1,0,2,0,B,1,null,18,TMS00018/21-22,T0687/21-22,T0687/21-22,null,null,null,null,null,841.05,null,36,01/04/2022 00:00:00
SGIPL,2021-2022,SGIPL-1-0-5-2-0,1,0,2,0,B,1,null,18,TMS00018/21-22,T0695/21-22,T0695/21-22,null,null,null,null,null,843.88,null,36,01/04/2022 00:00:00
SGIPL,2021-2022,SGIPL-1-0-5-2-0,1,0,2,0,B,1,null,18,TMS00018/21-22,T0705/21-22,T0705/21-22,null,null,null,null,null,842.46,null,36,01/04/2022 00:00:00
SGIPL,2021-2022,SGIPL-1-0-5-2-0,1,0,2,0,B,1,null,18,TMS00018/21-22,T0712/21-22,T0712/21-22,null,null,null,null,null,835.26,null,36,01/04/2022 00:00:00
SGIPL,2021-2022,SGIPL-1-0-5-2-0,1,0,2,0,B,1,null,18,TMS00018/21-22,T0714/21-22,T0714/21-22,null,null,null,null,null,837.32,null,36,01/04/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-3-0,1,0,3,0,B,1,null,3,TMS00003/22-23,T0008/22-23,T0008/22-23,null,null,null,null,null,832.65,null,36,18/04/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-3-0,1,0,3,0,B,1,null,3,TMS00003/22-23,T0015/22-23,T0015/22-23,null,null,null,null,null,833.88,null,36,18/04/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-3-0,1,0,3,0,B,1,null,3,TMS00003/22-23,T0017/22-23,T0017/22-23,null,null,null,null,null,838.80,null,36,18/04/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-3-0,1,0,3,0,B,1,null,3,TMS00003/22-23,T0023/22-23,T0023/22-23,null,null,null,null,null,833.32,null,36,18/04/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-3-0,1,0,3,0,B,1,null,3,TMS00003/22-23,T0027/22-23,T0027/22-23,null,null,null,null,null,831.30,null,36,18/04/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-3-0,1,0,3,0,B,1,null,3,TMS00003/22-23,T0030/22-23,T0030/22-23,null,null,null,null,null,831.13,null,36,18/04/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-3-0,1,0,3,0,B,1,null,7,TMS00007/22-23,T0036/22-23,T0036/22-23,null,null,null,null,null,755.84,null,36,02/05/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-3-0,1,0,3,0,B,1,null,7,TMS00007/22-23,T0050/22-23,T0050/22-23,null,null,null,null,null,819.39,null,36,02/05/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-3-0,1,0,3,0,B,1,null,7,TMS00007/22-23,T0056/22-23,T0056/22-23,null,null,null,null,null,833.08,null,36,02/05/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-3-0,1,0,3,0,B,1,null,7,TMS00007/22-23,T0061/22-23,T0061/22-23,null,null,null,null,null,837.95,null,36,02/05/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-3-0,1,0,3,0,B,1,null,10,TMS00010/22-23,T0078/22-23,T0078/22-23,null,null,null,null,null,831.61,null,36,16/05/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-3-0,1,0,3,0,B,1,null,10,TMS00010/22-23,T0086/22-23,T0086/22-23,null,null,null,null,null,847.34,null,36,16/05/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-3-0,1,0,3,0,B,1,null,10,TMS00010/22-23,T0090/22-23,T0090/22-23,null,null,null,null,null,843.70,null,36,16/05/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-3-0,1,0,3,0,B,1,null,10,TMS00010/22-23,T0098/22-23,T0098/22-23,null,null,null,null,null,841.08,null,36,16/05/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-3-0,1,0,3,0,B,1,null,10,TMS00010/22-23,T0105/22-23,T0105/22-23,null,null,null,null,null,881.04,null,36,16/05/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-3-0,1,0,3,0,B,1,null,13,TMS00013/22-23,T0114/22-23,T0114/22-23,null,null,null,null,null,829.52,null,6,01/06/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-3-0,1,0,3,0,B,1,null,13,TMS00013/22-23,T0125/22-23,T0125/22-23,null,null,null,null,null,842.56,null,6,01/06/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-3-0,1,0,3,0,B,1,null,13,TMS00013/22-23,T0140/22-23,T0140/22-23,null,null,null,null,null,844.64,null,6,01/06/2022 00:00:00
