COMPANY_CD,FINANCIAL_YEAR,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,BU_UNIT,BU_STATE_TIN,BU_CONTACT_PERSON_CD,ADDR_FLAG,CONTACT_PERSON_CD,INVOICE_TYPE,INVOICE_SEQ,INVOICE_NO,LINE_NO,LINE_DESC,UNIT,QTY,RATE,AMOUNT,ENT_BY,ENT_DT,CARGO_NO
RIL,2016-2017,C-1-3-3-0,3,0,3,0,O,1,0,null,dr,null,DR,1,null,1,DIFF-EXG,USD,19978.81,.8,15983.05,27,18/04/2016 11:21:51,null
RIL,2016-2017,C-1-3-24-0,3,0,24,0,O,1,0,0001/16-17,cr,null,CR,228,0001/16-17,1,REV_INV,USD,437363.66,.8,9707.65,23,03/08/2016 12:22:12,null
RIL,2016-2017,C-1-3-24-0,3,0,24,0,O,1,0,0002/16-17,cr,null,CR,229,0002/16-17,1,REV_INV,USD,235062.67,.8,27380.49,23,03/08/2016 12:26:14,null
RIL,2016-2017,C-1-3-24-0,3,0,24,0,O,1,0,0003/16-17,cr,null,CR,230,0003/16-17,1,REV_INV,USD,136353,.8,18829.69,23,03/08/2016 12:29:15,null
RIL,2016-2017,C-1-3-24-0,3,0,24,0,O,1,0,0004/16-17,cr,null,CR,239,0004/16-17,1,REV_INV,USD,1298493,.8,737290.85,23,03/08/2016 12:30:23,null
RIL,2017-2018,C-1-4-15-0,4,0,15,0,O,1,0,0003/17-18,cr,null,CR,137,0003/17-18,1,REV_INV,USD,472513.19,.8,378010.55,23,19/06/2017 16:11:18,null
RIL,2017-2018,C-1-4-16-0,4,0,16,0,O,1,0,0004/17-18,cr,null,CR,145,0004/17-18,1,REV_INV,USD,40568.57,.8,32454.86,23,19/06/2017 16:12:17,null
RIL,2019-2020,L-1-1-0,1,0,1,0,L,1,0,D018/19-20,dr,null,DR,115,D018/19-20,1,DIFF-EXG,USD,97644.68,5.07,495058.53,23,25/02/2020 14:07:05,null
GSPCL,2018-2019,C-3-12018-12-0,12018,0,12,0,O,1,0,C006/18-19,cr,null,CR,472,C006/18-19,1,DIFF-EXG,USD,1199549.8,.78,935648.84,23,03/01/2019 09:17:09,null
GSPCL,2019-2020,117,1,0,105,3,S,1,0,D006/19-20,dr,null,DR,95,D006/19-20,1,DIFF-EXG,USD,784414.95,6.15,4824151.94,6,04/02/2020 14:53:56,null
