COMPANY_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,BU_UNIT,BU_CONTACT_PERSON_CD,ADDR_FLAG,INVOICE_SEQ,INVOICE_NO,LINE_NO,LINE_DESC,UNIT,QTY,RATE,AMOUNT,ENT_BY,ENT_DT,FINANCIAL_YEAR,INVOICE_TYPE
Gail,1-1-1603-1021S1-0-1-0-1,UPG2A25109000731,16,null,null,C,null,null,null,null,UPG2A25109000731,1,Transmission Charge,INR,5400,25.63,138402,219,17/04/2025 00:00:00,2025-2026,TC
Gail,1-1-1603-1021S1-0-1-0-1,UPG2A25109000732,16,null,null,C,null,null,null,null,UPG2A25109000732,1,Transmission Charge,INR,9000,25.63,230670,219,17/04/2025 00:00:00,2025-2026,TC
Gail,1-1-1603-1021S1-0-1-0-1,UPG2A25109002590,16,null,null,C,null,null,null,null,UPG2A25109002590,1,Transmission Charge,INR,12600,25.63,322938,219,02/05/2025 00:00:00,2025-2026,TC
Gail,1-1-1604-1282L1-0-1-0-2,UPG2A23109003600,16,null,null,C,null,null,null,null,UPG2A23109003600,1,Transmission Charge,INR,140000,13.99,1958600,113,04/07/2023 00:00:00,2023-2024,TC
Gail,1-1-1604-1282L1-0-1-0-2,UPG2A23109003774,32,null,null,C,null,null,null,null,UPG2A23109003774,1,Negative Imbalance Above 5 Rate,INR,13574.34,7,95020.38,113,04/07/2023 00:00:00,2023-2024,IC
Gail,1-1-1601-1281L1-0-1-0-1,UPG2A23109003597,16,null,null,C,null,null,null,null,UPG2A23109003597,1,Transmission Charge,INR,120000,74.97,8996400,113,18/07/2023 00:00:00,2023-2024,TC
Gail,1-1-1603-892S1-0-3-0-2,UPG2A23109009046,16,null,null,C,null,null,null,null,UPG2A23109009046,1,Transmission Charge,INR,28400,22.9,650360,130,17/10/2023 00:00:00,2023-2024,TC
Gail,1-1-1604-893S1-0-3-0-3,UPG2A23109004716,16,null,null,C,null,null,null,null,UPG2A23109004716,1,Transmission Charge,INR,95000,26.28,2496600,113,17/07/2023 00:00:00,2023-2024,TC
Gail,1-1-1604-1101S1-0-3-0-1,UPG2A24109010433,16,null,null,C,null,null,null,null,UPG2A24109010433,1,Transmission Charge,INR,3606.83,18.42,66437.78,219,17/10/2024 00:00:00,2024-2025,TC
Gail,1-1-1604-1101S1-0-3-0-1,UPG2A24109010434,16,null,null,C,null,null,null,null,UPG2A24109010434,1,Transmission Charge,INR,4110.86,18.42,75722.03,219,17/10/2024 00:00:00,2024-2025,TC
