COMPANY_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,BU_UNIT,BU_CONTACT_PERSON_CD,ADDR_FLAG,INVOICE_SEQ,INVOICE_NO,INVOICE_REF,INVOICE_DT,INVOICE_CATEGORY,FREQ,PERIOD_START_DT,PERIOD_END_DT,DUE_DT,INVOICE_TYPE,LINKED_INVOICE,NUM_LINE,NOTE,GROSS_AMT_USD,EXCHG_RATE_CD,EXCHG_RATE_DT,EXCHG_RATE_VALUE,INVOICE_RAISED_IN,GROSS_AMT_INR,TAX_AMT,TAX_STRUCT_CD,TAX_EFF_DT,INVOICE_AMT,ADJUST_SIGN,ADJUST_AMT,NET_PAYABLE_AMT,INV_STATUS,CHECKED_FLAG,CHECKED_BY,CHECKED_DT,AUTHORIZED_FLAG,AUTHORIZED_BY,AUTHORIZED_DT,APPROVED_FLAG,APPROVED_BY,APPROVED_DT,ENT_BY,ENT_DT,FINANCIAL_YEAR,MODIFY_BY,MODIFY_DT,OTHER_INV_STR,AMT_WORD,PDF_INV_DTL,PRINT_BY_ORI,PRINT_DT_ORI,TDS_AMT,TCS_TDS,TDS_STRUCT_CD,TDS_EFF_DT,TCS_AMT,TCS_STRUCT_CD,TCS_EFF_DT,SAP_APPROVAL,SAP_APPROVED_BY,SAP_APPROVED_DT,SAP_EXCHNG_RATE,TCS_CERT_FLAG,ALLOC_QTY,SUB_INV_TYPE,FIN_SYS
Gail,1-1-1601-1032L5-0-1-0-2,C,null,null,null,C,1,null,null,2024-2025,UPG2A24109020306,UPG2A24109020306,19/01/2025 00:00:00,S,8,16/01/2025 00:00:00,19/01/2025 00:00:00,06/02/2025 00:00:00,TC,null,1,Invoice Of Gail for the Period of 16/01/2025 to 19/01/2025,null,null,null,null,1,1563161.6,IGST 12%,null,null,1750741,null,null,1750741,null,Y,6,04/02/2025 15:32:16,Y,6,04/02/2025 15:32:16,A,46,05/02/2025 10:47:08,219,04/02/2025 11:51:02,2024-2025,null,null,null,null,O,219,04/02/2025 11:51:02,31263.23,TDS,TDS 2%,01/04/2023 00:00:00,null,null,null,Y,164,05/02/2025 14:24:08,null,null,19520.0,null,S
Gail,1-1-1601-1032L5-0-1-0-2,C,null,null,null,C,1,null,null,2024-2025,UPG2A24109020307,UPG2A24109020307,27/01/2025 00:00:00,S,8,20/01/2025 00:00:00,27/01/2025 00:00:00,06/02/2025 00:00:00,TC,null,1,Invoice Of Gail for the Period of 20/01/2025 to 27/01/2025,null,null,null,null,1,2962960.0,IGST 12%,null,null,3318515,null,null,3318515,null,Y,6,04/02/2025 15:35:29,Y,6,04/02/2025 15:35:29,A,46,05/02/2025 10:47:41,219,04/02/2025 11:53:38,2024-2025,null,null,null,null,O,219,04/02/2025 11:53:38,59259.2,TDS,TDS 2%,01/04/2023 00:00:00,null,null,null,Y,164,05/02/2025 14:24:00,null,null,37000.0,null,S
Gail,1-1-1601-1032L5-0-1-0-2,C,null,null,null,C,1,null,null,2024-2025,UPG2A24109020308,UPG2A24109020308,31/01/2025 00:00:00,S,8,28/01/2025 00:00:00,31/01/2025 00:00:00,06/02/2025 00:00:00,TC,null,1,Invoice Of Gail for the Period of 28/01/2025 to 31/01/2025,null,null,null,null,1,1508707.2,IGST 12%,null,null,1689752,null,null,1689752,null,Y,6,04/02/2025 15:36:55,Y,6,04/02/2025 15:36:55,A,46,05/02/2025 10:48:15,219,04/02/2025 11:59:07,2024-2025,null,null,null,null,O,219,04/02/2025 11:59:07,30174.14,TDS,TDS 2%,01/04/2023 00:00:00,null,null,null,Y,164,05/02/2025 14:22:20,null,null,18840.0,null,S
Gail,1-1-1601-1132L29-0-1-1-2,C,null,null,null,C,1,null,null,2025-2026,UPG2A25109000471,UPG2A25109000471,15/04/2025 00:00:00,S,1,01/04/2025 00:00:00,15/04/2025 00:00:00,22/04/2025 00:00:00,TC,null,1,Invoice Of Gail for the Period of 01/04/2025 to 15/04/2025,null,null,null,null,1,1601550.0,IGST 12%,null,null,1793736,null,null,1793736,null,Y,6,17/04/2025 23:02:07,Y,6,17/04/2025 23:02:07,A,46,21/04/2025 12:46:38,219,17/04/2025 11:55:46,2025-2026,null,null,null,null,O,219,17/04/2025 11:55:46,32031,TDS,TDS 2%,01/04/2023 00:00:00,null,null,null,Y,201,23/04/2025 12:51:41,null,null,15000.0,null,S
Gail,1-1-1601-1132L29-0-1-1-2,C,null,null,null,C,1,null,null,2025-2026,UPG2A25109002322,UPG2A25109002322,30/04/2025 00:00:00,S,2,16/04/2025 00:00:00,30/04/2025 00:00:00,06/05/2025 00:00:00,TC,null,1,Invoice Of Gail for the Period of 16/04/2025 to 30/04/2025,null,null,null,null,1,1377333.0,IGST 12%,null,null,1542613,null,null,1542613,null,Y,6,02/05/2025 15:43:02,Y,6,02/05/2025 15:43:02,A,46,05/05/2025 10:30:15,219,02/05/2025 13:41:29,2025-2026,null,null,null,null,O,219,02/05/2025 13:41:29,27546.66,TDS,TDS 2%,01/04/2023 00:00:00,null,null,null,Y,201,05/05/2025 11:51:21,null,null,12900.0,null,S
Gail,1-1-1601-1132L29-0-1-1-2,C,null,null,null,C,1,null,null,2025-2026,UPG2A25109002324,UPG2A25109002324,30/04/2025 00:00:00,S,2,16/04/2025 00:00:00,30/04/2025 00:00:00,06/05/2025 00:00:00,TC,null,1,Invoice Of Gail for the Period of 16/04/2025 to 30/04/2025,null,null,null,null,1,1366656.0,IGST 12%,null,null,1530655,null,null,1530655,null,Y,6,02/05/2025 15:51:25,Y,6,02/05/2025 15:51:25,A,46,05/05/2025 10:33:39,219,02/05/2025 13:25:28,2025-2026,null,null,null,null,O,219,02/05/2025 13:25:28,27333.12,TDS,TDS 2%,01/04/2023 00:00:00,null,null,null,Y,201,05/05/2025 11:54:47,null,null,12800.0,null,S
Gail,1-1-1601-1132L29-0-1-1-2,C,null,null,null,C,1,null,null,2025-2026,UPG2A25109002325,UPG2A25109002325,30/04/2025 00:00:00,S,2,16/04/2025 00:00:00,30/04/2025 00:00:00,06/05/2025 00:00:00,TC,null,1,Invoice Of Gail for the Period of 16/04/2025 to 30/04/2025,null,null,null,null,1,1366656.0,IGST 12%,null,null,1530655,null,null,1530655,null,Y,6,02/05/2025 15:24:59,Y,6,02/05/2025 15:24:59,A,46,05/05/2025 10:34:09,219,02/05/2025 13:27:16,2025-2026,null,null,null,null,O,219,02/05/2025 13:27:16,27333.12,TDS,TDS 2%,01/04/2023 00:00:00,null,null,null,Y,201,05/05/2025 11:58:10,null,null,12800.0,null,S
Gail,1-1-1601-1132L29-0-1-1-2,C,null,null,null,C,1,null,null,2025-2026,UPG2A25109002326,UPG2A25109002326,30/04/2025 00:00:00,S,2,16/04/2025 00:00:00,30/04/2025 00:00:00,06/05/2025 00:00:00,TC,null,1,Invoice Of Gail for the Period of 16/04/2025 to 30/04/2025,null,null,null,null,1,1493178.45,IGST 12%,null,null,1672360,null,null,1672360,null,Y,6,02/05/2025 15:49:54,Y,6,02/05/2025 15:49:54,A,46,05/05/2025 10:34:36,219,02/05/2025 13:34:46,2025-2026,null,null,null,null,O,219,02/05/2025 13:34:46,29863.57,TDS,TDS 2%,01/04/2023 00:00:00,null,null,null,Y,201,05/05/2025 11:54:15,null,null,13985.0,null,S
Gail,1-1-1601-1211L2-0-1-0-1,C,null,null,null,C,1,null,null,2023-2024,UPG2A23109008796,UPG2A23109008796,02/10/2023 00:00:00,S,8,02/10/2023 00:00:00,02/10/2023 00:00:00,20/10/2023 00:00:00,IC,null,1,Invoice Of Gail for the Period of 02/10/2023 to 02/10/2023,null,null,null,null,1,0.51,IGST 12%,null,null,1,null,null,1,null,Y,6,17/10/2023 22:22:41,Y,6,17/10/2023 22:22:41,A,153,18/10/2023 13:14:34,130,17/10/2023 22:17:36,2023-2024,null,null,null,null,O,130,17/10/2023 22:17:36,0.01,TDS,TDS 2%,01/04/2023 00:00:00,null,null,null,Y,128,19/10/2023 16:39:46,null,null,0.013,null,S
Gail,1-1-1601-1211L3-0-1-0-1,C,null,null,null,C,1,null,null,2024-2025,UPG2A24109020368,UPG2A24109020368,31/01/2025 00:00:00,S,8,16/01/2025 00:00:00,22/01/2025 00:00:00,06/02/2025 00:00:00,TC,null,1,Invoice Of Gail for the Period of 16/01/2025 to 22/01/2025,null,null,null,null,1,1928326.4,IGST 12%,null,null,2159726,null,null,2159726,null,Y,6,04/02/2025 15:22:31,Y,6,04/02/2025 15:22:31,A,46,05/02/2025 10:37:57,219,04/02/2025 12:12:31,2024-2025,null,null,null,null,O,219,04/02/2025 12:12:31,38566.53,TDS,TDS 2%,01/04/2023 00:00:00,null,null,null,Y,164,05/02/2025 14:24:55,null,null,24080.0,null,S
