COMPANY_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,BU_UNIT,BU_CONTACT_PERSON_CD,TRANS_BU_UNIT,INVOICE_TYPE,ALLOC_QTY,DEFICIENCY_QTY,NEG_IMB_QTY,POS_IMB_QTY,UNAUTH_OVERRUN_QTY,PARKING_QTY,SIP_PAY_RATE,TRANSPORT_RATE,NEGETIVE_IMB_RATE,POSITIVE_IMB_RATE,UNAUTH_OVERRUN_RATE,PARKING_RATE,TRANSMISSION_AMT,NEG_IMB_AMT,POS_IMB_AMT,UNAUTH_OVERRUN_AMT,PARKING_AMT,INVOICE_SEQ,INVOICE_NO,INVOICE_DT,FREQ,PERIOD_START_DT,PERIOD_END_DT,DUE_DT,RATE_UNIT,SALE_AMT,EXCHG_RATE_CD,EXCHG_RATE_DT,EXCHG_RATE_VALUE,INVOICE_RAISED_IN,GROSS_AMT,TAX_AMT,TAX_STRUCT_CD,TAX_EFF_DT,INVOICE_AMT,ADJUST_SIGN,ADJUST_AMT,NET_PAYABLE_AMT,INV_STATUS,CHECKED_FLAG,CHECKED_BY,CHECKED_DT,AUTHORIZED_FLAG,AUTHORIZED_BY,AUTHORIZED_DT,APPROVED_FLAG,APPROVED_BY,APPROVED_DT,ENT_BY,ENT_DT,FINANCIAL_YEAR,PDF_INV_DTL,PRINT_BY_ORI,PRINT_DT_ORI,DEFICIENCY_AMT,SIP_PAY_FREQ,TDS_AMT,TDS_FACTOR,TDS_STRUCT_CD,TDS_EFF_DT,TCS_TDS,SAP_APPROVAL,SAP_APPROVED_BY,SAP_APPROVED_DT,SYS_INV_NO,INV_COMPONENT,FIN_SYS
Gail,1-1-1601-1032L5-0-1-0-2,C,null,null,null,C,null,null,1,TC,67040,null,null,null,null,null,null,80.08,null,null,null,null,5368563.2,0.0,0.0,0.0,0.0,2024-2025,UPG2A24109018623-624,15/01/202500:00:00,1,01/01/2025 00:00:00,15/01/2025 00:00:00,21/01/202500:00:00,1,5368563.2,null,null,null,1,5368563.2,IGST 12%,null,null,6012791,null,null,6012791,null,Y,6,17/01/202518:35:28,Y,6,17/01/202518:35:28,A,46,20/01/202512:43:19,23,17/01/202514:46:31,2024-2025,O,23,17/01/202514:46:31,null,null,107371.26,2,TDS 2%,01/04/202300:00:00,TDS,Y,164,20/01/202517:33:00,null,TP,S
Gail,1-1-1601-1132L29-0-1-1-2,C,null,null,null,C,null,null,1,TC,15000,null,null,null,null,null,null,106.77,null,null,null,null,1601550.0,0.0,0.0,0.0,0.0,2025-2026,UPG2A25109000470,15/04/202500:00:00,1,08/04/2025 00:00:00,15/04/2025 00:00:00,22/04/202500:00:00,1,1601550.0,null,null,null,1,1601550.0,IGST 12%,null,null,1793736,null,null,1793736,null,Y,6,17/04/202523:14:42,Y,6,17/04/202523:14:42,A,46,21/04/202512:46:10,219,17/04/202512:44:04,2025-2026,O,219,17/04/202512:44:04,null,null,32031,2,TDS 2%,01/04/202300:00:00,TDS,Y,201,23/04/202512:50:47,null,TP,S
Gail,1-1-1601-1132L29-0-1-1-2,C,null,null,null,C,null,null,1,TC,15000,null,null,null,null,null,null,106.77,null,null,null,null,1601550.0,0.0,0.0,0.0,0.0,2025-2026,UPG2A25109000471,15/04/202500:00:00,1,08/04/2025 00:00:00,15/04/2025 00:00:00,22/04/202500:00:00,1,1601550.0,null,null,null,1,1601550.0,IGST 12%,null,null,1793736,null,null,1793736,null,Y,6,17/04/202523:02:07,Y,6,17/04/202523:02:07,A,46,21/04/202512:46:38,219,17/04/202511:55:46,2025-2026,O,219,17/04/202511:55:46,null,null,32031,2,TDS 2%,01/04/202300:00:00,TDS,Y,201,23/04/202512:51:41,null,TP,S
Gail,1-1-1601-1132L29-0-1-1-2,C,null,null,null,C,null,null,1,TC,12900,null,null,null,null,null,null,106.77,null,null,null,null,1377333.0,0.0,0.0,0.0,0.0,2025-2026,UPG2A25109002321,30/04/202500:00:00,2,16/04/2025 00:00:00,30/04/2025 00:00:00,06/05/202500:00:00,1,1377333.0,null,null,null,1,1377333.0,IGST 12%,null,null,1542613,null,null,1542613,null,Y,6,02/05/202515:47:54,Y,6,02/05/202515:47:54,A,46,05/05/202510:29:41,219,02/05/202513:38:14,2025-2026,O,219,02/05/202513:38:14,null,null,27546.66,2,TDS 2%,01/04/202300:00:00,TDS,Y,201,05/05/202511:53:41,null,TP,S
Gail,1-1-1601-1132L29-0-1-1-2,C,null,null,null,C,null,null,1,TC,12900,null,null,null,null,null,null,106.77,null,null,null,null,1377333.0,0.0,0.0,0.0,0.0,2025-2026,UPG2A25109002322,30/04/202500:00:00,2,16/04/2025 00:00:00,30/04/2025 00:00:00,06/05/202500:00:00,1,1377333.0,null,null,null,1,1377333.0,IGST 12%,null,null,1542613,null,null,1542613,null,Y,6,02/05/202515:43:02,Y,6,02/05/202515:43:02,A,46,05/05/202510:30:15,219,02/05/202513:41:29,2025-2026,O,219,02/05/202513:41:29,null,null,27546.66,2,TDS 2%,01/04/202300:00:00,TDS,Y,201,05/05/202511:51:21,null,TP,S
Gail,1-1-1601-1132L29-0-1-1-2,C,null,null,null,C,null,null,1,TC,12800,null,null,null,null,null,null,106.77,null,null,null,null,1366656.0,0.0,0.0,0.0,0.0,2025-2026,UPG2A25109002324,30/04/202500:00:00,2,16/04/2025 00:00:00,30/04/2025 00:00:00,06/05/202500:00:00,1,1366656.0,null,null,null,1,1366656.0,IGST 12%,null,null,1530655,null,null,1530655,null,Y,6,02/05/202515:51:25,Y,6,02/05/202515:51:25,A,46,05/05/202510:33:39,219,02/05/202513:25:28,2025-2026,O,219,02/05/202513:25:28,null,null,27333.12,2,TDS 2%,01/04/202300:00:00,TDS,Y,201,05/05/202511:54:47,null,TP,S
Gail,1-1-1601-1132L29-0-1-1-2,C,null,null,null,C,null,null,1,TC,12800,null,null,null,null,null,null,106.77,null,null,null,null,1366656.0,0.0,0.0,0.0,0.0,2025-2026,UPG2A25109002325,30/04/202500:00:00,2,16/04/2025 00:00:00,30/04/2025 00:00:00,06/05/202500:00:00,1,1366656.0,null,null,null,1,1366656.0,IGST 12%,null,null,1530655,null,null,1530655,null,Y,6,02/05/202515:24:59,Y,6,02/05/202515:24:59,A,46,05/05/202510:34:09,219,02/05/202513:27:16,2025-2026,O,219,02/05/202513:27:16,null,null,27333.12,2,TDS 2%,01/04/202300:00:00,TDS,Y,201,05/05/202511:58:10,null,TP,S
Gail,1-1-1601-1132L29-0-1-1-2,C,null,null,null,C,null,null,1,TC,13985,null,null,null,null,null,null,106.77,null,null,null,null,1493178.45,0.0,0.0,0.0,0.0,2025-2026,UPG2A25109002326,30/04/202500:00:00,2,16/04/2025 00:00:00,30/04/2025 00:00:00,06/05/202500:00:00,1,1493178.45,null,null,null,1,1493178.45,IGST 12%,null,null,1672360,null,null,1672360,null,Y,6,02/05/202515:49:54,Y,6,02/05/202515:49:54,A,46,05/05/202510:34:36,219,02/05/202513:34:46,2025-2026,O,219,02/05/202513:34:46,null,null,29863.57,2,TDS 2%,01/04/202300:00:00,TDS,Y,201,05/05/202511:54:15,null,TP,S
Gail,1-1-1601-1161L4-0-1-0-1,C,null,null,null,C,null,null,1,TC,127646,null,null,null,null,null,null,114.52,null,null,null,null,1.461801992E7,0.0,0.0,0.0,0.0,2023-2024,UPG2A23109012015,15/12/202300:00:00,1,01/12/2023 00:00:00,15/12/2023 00:00:00,21/12/202300:00:00,1,1.461801992E7,null,null,null,1,1.461801992E7,IGST 12%,null,null,16372182,null,null,16372182,null,Y,6,18/12/202316:47:36,Y,6,18/12/202316:47:36,A,6,19/12/202312:07:58,130,18/12/202312:24:51,2023-2024,O,130,18/12/202312:24:51,null,null,292360.4,2,TDS 2%,01/04/202300:00:00,TDS,Y,128,19/12/202313:53:34,null,TP,S
Gail,1-1-1601-1201L2-0-1-0-1,C,null,null,null,C,null,null,1,TC,51720,null,null,null,null,null,null,114.52,null,null,null,null,5922974.4,0.0,0.0,0.0,0.0,2023-2024,UPG2A23109007666,15/09/202300:00:00,1,01/09/2023 00:00:00,15/09/2023 00:00:00,22/09/202300:00:00,1,5922974.4,null,null,null,1,5922974.4,IGST 12%,null,null,6633731,null,null,6633731,null,Y,6,18/09/202321:44:30,Y,6,18/09/202321:44:30,A,6,20/09/202319:33:30,130,18/09/202319:53:43,2023-2024,O,130,18/09/202319:53:43,null,null,118459.49,2,TDS 2%,01/04/202300:00:00,TDS,Y,128,21/09/202314:08:28,null,TP,S
