COMPANY_CD,COUNTERPARTY_CD,FINANCIAL_YEAR,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,BU_UNIT,BU_STATE_TIN,BU_CONTACT_PERSON_CD,PLANT_SEQ,CONTACT_PERSON_CD,INVOICE_SEQ,INVOICE_NO,INVOICE_DT,FREQ,PERIOD_START_DT,PERIOD_END_DT,DUE_DT,ALLOC_QTY,SALE_PRICE,SALE_PRICE_UNIT,SALE_AMT,EXCHG_RATE_CD,EXCHG_RATE_DT,EXCHG_RATE_VALUE,INVOICE_RAISED_IN,GROSS_AMT,TAX_AMT,TAX_STRUCT_CD,TAX_EFF_DT,INVOICE_AMT,NET_PAYABLE_AMT,INV_STATUS,REMARK_1,REMARK_2,CHECKED_FLAG,CHECKED_BY,CHECKED_DT,AUTHORIZED_FLAG,AUTHORIZED_BY,AUTHORIZED_DT,APPROVED_FLAG,APPROVED_BY,APPROVED_DT,ENT_BY,ENT_DT,EXCHG_RATE_TYPE,MODIFY_BY,MODIFY_DT,TCS_TDS,TCS_AMT,TCS_FACTOR,INVOICE_ID_SEQ,PAY_RECV_AMT,PAY_RECV_DT,PAY_INSERT_BY,PAY_INSERT_DT,PAY_UPDATE_BY,PAY_UPDATE_DT,PAY_REMARK,TDS_GROSS_PERCENT,TDS_GROSS_AMT,TDS_TAX_PERCENT,TDS_TAX_AMT,PDF_INV_DTL,PRINT_BY_ORI,PRINT_DT_ORI,PRINT_BY_TRI,PRINT_DT_TRI,PRINT_BY_DUP,PRINT_DT_DUP,TRANSPORTATION_CHARGE,TRANSPORTATION_AMOUNT,SAP_APPROVAL,SAP_APPROVED_BY,SAP_APPROVED_DT,TCS_STRUCT_CD,TCS_EFF_DT,TDS_STRUCT_CD,TDS_EFF_DT,MARKET_MARGIN,OTHER_CHARGES,MARKET_MARGIN_AMT,OTHER_CHARGES_AMT,CARGO_NO
RIL,1,2012-2013,2,1,32,0,S,1,null,0,6,31,19,null,31/10/2012 00:00:00,0,29/10/2012 00:00:00,31/10/2012 00:00:00,06/11/2012 00:00:00,120027.8,12.35,2,1482343.33,SBI RATE BUY SELL,31/10/2012 00:00:00,54.02,1,80076186.69,0,10,null,80076186.69,80076186.69,null,Please pay the invoiced amount by wire transfer at our Bank Account : Standard Chartered Bank (Ahmedabad Branch) - A/C No: 233-0-505333-1,Subject to the terms and conditions of Supply Notice (SN-29) executed on 26th October 2012 pursuant to Framework Gas Sales Agreement (FGSA) executed on 24th April 2009   subsequent Side letters  FGSA extension letter dated 22nd April 2012 between Hazira LNG Private Limited and Reliance Industries Limited.,Y,22,06/11/2012 00:00:00,null,null,null,Y,22,06/11/2012 00:00:00,23,06/11/2012 00:00:00,D,null,null,NA,null,null,19,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
RIL,1,2012-2013,2,1,32,0,S,1,null,0,6,31,20,null,06/11/2012 00:00:00,0,01/11/2012 00:00:00,05/11/2012 00:00:00,10/11/2012 00:00:00,191172.82,12.35,2,2360984.33,SBI RATE BUY SELL,05/11/2012 00:00:00,54.07,1,127658422.56,0,10,null,127658422.56,127658422.56,null,Please pay the invoiced amount by wire transfer at our Bank Account : Standard Chartered Bank (Ahmedabad Branch) - A/C No: 233-0-505333-1,Subject to the terms and conditions of Supply Notice (SN-29) executed on 26th October 2012 pursuant to Framework Gas Sales Agreement (FGSA) executed on 24th April 2009  subsequent Side letters  FGSA extension letter dated 22nd April 2012 between Hazira LNG Private Limited and Reliance Industries Limited,Y,22,06/11/2012 00:00:00,null,null,null,Y,22,06/11/2012 00:00:00,23,06/11/2012 00:00:00,D,null,null,NA,null,null,20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
RIL,1,2011-2012,2,0,27,1,S,1,null,0,2,29,10,null,31/05/2011 00:00:00,2,16/05/2011 00:00:00,31/05/2011 00:00:00,06/06/2011 00:00:00,324418.41,13.67,2,4434799.66,SBI RATE BUY SELL,31/05/2011 00:00:00,44.985,1,199499462.92,29924919.43,7,null,229424382.35,229424382.35,null,Please pay the invoiced amount by wire transfer at our Bank Account : Standard Chartered Bank (Ahmedabad Branch) - A/C No: 233-0-505333-1,Subject to the terms and conditions of the Framework Sales Agreement executed on 24th April 2009 and Supply Notice executed on 12th May 2011between Hazira LNG Private Limited and Reliance Industries Limited,Y,5,01/06/2011 00:00:00,null,null,null,Y,13,01/06/2011 00:00:00,6,01/06/2011 00:00:00,D,null,null,NA,null,null,10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
RIL,1,2011-2012,2,0,27,1,S,1,null,0,2,29,12,null,16/06/2011 00:00:00,1,01/06/2011 00:00:00,15/06/2011 00:00:00,21/06/2011 00:00:00,557636.97,13.67,2,7622897.38,SBI RATE BUY SELL,15/06/2011 00:00:00,44.705,1,340781627.37,51117244.1,7,null,391898871.47,391898871.47,null,1) Gas means any hydrocarbons or mixture of hydrocarbons and other gases consisting primarily of methane  which at (15) Degree Celsius atmospheric pressure are or is predominantly in gaseous state.,2)Please pay the invoiced amount by wire transfer at our Bank Account : Standard Chartered Bank (Ahmedabad Branch) - A/C No: 233-0-505333-1,Y,22,16/06/2011 00:00:00,null,null,null,Y,5,16/06/2011 00:00:00,6,16/06/2011 00:00:00,D,null,null,NA,null,null,12,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
RIL,1,2011-2012,2,0,27,1,S,1,null,0,2,29,14,null,20/06/2011 00:00:00,0,16/06/2011 00:00:00,19/06/2011 00:00:00,24/06/2011 00:00:00,179870.58,13.67,2,2458830.83,SBI RATE BUY SELL,17/06/2011 00:00:00,44.845,1,110266268.51,16539940.27,7,null,126806208.78,126806208.78,null,1) Gas means any hydrocarbons or mixture of hydrocarbons and other gases consisting primarily of methane  which at (15) Degree Celsius atmospheric pressure are or is predominantly in gaseous state.,2) Please pay the invoiced amount by wire transfer at our Bank Account : Standard Chartered Bank (Ahmedabad Branch) - A/C No: 233-0-505333-1,null,null,null,null,null,null,null,null,null,6,29/06/2011 00:00:00,D,null,null,NA,null,null,14,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
RIL,1,2011-2012,2,0,27,1,S,1,null,0,3,30,11,null,31/05/2011 00:00:00,2,16/05/2011 00:00:00,31/05/2011 00:00:00,06/06/2011 00:00:00,20007.37,13.67,2,273500.75,SBI RATE BUY SELL,31/05/2011 00:00:00,44.985,1,12303431.14,1845514.67,7,null,14148945.81,14148945.81,null,Please pay the invoiced amount by wire transfer at our Bank Account : Standard Chartered Bank (Ahmedabad Branch) - A/C No: 233-0-505333-1,Subject to the terms and conditions of the Framework Sales Agreement executed on 24th April 2009 and Supply Notice executed on 12th May 2011between Hazira LNG Private Limited and Reliance Industries Limited,Y,5,01/06/2011 00:00:00,null,null,null,Y,13,01/06/2011 00:00:00,6,01/06/2011 00:00:00,D,null,null,NA,null,null,11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
RIL,1,2011-2012,2,0,27,1,S,1,null,0,3,30,13,null,16/06/2011 00:00:00,1,01/06/2011 00:00:00,15/06/2011 00:00:00,21/06/2011 00:00:00,1576504.51,13.67,2,21550816.65,SBI RATE BUY SELL,15/06/2011 00:00:00,44.705,1,963429258.41,144514388.76,7,null,1107943647.17,1107943647.17,null,1) Gas means any hydrocarbons or mixture of hydrocarbons and other gases consisting primarily of methane  which at (15) Degree Celsius atmospheric pressure are or is predominantly in gaseous state.,2) Please pay the invoiced amount by wire transfer at our Bank Account : Standard Chartered Bank (Ahmedabad Branch) - A/C No: 233-0-505333-1,Y,22,16/06/2011 00:00:00,null,null,null,Y,5,16/06/2011 00:00:00,6,16/06/2011 00:00:00,D,null,null,NA,null,null,13,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
RIL,1,2011-2012,2,0,27,1,S,1,null,0,3,30,15,null,20/06/2011 00:00:00,0,16/06/2011 00:00:00,19/06/2011 00:00:00,24/06/2011 00:00:00,516560.67,13.67,2,7061384.36,SBI RATE BUY SELL,17/06/2011 00:00:00,44.845,1,316667781.57,47500167.24,7,null,364167948.81,364167948.81,null,Gas means any hydrocarbons or mixture of hydrocarbons and other gases consisting primarily of methane  which at (15) Degree Celsius atmospheric pressure are or is predominantly in gaseous state.,Please pay the invoiced amount by wire transfer at our Bank Account : Standard Chartered Bank (Ahmedabad Branch) - A/C No: 233-0-505333-1,null,null,null,null,null,null,null,null,null,6,29/06/2011 00:00:00,D,null,null,NA,null,null,15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
RIL,1,2011-2012,2,0,28,1,S,1,null,0,2,29,16,null,16/07/2011 00:00:00,1,01/07/2011 00:00:00,15/07/2011 00:00:00,21/07/2011 00:00:00,277642.45,13.92,2,3864782.9,SBI RATE BUY SELL,15/07/2011 00:00:00,44.495,1,171963515.31,25794527.29,7,null,197758042.6,197758042.6,null,1) Gas means any hydrocarbons or mixture of hydrocarbons and other gases consisting primarily of methane  which at (15) Degree Celsius atmospheric pressure are or is predominantly in gaseous state.,2) Please pay the invoiced amount by wire transfer at our Bank Account : Standard Chartered Bank (Ahmedabad Branch) - A/C No: 233-0-505333-1,Y,22,16/07/2011 00:00:00,null,null,null,Y,13,16/07/2011 00:00:00,6,16/07/2011 00:00:00,D,null,null,NA,null,null,16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
RIL,1,2011-2012,2,0,28,1,S,1,null,0,2,29,19,null,31/07/2011 00:00:00,0,16/07/2011 00:00:00,19/07/2011 00:00:00,05/08/2011 00:00:00,280890.81,13.92,2,3910000.08,SBI RATE BUY SELL,29/07/2011 00:00:00,44.09,1,172391903.32,25858785.49,7,null,198250688.81,198250688.81,null,1) Gas means any hydrocarbons or mixture of hydrocarbons and other gases consisting primarily of methane  which at (15) Degree Celsius atmospheric pressure are or is predominantly in gaseous state. ,2) Please pay the invoiced amount by wire transfer at our Bank Account : Standard Chartered Bank (Ahmedabad Branch) - A/C No: 233-0-505333-1,Y,22,01/08/2011 00:00:00,null,null,null,Y,13,01/08/2011 00:00:00,6,01/08/2011 00:00:00,D,null,null,NA,null,null,19,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
