COMPANY_CD,FINANCIAL_YEAR,BU_STATE_TIN,INVOICE_SEQ,PDF_TYPE,FILE_NAME,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT,PDF_SIGNED,SIGNED_BY,SIGNED_DT,SIGNED_ENT_BY,PDF_CONTENT,SF_GEN_DT
RIL@S,2011-2012,1@null,null,O,INVOICE-15042011-RIL-Hazira-S-1.pdf,null,null,null,null,null,null,null,null,null,null
RIL@O,2017-2018,212@00021/17-18,00021/17-18,O,INVOICE-19072017-RIL-Hazira Manufacturing Division-C-212.pdf,23,01/08/2017 00:00:00,null,null,null,null,null,null,null,null
RIL@O,2017-2018,212@00021/17-18,00021/17-18,D,INVOICE-19072017-RIL-Hazira Manufacturing Division-C-212.pdf,23,01/08/2017 00:00:00,null,null,null,null,null,null,null,null
RIL@O,2014-2015,96@null,null,O,INVOICE-26032015-RIL-Patalganga-C-96.pdf,null,null,null,null,null,null,null,null,null,null
RIL@O,2014-2015,96@null,null,T,INVOICE-26032015-RIL-Patalganga-C-96.pdf,null,null,null,null,null,null,null,null,null,null
RIL@O,2014-2015,96@null,null,D,INVOICE-26032015-RIL-Patalganga-C-96.pdf,null,null,null,null,null,null,null,null,null,null
RIL@O,2014-2015,97@null,null,T,INVOICE-26032015-RIL-Naroda-C-97.pdf,null,null,null,null,null,null,null,null,null,null
RIL@O,2014-2015,97@null,null,D,INVOICE-26032015-RIL-Naroda-C-97.pdf,null,null,null,null,null,null,null,null,null,null
RIL@O,2014-2015,97@null,null,O,INVOICE-26032015-RIL-Naroda-C-97.pdf,null,null,null,null,null,null,null,null,null,null
RIL@O,2014-2015,98@null,null,O,INVOICE-26032015-RIL-Nagothane-C-98.pdf,null,null,null,null,null,null,null,null,null,null
RIL@O,2014-2015,98@null,null,T,INVOICE-26032015-RIL-Nagothane-C-98.pdf,null,null,null,null,null,null,null,null,null,null
RIL@O,2014-2015,98@null,null,D,INVOICE-26032015-RIL-Nagothane-C-98.pdf,null,null,null,null,null,null,null,null,null,null
RIL@O,2014-2015,99@null,null,T,INVOICE-26032015-RIL-Gandhar-C-99.pdf,null,null,null,null,null,null,null,null,null,null
RIL@O,2014-2015,99@null,null,O,INVOICE-26032015-RIL-Gandhar-C-99.pdf,null,null,null,null,null,null,null,null,null,null
RIL@O,2014-2015,99@null,null,D,INVOICE-26032015-RIL-Gandhar-C-99.pdf,null,null,null,null,null,null,null,null,null,null
RIL@O,2014-2015,100@null,null,T,INVOICE-31032015-RIL-Hazira-C-100.pdf,null,null,null,null,null,null,null,null,null,null
RIL@O,2014-2015,100@null,null,D,INVOICE-31032015-RIL-Hazira-C-100.pdf,null,null,null,null,null,null,null,null,null,null
RIL@O,2014-2015,100@null,null,O,INVOICE-31032015-RIL-Hazira-C-100.pdf,null,null,null,null,null,null,null,null,null,null
RIL@O,2014-2015,101@null,null,T,INVOICE-31032015-RIL-Jamnagar-C-101.pdf,null,null,null,null,null,null,null,null,null,null
RIL@O,2014-2015,101@null,null,O,INVOICE-31032015-RIL-Jamnagar-C-101.pdf,null,null,null,null,null,null,null,null,null,null
RIL@O,2014-2015,101@null,null,D,INVOICE-31032015-RIL-Jamnagar-C-101.pdf,null,null,null,null,null,null,null,null,null,null
RIL@O,2014-2015,102@null,null,D,INVOICE-31032015-RIL-Vadodara-C-102.pdf,null,null,null,null,null,null,null,null,null,null
RIL@O,2014-2015,102@null,null,O,INVOICE-31032015-RIL-Vadodara-C-102.pdf,null,null,null,null,null,null,null,null,null,null
RIL@O,2014-2015,102@null,null,T,INVOICE-31032015-RIL-Vadodara-C-102.pdf,null,null,null,null,null,null,null,null,null,null
RIL@O,2014-2015,103@null,null,T,INVOICE-31032015-RIL-RCP-C-103.pdf,null,null,null,null,null,null,null,null,null,null
RIL@O,2014-2015,103@null,null,O,INVOICE-31032015-RIL-RCP-C-103.pdf,null,null,null,null,null,null,null,null,null,null
