COMPANY_CD,BU_STATE_TIN,INVOICE_SEQ,FINANCIAL_YEAR,PDF_TYPE,FILE_NAME,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT,PDF_SIGNED,SIGNED_BY,SIGNED_DT,SIGNED_ENT_BY,PDF_CONTENT,SF_GEN_DT,EMAIL_SENT,EMAIL_SENT_BY,EMAIL_SENT_DT
HPCL,2021-2022,11,I0011/21-22,O,LATEPAY_INVOICE-17062021-HPCL-HPCL_Mumbai_Refinery-I-11-O.pdf,49,17/06/2021 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,17/06/2021 00:00:00,null,null,null,Y,null,17/06/2021 00:00:00
HPCL,2021-2022,11,I0011/21-22,D,LATEPAY_INVOICE-17062021-HPCL-HPCL_Mumbai_Refinery-I-11-D.pdf,49,17/06/2021 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,17/06/2021 00:00:00,null,null,null,Y,null,17/06/2021 00:00:00
HPCL,2021-2022,11,I0011/21-22,T,LATEPAY_INVOICE-17062021-HPCL-HPCL_Mumbai_Refinery-I-11-T.pdf,49,17/06/2021 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,17/06/2021 00:00:00,null,null,null,Y,null,17/06/2021 00:00:00
AMNS,2021-2022,144,L00144/21-22,O,LATEPAY_INVOICE-16082021-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-144-O.pdf,49,16/08/2021 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,16/08/2021 00:00:00,null,null,null,Y,null,16/08/2021 00:00:00
AMNS,2021-2022,144,L00144/21-22,D,LATEPAY_INVOICE-16082021-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-144-D.pdf,49,16/08/2021 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,16/08/2021 00:00:00,null,null,null,null,null,null
AMNS,2021-2022,144,L00144/21-22,T,LATEPAY_INVOICE-16082021-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-144-T.pdf,49,16/08/2021 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,16/08/2021 00:00:00,null,null,null,null,null,null
AMNS,2021-2022,144,L00144/21-22,O,INVOICE-16082021-AMNS-AMNS_HAZ-M-144-O.pdf,49,16/08/2021 00:00:00,null,null,null,null,null,null,null,null,null,null,null
AMNS,2020-2021,331,L00331/20-21,O,INVOICE-08102020-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-331-O.pdf,23,10/10/2020 00:00:00,null,null,null,null,null,null,null,null,null,null,null
AMNS,2020-2021,331,L00331/20-21,D,INVOICE-08102020-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-331-D.pdf,23,10/10/2020 00:00:00,null,null,null,null,null,null,null,null,null,null,null
AMNS,2020-2021,332,L00332/20-21,O,LATEPAY_INVOICE-08102020-AMNS-AMNS-M-332-O.pdf,23,10/10/2020 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,28/09/2023 00:00:00,null,null,null,null,null,null
AMNS,2020-2021,332,L00332/20-21,O,INVOICE-08102020-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-332-O.pdf,23,10/10/2020 00:00:00,null,null,null,null,null,null,null,null,null,null,null
AMNS,2020-2021,332,L00332/20-21,D,INVOICE-08102020-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-332-D.pdf,23,10/10/2020 00:00:00,null,null,null,null,null,null,null,null,null,null,null
AMNS,2020-2021,333,L00333/20-21,O,INVOICE-08102020-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-333-O.pdf,23,10/10/2020 00:00:00,null,null,null,null,null,null,null,null,null,null,null
AMNS,2020-2021,333,L00333/20-21,D,INVOICE-08102020-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-333-D.pdf,23,10/10/2020 00:00:00,null,null,null,null,null,null,null,null,null,null,null
AMNS,2021-2022,206,L00206/21-22,O,LATEPAY_INVOICE-07012022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-206-O.pdf,23,07/01/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,07/01/2022 00:00:00,null,null,null,Y,null,07/01/2022 00:00:00
AMNS,2021-2022,206,L00206/21-22,D,LATEPAY_INVOICE-07012022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-206-D.pdf,23,07/01/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,07/01/2022 00:00:00,null,null,null,Y,null,07/01/2022 00:00:00
AMNS,2021-2022,206,L00206/21-22,T,LATEPAY_INVOICE-07012022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-206-T.pdf,23,07/01/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,07/01/2022 00:00:00,null,null,null,Y,null,07/01/2022 00:00:00
AMNS,2020-2021,334,L00334/20-21,O,INVOICE-08102020-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-334-O.pdf,23,10/10/2020 00:00:00,null,null,null,null,null,null,null,null,null,null,null
AMNS,2020-2021,334,L00334/20-21,D,INVOICE-08102020-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-334-D.pdf,23,10/10/2020 00:00:00,null,null,null,null,null,null,null,null,null,null,null
AMNS,2021-2022,205,L00205/21-22,O,LATEPAY_INVOICE-07012022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-205-O.pdf,23,07/01/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,07/01/2022 00:00:00,null,null,null,Y,null,07/01/2022 00:00:00
AMNS,2021-2022,205,L00205/21-22,D,LATEPAY_INVOICE-07012022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-205-D.pdf,23,07/01/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,07/01/2022 00:00:00,null,null,null,Y,null,07/01/2022 00:00:00
AMNS,2021-2022,205,L00205/21-22,T,LATEPAY_INVOICE-07012022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-205-T.pdf,23,07/01/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,07/01/2022 00:00:00,null,null,null,Y,null,07/01/2022 00:00:00
AMNS,2021-2022,205,L00205/21-22,O,INVOICE-07012022-AMNS-AMNS_HAZ-M-205-O.pdf,23,07/01/2022 00:00:00,null,null,null,null,null,null,null,null,null,null,null
AMNS,2021-2022,203,L00203/21-22,O,LATEPAY_INVOICE-29122021-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-203-O.pdf,23,29/12/2021 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,29/12/2021 00:00:00,null,null,null,Y,null,29/12/2021 00:00:00
AMNS,2021-2022,203,L00203/21-22,D,LATEPAY_INVOICE-29122021-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-203-D.pdf,23,29/12/2021 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,29/12/2021 00:00:00,null,null,null,Y,null,29/12/2021 00:00:00
AMNS,2021-2022,203,L00203/21-22,T,LATEPAY_INVOICE-29122021-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-203-T.pdf,23,29/12/2021 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,29/12/2021 00:00:00,null,null,null,Y,null,29/12/2021 00:00:00
AMNS,2021-2022,211,L00211/21-22,O,LATEPAY_INVOICE-13012022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-211-O.pdf,23,13/01/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,13/01/2022 00:00:00,null,null,null,Y,null,13/01/2022 00:00:00
AMNS,2021-2022,211,L00211/21-22,D,LATEPAY_INVOICE-13012022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-211-D.pdf,23,13/01/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,13/01/2022 00:00:00,null,null,null,Y,null,13/01/2022 00:00:00
AMNS,2021-2022,211,L00211/21-22,T,LATEPAY_INVOICE-13012022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-211-T.pdf,23,13/01/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,13/01/2022 00:00:00,null,null,null,Y,null,13/01/2022 00:00:00
AMNS,2021-2022,211,L00211/21-22,O,INVOICE-13012022-AMNS-AMNS_HAZ-M-211-O.pdf,23,13/01/2022 00:00:00,null,null,null,null,null,null,null,null,null,null,null
AMNS,2021-2022,213,L00213/21-22,D,LATEPAY_INVOICE-21012022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-213-D.pdf,6,21/01/2022 00:00:00,null,null,Y,ROHIT MALHOTRA,21/01/2022 00:00:00,null,null,null,Y,null,21/01/2022 00:00:00
AMNS,2021-2022,213,L00213/21-22,T,LATEPAY_INVOICE-21012022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-213-T.pdf,113,21/01/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,27/01/2022 00:00:00,null,null,null,null,null,null
AMNS,2021-2022,213,L00213/21-22,O,LATEPAY_INVOICE-21012022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-213-O.pdf,6,21/01/2022 00:00:00,null,null,Y,ROHIT MALHOTRA,21/01/2022 00:00:00,null,null,null,Y,null,21/01/2022 00:00:00
AMNS,2021-2022,217,L00217/21-22,O,LATEPAY_INVOICE-27012022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-217-O.pdf,49,27/01/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,27/01/2022 00:00:00,null,null,null,Y,null,27/01/2022 00:00:00
AMNS,2021-2022,217,L00217/21-22,D,LATEPAY_INVOICE-27012022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-217-D.pdf,49,27/01/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,27/01/2022 00:00:00,null,null,null,Y,null,27/01/2022 00:00:00
