COMPANY_CD,INVOICE_SEQ,INVOICE_TYPE,FINANCIAL_YEAR,PDF_TYPE,FILE_NAME,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT,PDF_SIGNED,SIGNED_BY,SIGNED_DT,PDF_CONTENT,SF_GEN_DT,SIGNED_ENT_BY,SUPPLIER_CD
2,00001/2017-18/P,HSA,2017-2018,D,INVOICE-1-2017-2018-1-2-D.pdf,null,30/08/2017,null,null,null,null,null,null,null,null,1
2,00001/2017-18/P,HSA,2017-2018,O,INVOICE-1-2017-2018-1-2-O.pdf,null,30/08/2017,null,null,null,null,null,null,null,null,1
2,00001/2018-19/P,HSA,2018-2019,D,INVOICE-1-2018-2019-1-2-D.pdf,null,04/04/2018,null,null,null,null,null,null,null,null,1
2,00001/2018-19/P,HSA,2018-2019,O,INVOICE-1-2018-2019-1-2-O.pdf,null,04/04/2018,null,null,null,null,null,null,null,null,1
2,00001/2019-20/P,HSA,2019-2020,D,INVOICE-1-2019-2020-1-2-D.pdf,null,29/03/2019,null,null,null,null,null,null,null,null,1
2,00001/2019-20/P,HSA,2019-2020,O,INVOICE-1-2019-2020-1-2-O.pdf,null,29/03/2019,null,null,null,null,null,null,null,null,1
2,00002/2017-18/P,HSA,2017-2018,D,INVOICE-1-2017-2018-2-2-D.pdf,null,30/08/2017,null,null,null,null,null,null,null,null,1
2,00002/2017-18/P,HSA,2017-2018,O,INVOICE-1-2017-2018-2-2-O.pdf,null,30/08/2017,null,null,null,null,null,null,null,null,1
2,00002/2018-19/P,HSA,2018-2019,D,INVOICE-1-2018-2019-2-2-D.pdf,null,12/04/2018,null,null,null,null,null,null,null,null,1
2,00002/2018-19/P,HSA,2018-2019,O,INVOICE-1-2018-2019-2-2-O.pdf,null,12/04/2018,null,null,null,null,null,null,null,null,1
2,00002/2019-20/P,HSA,2019-2020,D,INVOICE-1-2019-2020-2-2-D.pdf,null,29/03/2019,null,null,null,null,null,null,null,null,1
2,00002/2019-20/P,HSA,2019-2020,O,INVOICE-1-2019-2020-2-2-O.pdf,null,29/03/2019,null,null,null,null,null,null,null,null,1
2,00003/2017-18/P,HSA,2017-2018,D,INVOICE-1-2017-2018-3-2-D.pdf,null,30/08/2017,null,null,null,null,null,null,null,null,1
2,00003/2017-18/P,HSA,2017-2018,O,INVOICE-1-2017-2018-3-2-O.pdf,null,30/08/2017,null,null,null,null,null,null,null,null,1
2,00003/2018-19/P,HSA,2018-2019,D,INVOICE-1-2018-2019-3-2-D.pdf,null,12/04/2018,null,null,null,null,null,null,null,null,1
2,00003/2018-19/P,HSA,2018-2019,O,INVOICE-1-2018-2019-3-2-O.pdf,null,12/04/2018,null,null,null,null,null,null,null,null,1
2,00003/2019-20/P,HSA,2019-2020,D,INVOICE-1-2019-2020-3-2-D.pdf,null,04/04/2019,null,null,null,null,null,null,null,null,1
2,00003/2019-20/P,HSA,2019-2020,O,INVOICE-1-2019-2020-3-2-O.pdf,null,04/04/2019,null,null,null,null,null,null,null,null,1
2,00004/2017-18/P,HSA,2017-2018,D,INVOICE-1-2017-2018-4-2-D.pdf,null,30/08/2017,null,null,null,null,null,null,null,null,1
2,00004/2017-18/P,HSA,2017-2018,O,INVOICE-1-2017-2018-4-2-O.pdf,null,30/08/2017,null,null,null,null,null,null,null,null,1
2,00004/2018-19/P,HSA,2018-2019,D,INVOICE-1-2018-2019-4-2-D.pdf,null,23/04/2018,null,null,null,null,null,null,null,null,1
2,00004/2018-19/P,HSA,2018-2019,O,INVOICE-1-2018-2019-4-2-O.pdf,null,23/04/2018,null,null,null,null,null,null,null,null,1
2,00004/2019-20/P,HSA,2019-2020,D,INVOICE-1-2019-2020-4-2-D.pdf,null,08/04/2019,null,null,null,null,null,null,null,null,1
2,00004/2019-20/P,HSA,2019-2020,O,INVOICE-1-2019-2020-4-2-O.pdf,null,08/04/2019,null,null,null,null,null,null,null,null,1
2,00005/2017-18/P,HS,2017-2018,D,INVOICE-2-2017-2018-5-2-D.pdf,null,30/08/2017,null,null,null,null,null,null,null,null,1
2,00005/2017-18/P,HS,2017-2018,O,INVOICE-2-2017-2018-5-2-O.pdf,null,30/08/2017,null,null,null,null,null,null,null,null,1
2,00005/2018-19/P,HS,2018-2019,D,INVOICE-2-2018-2019-5-2-D.pdf,null,01/05/2018,null,null,null,null,null,null,null,null,1
2,00005/2018-19/P,HS,2018-2019,O,INVOICE-2-2018-2019-5-2-O.pdf,null,01/05/2018,null,null,null,null,null,null,null,null,1
2,00005/2019-20/P,HSA,2019-2020,D,INVOICE-1-2019-2020-5-2-D.pdf,null,11/04/2019,null,null,null,null,null,null,null,null,1
2,00005/2019-20/P,HSA,2019-2020,O,INVOICE-1-2019-2020-5-2-O.pdf,null,11/04/2019,null,null,null,null,null,null,null,null,1
2,00006/2017-18/P,HSA,2017-2018,D,INVOICE-1-2017-2018-6-2-D.pdf,null,30/08/2017,null,null,null,null,null,null,null,null,1
2,00006/2017-18/P,HSA,2017-2018,O,INVOICE-1-2017-2018-6-2-O.pdf,null,30/08/2017,null,null,null,null,null,null,null,null,1
2,00006/2018-19/P,HS,2018-2019,D,INVOICE-2-2018-2019-6-2-D.pdf,null,01/05/2018,null,null,null,null,null,null,null,null,1
2,00006/2018-19/P,HS,2018-2019,O,INVOICE-2-2018-2019-6-2-O.pdf,null,01/05/2018,null,null,null,null,null,null,null,null,1
2,00006/2019-20/P,HSA,2019-2020,D,INVOICE-1-2019-2020-6-2-D.pdf,null,22/04/2019,null,null,null,null,null,null,null,null,1
2,00006/2019-20/P,HSA,2019-2020,O,INVOICE-1-2019-2020-6-2-O.pdf,null,22/04/2019,null,null,null,null,null,null,null,null,1
2,00007/2017-18/P,HSA,2017-2018,D,INVOICE-1-2017-2018-7-2-D.pdf,null,30/08/2017,null,null,null,null,null,null,null,null,1
2,00007/2017-18/P,HSA,2017-2018,O,INVOICE-1-2017-2018-7-2-O.pdf,null,30/08/2017,null,null,null,null,null,null,null,null,1
2,00007/2018-19/P,HSA,2018-2019,D,INVOICE-1-2018-2019-7-2-D.pdf,null,01/05/2018,null,null,null,null,null,null,null,null,1
2,00007/2018-19/P,HSA,2018-2019,O,INVOICE-1-2018-2019-7-2-O.pdf,null,01/05/2018,null,null,null,null,null,null,null,null,1
2,00007/2019-20/P,HSA,2019-2020,D,INVOICE-1-2019-2020-7-2-D.pdf,null,22/04/2019,null,null,null,null,null,null,null,null,1
2,00007/2019-20/P,HSA,2019-2020,O,INVOICE-1-2019-2020-7-2-O.pdf,null,22/04/2019,null,null,null,null,null,null,null,null,1
2,00008/2017-18/P,HSA,2017-2018,D,INVOICE-1-2017-2018-8-2-D.pdf,null,30/08/2017,null,null,null,null,null,null,null,null,1
2,00008/2017-18/P,HSA,2017-2018,O,INVOICE-1-2017-2018-8-2-O.pdf,null,30/08/2017,null,null,null,null,null,null,null,null,1
2,00008/2018-19/P,HSA,2018-2019,D,INVOICE-1-2018-2019-8-2-D.pdf,null,01/05/2018,null,null,null,null,null,null,null,null,1
2,00008/2018-19/P,HSA,2018-2019,O,INVOICE-1-2018-2019-8-2-O.pdf,null,01/05/2018,null,null,null,null,null,null,null,null,1
2,00008/2019-20/P,HS,2019-2020,D,INVOICE-2-2019-2020-8-2-D.pdf,null,07/05/2019,null,null,null,null,null,null,null,null,1
2,00008/2019-20/P,HS,2019-2020,O,INVOICE-2-2019-2020-8-2-O.pdf,null,07/05/2019,null,null,null,null,null,null,null,null,1
2,00009/2017-18/P,HSA,2017-2018,D,INVOICE-1-2017-2018-9-2-D.pdf,null,30/08/2017,null,null,null,null,null,null,null,null,1
2,00009/2017-18/P,HSA,2017-2018,O,INVOICE-1-2017-2018-9-2-O.pdf,null,30/08/2017,null,null,null,null,null,null,null,null,1
2,00009/2018-19/P,HSA,2018-2019,D,INVOICE-1-2018-2019-9-2-D.pdf,null,07/05/2018,null,null,null,null,null,null,null,null,1
