COMPANY_CD,FINANCIAL_YEAR,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,BU_UNIT,PLANT_SEQ,INVOICE_NO,INVOICE_SEQ,INVOICE_ID_SEQ,DR_CR_REF_NO,DR_CR_NO,CRITERIA,DR_CR_FLAG,DR_CR_SEQ,ITEM_DESCRIPTION,LINE_SEQ,ITEM_CD,ITEM_EFF_DT,ITEM_AMT,ITEM_DIFF_AMT,ITEM_DIFF_VALUE
RIL,2021-2022,C-1-8-6-0,8,0,6,0,O,1,9,L00036/21-22,36,36,C0002/21-22,C0002/21-22,10,CR,null,null,1,10,null,null,null,null
RIL,2019-2020,L-1-1-0,1,0,1,0,L,1,15,0115/19-20,115,115,D018/19-20,D018/19-20,1,DR,null,null,1,1,null,71.325,71.925,-0.6000
RIL,2016-2017,C-1-3-3-0,3,0,3,0,O,1,2,0001@2016-2017,1,1,null,null,1,DR,null,null,1,1,null,66.375,66.555,-0.1800
RIL,2016-2017,C-1-3-24-0,3,0,24,0,O,1,2,0228@2016-2017,228,228,0001/16-17,0001/16-17,10,CR,null,null,1,10,null,null,null,null
RIL,2016-2017,C-1-3-24-0,3,0,24,0,O,1,3,0229@2016-2017,229,229,0002/16-17,0002/16-17,10,CR,null,null,1,10,null,null,null,null
RIL,2016-2017,C-1-3-24-0,3,0,24,0,O,1,5,0230@2016-2017,230,230,0003/16-17,0003/16-17,10,CR,null,null,1,10,null,null,null,null
RIL,2016-2017,C-1-3-24-0,3,0,24,0,O,1,9,0239@2016-2017,239,239,0004/16-17,0004/16-17,10,CR,null,null,1,10,null,null,null,null
RIL,2017-2018,C-1-4-15-0,4,0,15,0,O,1,2,0137@2017-2018,137,137,0003/17-18,0003/17-18,10,CR,null,null,1,10,null,null,null,null
RIL,2017-2018,C-1-4-16-0,4,0,16,0,O,1,2,0145@2017-2018,145,145,0004/17-18,0004/17-18,10,CR,null,null,1,10,null,null,null,null
RIL,2020-2021,C-1-8-2-0,8,0,2,0,O,1,1,L00528/20-21,528,528,C0005/20-21,C0005/20-21,10,CR,null,null,1,10,null,null,null,null
MGL,2020-2021,25,6,0,6,0,S,1,1,S0363/20-21,363,363,D002/21-22,D002/21-22,10,DR,null,null,1,10,null,null,null,null
MGL,2024-2025,33Tranche1,6,0,16,2,S,2,2,SMH0039/24-25,39,39,DMH014/24-25,DMH014/24-25,1,DR,null,null,1,1,null,83.565,83.66,-0.0950
MGL,2024-2025,33Tranche1,6,0,16,2,S,2,2,SMH0043/24-25,43,43,DMH015/24-25,DMH015/24-25,1,DR,null,null,1,1,null,83.745,83.81,-0.0650
GSPCL,2018-2019,C-3-12018-12-0,12018,0,12,0,O,1,1,00472/18-19,472,472,C006/18-19,C006/18-19,1,CR,null,null,1,1,null,70.215,69.915,0.3000
GSPCL,2019-2020,117,1,0,105,3,S,1,1,0095/19-20,95,95,D006/19-20,D006/19-20,1,DR,null,null,1,1,null,71.425,71.485,-0.0600
Gail,2023-2024,C-4-10722-21-0,10722,0,21,0,O,1,1,L00025/23-24,25,25,C0003/23-24,C0003/23-24,2,CR,null,null,1,2,null,.76,.75,0.0100
Gail,2019-2020,22,2,0,1,1,S,1,1,0024/19-20,24,24,C002/19-20,C002/19-20,10,CR,null,null,1,10,null,null,null,null
Gail,2019-2020,24,2,1,3,1,S,1,1,0096/19-20,96,96,D007/19-20,D007/19-20,1,DR,null,null,1,1,null,71.425,71.485,-0.0600
