COMPANY_CD,COUNTERPARTY_CD,SEQ_NO,SEQ_REV_NO,GX,FILE_TYPE,SEC_INT_REF,FILE_NAME,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT,PDF_SIGNED,SIGNED_BY,SIGNED_DT,SIGNED_ENT_BY,PDF_CONTENT
RIL@O,2020-2021,C-1-1-7-0,A001/20-21,K,PDF,A001/20-21,ADVANCE_ADVINVOICE-22042020-RIL-Gujarat DTA Petchem Sites -C-1-O.pdf,23,22/04/2020 00:00:00,null,null,Y,ASHWANI KUMAR DUDEJA,22/04/2020 00:00:00,null,null
GSPCL@Q,2019-2020,A-3-5-60519-0,A005/2019-20,K,PDF,A005/2019-20,ADVINVOICE-12072019-GSPCL-GSPCL-C-5-O.pdf,23,12/07/2019 00:00:00,null,null,null,null,null,null,null
AMNS@Q,2019-2020,A-33-10-11019-0,A002/2019-20,K,PDF,A002/2019-20,ADVANCE_ADVINVOICE-06052019-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-C-2-O.pdf,23,22/05/2020 00:00:00,null,null,Y,ASHWANI KUMAR DUDEJA,28/05/2020 00:00:00,null,null
AMNS@Q,2019-2020,A-33-12-11219-0,A004/2019-20,K,PDF,A004/2019-20,ADVANCE_ADVINVOICE-09072019-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-C-4-O.pdf,23,09/07/2019 00:00:00,null,null,Y,ASHWANI KUMAR DUDEJA,28/05/2020 00:00:00,null,null
AMNS@Q,2019-2020,A-33-14-11419-0,A006/2019-20,K,PDF,A006/2019-20,ADVANCE_ADVINVOICE-20082019-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-C-6-O.pdf,23,22/08/2019 00:00:00,null,null,Y,ASHWANI KUMAR DUDEJA,28/05/2020 00:00:00,null,null
AMNS@Q,2019-2020,A-33-15-11519-0,A007/2019-20,K,PDF,A007/2019-20,ADVANCE_ADVINVOICE-11092019-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-C-7-O.pdf,23,11/09/2019 00:00:00,null,null,Y,ASHWANI KUMAR DUDEJA,28/05/2020 00:00:00,null,null
AMNS@Q,2019-2020,A-33-15-11519-0,A008/2019-20,K,PDF,A008/2019-20,ADVANCE_ADVINVOICE-04102019-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-C-8-O.pdf,36,25/10/2019 00:00:00,null,null,Y,ASHWANI KUMAR DUDEJA,28/05/2020 00:00:00,null,null
AMNS@Q,2019-2020,A-33-16-11619-0,A009/2019-20,K,PDF,A009/2019-20,ADVANCE_ADVINVOICE-08112019-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-C-9-O.pdf,23,08/11/2019 00:00:00,null,null,Y,ASHWANI KUMAR DUDEJA,28/05/2020 00:00:00,null,null
AMNS@Q,2019-2020,A-33-16-11619-0,A010/2019-20,K,PDF,A010/2019-20,ADVANCE_ADVINVOICE-15122019-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-C-10-O.pdf,23,17/12/2019 00:00:00,null,null,Y,ASHWANI KUMAR DUDEJA,28/05/2020 00:00:00,null,null
AMNS@Q,2020-2021,A-33-17-11719-0,A002/20-21,K,PDF,A002/20-21,ADVINVOICE-06052020-AMNS-AMNS HAZ-C-2-O.pdf,23,08/05/2020 00:00:00,null,null,null,null,null,null,null
AMNS@Q,2020-2021,A-33-17-11719-0,A002/20-21,K,PDF,A002/20-21,ADVANCE_ADVINVOICE-06052020-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-C-2-O.pdf,23,08/05/2020 00:00:00,null,null,Y,ASHWANI KUMAR DUDEJA,08/05/2020 00:00:00,null,null
AMNS@Q,2020-2021,A-33-17-11719-0,A003/20-21,K,PDF,A003/20-21,ADVANCE_ADVINVOICE-28052020-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-C-3-O.pdf,23,28/05/2020 00:00:00,null,null,Y,ASHWANI KUMAR DUDEJA,28/05/2020 00:00:00,null,null
AMNS@Q,2020-2021,A-33-17-11719-0,A004/20-21,K,PDF,A004/20-21,ADVANCE_ADVINVOICE-19062020-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-C-4-O.pdf,23,19/06/2020 00:00:00,null,null,Y,ASHWANI KUMAR DUDEJA,19/06/2020 00:00:00,null,null
AMNS@Q,2020-2021,A-33-17-11719-0,A005/20-21,K,PDF,A005/20-21,ADVANCE_ADVINVOICE-07072020-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-C-5-O.pdf,23,07/07/2020 00:00:00,null,null,Y,ASHWANI KUMAR DUDEJA,07/07/2020 00:00:00,null,null
AMNS@Q,2020-2021,A-33-17-11719-0,A006/20-21,K,PDF,A006/20-21,ADVANCE_ADVINVOICE-01082020-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-C-6-O.pdf,23,13/08/2020 00:00:00,null,null,Y,ASHWANI KUMAR DUDEJA,13/08/2020 00:00:00,null,null
AMNS@Q,2020-2021,A-33-17-11719-0,A007/20-21,K,PDF,A007/20-21,ADVANCE_ADVINVOICE-26082020-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-C-7-O.pdf,23,26/08/2020 00:00:00,null,null,Y,ASHWANI KUMAR DUDEJA,26/08/2020 00:00:00,null,null
AMNS@Q,2020-2021,A-33-17-11719-0,A008/20-21,K,PDF,A008/20-21,ADVANCE_ADVINVOICE-31082020-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-C-8-O.pdf,23,01/09/2020 00:00:00,null,null,Y,ROHIT MALHOTRA,01/09/2020 00:00:00,null,null
AMNS@Q,2020-2021,A-33-17-11719-0,A009/20-21,K,PDF,A009/20-21,ADVANCE_ADVINVOICE-21092020-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-C-9-O.pdf,48,21/09/2020 00:00:00,null,null,Y,ROHIT MALHOTRA,21/09/2020 00:00:00,null,null
AMNS@Q,2020-2021,A-33-17-11719-0,A010/20-21,K,PDF,A010/20-21,ADVANCE_ADVINVOICE-12102020-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-C-10-O.pdf,23,12/10/2020 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,12/10/2020 00:00:00,null,null
AMNS@Q,2019-2020,A-33-17-11719-0,A011/2019-20,K,PDF,A011/2019-20,ADVANCE_ADVINVOICE-31122019-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-C-11-O.pdf,23,02/01/2020 00:00:00,null,null,Y,ASHWANI KUMAR DUDEJA,28/05/2020 00:00:00,null,null
AMNS@Q,2020-2021,A-33-17-11719-0,A011/20-21,K,PDF,A011/20-21,ADVANCE_ADVINVOICE-31102020-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-C-11-O.pdf,23,03/11/2020 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,03/11/2020 00:00:00,null,null
AMNS@Q,2019-2020,A-33-17-11719-0,A012/2019-20,K,PDF,A012/2019-20,ADVANCE_ADVINVOICE-31012020-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-C-12-O.pdf,23,31/01/2020 00:00:00,null,null,Y,ASHWANI KUMAR DUDEJA,28/05/2020 00:00:00,null,null
AMNS@Q,2020-2021,A-33-17-11719-0,A012/20-21,K,PDF,A012/20-21,ADVANCE_ADVINVOICE-30112020-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-C-12-O.pdf,48,01/12/2020 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,01/12/2020 00:00:00,null,null
